Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
LAD,LAD,6.1,6.1,2021,2023,2023,2019,2019,3,3,1296,64,36,8,0,0,7,4,5,5,361,9,256,4,16,2,19,3,7.192148760330578,1.6530612244897962,2.6818181818181817,1.2857142857142858,0.002049145624820065,0.006049382716049383,0.04526748971193416,0.07777777777777778,0.014737760165286457,0.010000000000000002,0.12139917695473251,0.1,21.715600000000002,3.24,4.66,1.8,30,30,33,32,Los Angeles Dodgers,Los Angeles Dodgers,California,28825055,16325055,2916.0,100.0,54.0,10.0,3600,144,1,1,1,1,60,12,162,59,Joe Kelly,0,0,0,0,25,25,174,174,35,34,RP,RP,0.654320987654321,0.711864406779661,4,0,2,0,3481,81,59,9,8500000,3148148,8500000,8500000,8500000,8500000,0.0,0.0,0.0,0.0,160320500,15813500,25000000,25000000,106,42,0.8464,0.04000000000000001,0.92,0.2,6.1504,2.25,2.48,1.5,7,7,484,49,22,7,4,0,2,0,15.955576721460545,15.955576721460545,15.955576721460545
NYY,TEX,6.1,6.1,2021,2023,2023,2020,2020,2,2,3721,64,61,8,0,0,4,4,2,2,900,9,729,9,27,3,30,3,7.742911153119092,11.559999999999999,2.782608695652174,3.4,0.001876145991821564,0.0019135840740817287,0.04331450094161959,0.043744531933508315,0.01452683172495487,0.022121031896384785,0.12052730696798493,0.14873140857392828,46.1041,4.536899999999999,6.79,2.13,28,28,29,28,New York Yankees,Texas Rangers,New York,7275396,1775396,3481.0,161.29,59.0,12.7,4096,144,0,0,0,0,64,12,162,59,Joely Rodriguez,9,0,3,0,40,2,200,200,57,8,RP,RP,0.5679012345679012,0.3728813559322034,1,0,1,0,4096,289,64,17,0,925926,2500000,2500000,2500000,2500000,0.0,0.0,0.0,0.0,111300000,55750000,5500000,5500000,92,22,0.0225,0.2304,-0.15,0.48,6.5536,1.0609,2.56,1.03,27,0,529,25,23,5,4,0,2,0,-inf,14.73180128983843,14.73180128983843
TEX,TEX,6.5,6.5,2021,2022,2022,2020,2020,2,2,68121,4489,261,67,0,0,4,4,2,2,23409,2401,21904,2025,148,45,153,49,5.307482775196282,2.449905482041588,2.3037974683544302,1.565217391304348,0.0013636747535507492,0.0019616387270351525,0.03692796709203946,0.04429039091084151,0.007237680265440636,0.004805829471148501,0.08507455709811622,0.06932409012131714,148.1089,49.28039999999999,12.17,7.02,29,29,30,29,Texas Rangers,Texas Rangers,Texas,26444136,18444136,56501.28999999999,3329.2900000000004,237.7,57.7,1936,144,1521,81,39,9,44,12,162,59,Jordan Lyles,361,36,19,6,2,2,230,230,8,8,SP,SP,0.3703703703703703,0.3728813559322034,0,0,0,0,33124,1296,182,36,8000000,2592593,8000000,8000000,8000000,8000000,447.7456,31.6969,21.16,5.63,5865500,55750000,16000000,16000000,60,22,1.5625,1.2321000000000002,-1.25,-1.11,8.7025,2.4336,2.95,1.56,0,0,6241,529,79,23,121,1,11,1,15.89495209964411,15.89495209964411,15.89495209964411
TEX,TEX,6.0,6.0,2021,2025,2025,2019,2019,4,4,4,4,2,2,500000,500000,4,4,2,2,1,1,1,1,1,1,1,1,2.25,2.25,1.5,1.5,0.012345679012345678,0.012345679012345678,0.1111111111111111,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.16666666666666666,0.16666666666666666,20.25,20.25,4.5,4.5,25,25,26,26,Texas Rangers,Texas Rangers,Texas,8984787,4984787,4.0,4.0,2.0,2.0,4,4,0,0,0,0,2,2,162,59,Jose Leclerc,0,0,0,0,2,2,190,190,8,8,RP,RP,0.3703703703703703,0.3728813559322034,1,1,1,1,9,9,3,3,4500000,1333333,4000000,2250000,4500000,2750000,0.0,0.0,0.0,0.0,5865500,55750000,14750000,14750000,60,22,0.0004,0.0004,-0.02,-0.02,4.0,4.0,2.0,2.0,0,0,4,4,2,2,0,0,0,0,15.319587954740548,15.201804919084164,15.319587954740548
HOU,HOU,6.5,6.5,2021,2022,2022,2019,2019,2,2,9,9,3,3,0,0,5,3,2,2,4,4,4,4,2,2,2,2,49.0,49.0,7.0,7.0,0.0003429355281207133,0.0003429355281207133,0.018518518518518517,0.018518518518518517,0.01680384087791495,0.01680384087791495,0.12962962962962962,0.12962962962962962,9.0,9.0,3.0,3.0,35,35,37,37,Houston Astros,Houston Astros,Texas,274588222,241588222,36.0,36.0,6.0,6.0,1,1,1,1,1,1,1,1,162,60,Justin Verlander,0,0,0,0,4,3,225,225,15,14,SP,SP,0.5864197530864198,0.4833333333333333,0,0,0,0,49,49,7,7,33000000,12222222,33000000,33000000,33000000,33000000,0.0,0.0,0.0,0.0,76100000,15650000,66000000,66000000,95,29,0.0324,0.0324,0.18,0.18,0.4489000000000001,0.4489000000000001,0.67,0.67,1,1,1,1,1,1,1,1,1,1,17.312018119430753,17.312018119430753,17.312018119430753
LAD,LAD,6.5,6.5,2021,2022,2022,2017,2017,5,5,3025,361,55,19,0,0,7,4,5,5,1024,121,676,81,26,9,32,11,6.993086419753086,13.444444444444443,2.6444444444444444,3.6666666666666665,0.00287194898499579,0.0016935087808430287,0.05359056806002144,0.0411522633744856,0.020083787445197718,0.022768284720222937,0.14171727998094558,0.15089163237311384,30.8025,11.0889,5.55,3.33,29,29,33,32,Los Angeles Dodgers,Los Angeles Dodgers,California,92615505,72615505,8704.89,590.49,93.3,24.3,9216,729,0,0,0,0,96,27,162,59,Kenley Jansen,25,1,5,1,25,25,265,265,35,34,RP/CL,RP/CL,0.654320987654321,0.711864406779661,2401,121,49,11,14161,1089,119,33,20000000,6666667,20000000,18000000,20000000,18000000,7019.088400000001,255.04090000000002,83.78,15.97,160320500,15813500,80000000,80000000,106,42,6.760000000000001,0.0961,2.6,0.31,4.7961,1.3224999999999998,2.19,1.15,7,7,2025,81,45,9,49,9,7,3,16.811242831518264,16.811242831518264,16.811242831518264
MIN,MIN,6.1,6.1,2021,2024,2024,2016,2016,8,8,21316,1600,146,40,125000,125000,6,7,1,1,6400,400,5625,400,75,20,80,20,21.116213151927436,64.0,4.595238095238095,8.0,0.0007276480262547288,0.00027750020819453114,0.02697495183044316,0.016658337497917706,0.015365170821974144,0.017760013324449993,0.12395632626846499,0.13326669998334165,54.1696,7.290000000000001,7.36,2.7,27,27,33,32,Minnesota Twins,Minnesota Twins,Minnesota,46414704,40915204,29929.0,4448.89,173.0,66.7,1156,121,1024,121,32,11,34,11,163,60,Kenta Maeda,36,1,6,1,6,6,184,184,17,17,SP,SP,0.4478527607361963,0.6,0,0,0,0,37249,6400,193,80,2561000,5310000,3000000,3000000,5625000,5310000,16167.122500000001,8798.439999999999,127.15,93.8,41750000,134000000,25000000,25000000,73,36,3.6481,2.4025000000000003,1.91,1.55,4.2025,0.5625,2.05,0.75,3,3,1764,100,42,10,144,36,12,6,14.755908365181662,14.914122846632385,15.542731506054757
STL,STL,6.2,6.2,2021,2026,2026,2020,2020,2,2,15876,784,126,28,0,0,2,2,2,2,3025,81,2304,49,48,7,55,9,4.158400615148019,4.0,2.0392156862745097,2.0,0.0015126422609950641,0.0011688216816421947,0.03889270189887897,0.03418803418803419,0.006290172508620768,0.004675286726568779,0.07931060779379243,0.06837606837606838,25.8064,2.6244000000000005,5.08,1.62,31,31,32,31,St. Louis Cardinals,St. Louis Cardinals,Missouri,5481481,1481481,21228.489999999998,1521.0,145.7,39.0,1225,64,784,49,28,7,35,8,161,58,Kwang-hyun Kim,49,0,7,0,23,23,195,195,31,30,SP,SP,0.5527950310559007,0.5172413793103449,9,4,3,2,10816,576,104,24,4000000,1481481,4000000,4000000,4000000,4000000,17137.428099999997,6181.104400000001,130.91,78.62,17000000,7000000,8000000,8000000,89,30,3.4969000000000006,0.8281000000000001,1.87,0.91,5.3361,1.0609,2.31,1.03,11,11,2601,144,51,12,100,9,10,3,15.201804919084164,15.201804919084164,15.201804919084164
PHI,TEX,6.6,6.6,2021,2023,2023,2020,2020,3,3,53361,5329,231,73,0,0,6,4,2,2,14884,1936,13225,1600,115,40,122,44,5.134563150746946,3.7377777777777776,2.265957446808511,1.9333333333333333,0.001755198064457519,0.002453168401915336,0.041895084013014214,0.049529470034670633,0.009012175304025937,0.009169398337825768,0.09493247760395773,0.09575697540036322,82.0836,28.622499999999995,9.06,5.35,32,32,32,32,Philadelphia Phillies,Texas Rangers,Pennsylvania,34932074,23432074,62150.490000000005,4529.29,249.3,67.3,1849,144,1764,144,42,12,43,12,162,59,Kyle Gibson,225,36,15,6,7,2,215,215,14,8,SP,SP,0.5061728395061729,0.3728813559322034,0,0,0,0,45369,3364,213,58,11500000,4629630,10000000,11000000,11500000,11555555,10681.222499999998,823.6899999999999,103.35,28.7,158800000,55750000,28000000,28000000,82,22,9.672099999999999,0.0004,3.11,-0.02,7.5625,2.3409,2.75,1.53,2,0,8836,900,94,30,144,4,12,2,16.25785759333348,16.11809565095832,16.25785759333348
CHC,CHC,6.3,6.3,2021,2024,2024,2019,2019,4,4,74529,5329,273,73,0,0,10,4,2,2,16129,676,14884,676,122,26,127,26,14.0625,64.0,3.75,8.0,0.0004852047984766377,0.00011954016856919517,0.022027364764688438,0.010933442667760012,0.006823192478577717,0.007650570788428491,0.08260261786758163,0.0874675413420801,58.52250000000001,8.2944,7.65,2.88,29,29,31,30,Chicago Cubs,Chicago Cubs,Illinois,32149468,18149468,68801.29000000001,6609.69,262.3,81.3,1936,144,1936,144,44,12,44,12,162,58,Kyle Hendricks,144,25,12,5,17,17,190,190,21,21,SP,SP,0.4382716049382716,0.5517241379310345,0,0,0,0,38025,4096,195,64,14000000,4444444,14000000,12000000,14000000,12000000,10522.6564,6220.476900000001,102.58,78.87,24500000,2650000,55500000,55500000,71,32,8.0089,3.6864,2.83,1.92,5.475599999999999,1.0,2.34,1.0,3,3,2704,64,52,8,400,36,20,6,16.454567887579532,16.454567887579532,16.454567887579532
CHW,TEX,6.5,6.5,2021,0,0,2019,2019,3,3,34969,4096,187,64,1333334,1333333,2,4,2,2,7396,1156,6084,961,78,31,86,34,14.331632653061224,12.6736,3.7857142857142856,3.56,0.0010415424521012695,0.0010935444136502335,0.03227293683725219,0.03306878306878307,0.014927003816084007,0.013859144480837601,0.12217611802674043,0.11772486772486772,36.1201,11.0224,6.01,3.32,31,31,34,33,Chicago White Sox,Texas Rangers,Illinois,61440917,53440917,58081.0,7056.0,241.0,84.0,1681,169,1681,169,41,13,41,13,162,59,Lance Lynn,81,9,9,3,6,2,270,270,11,8,SP,SP,0.5740740740740741,0.3728813559322034,0,0,0,0,70225,7921,265,89,9333334,5037037,8000000,10000000,9333334,11333333,27139.267600000003,5176.802500000001,164.74,71.95,57000000,55750000,30000000,30000000,93,22,58.52250000000001,5.017600000000001,7.65,2.24,4.536899999999999,1.1236000000000002,2.13,1.06,3,0,4900,625,70,25,289,36,17,6,16.04910285089994,15.89495209964411,16.04910285089994
ARI,ARI,6.4,6.4,2021,2025,2025,2020,2020,5,5,32761,2209,181,47,0,0,5,4,1,1,12769,961,11236,900,106,30,113,31,8.770710059171599,5.325443786982247,2.9615384615384617,2.3076923076923075,0.000944508715747587,0.0011998572382878846,0.030732860520094562,0.034638955502264854,0.00828401209418261,0.006389772274905893,0.09101654846335698,0.07993605115907274,124.3225,41.99040000000001,11.15,6.48,30,30,31,30,Arizona Diamondbacks,Arizona Diamondbacks,Arizona,83182222,64182222,35344.0,1738.8900000000003,188.0,41.7,1369,81,1225,81,35,9,37,9,163,60,Madison Bumgarner,196,16,14,4,1,1,257,257,6,6,SP,SP,0.3251533742331288,0.4166666666666667,0,0,0,0,23716,900,154,30,14000000,2222222,19000000,6000000,19000000,6000000,1023.3600999999999,24.900100000000002,31.99,4.99,8500000,24650000,85000000,85000000,53,25,1.1881000000000002,0.1024,1.09,-0.32,6.864400000000001,2.0736,2.62,1.44,1,1,2704,169,52,13,64,1,8,1,16.454567887579532,16.759949537130716,16.759949537130716
SEA,SEA,6.1,6.1,2021,2026,2026,2020,2020,4,4,33856,3481,184,59,250000,0,4,4,1,1,8281,729,7569,576,87,24,91,27,12.321532694710536,83.59183673469387,3.510204081632653,9.142857142857142,0.0006533530672627119,0.0001245218329847611,0.02556077203964528,0.011158935118762951,0.008050311179466918,0.01040900873276697,0.08972352634324465,0.10202454965726127,49.843599999999995,9.610000000000001,7.06,3.1,27,27,29,28,Seattle Mariners,Seattle Mariners,Washington,9950517,4950517,45369.0,4858.09,213.0,69.7,1296,121,1296,121,36,11,36,11,162,61,Marco Gonzales,64,4,8,2,0,0,195,195,4,4,SP,SP,0.5555555555555556,0.4426229508196721,0,0,0,0,29584,4096,172,64,5250000,370370,5000000,1000000,5250000,1000000,19757.1136,7549.8721000000005,140.56,86.89,16300000,6550000,30000000,30000000,90,27,13.6161,2.1609,3.69,1.47,4.4521,0.9025,2.11,0.95,0,0,2401,49,49,7,289,49,17,7,15.473738634567807,15.424948470398375,15.473738634567807
LAD,WSH,6.3,6.3,2021,2022,2022,2015,2015,7,7,35721,4900,189,70,7142857,7142857,7,10,5,1,6889,900,5929,784,77,28,83,30,30.90606147658719,16.0,5.559322033898305,4.0,0.0007061235654288874,0.0014419178717924588,0.02657298563257218,0.037972593693247486,0.021823498323212127,0.02307068594867934,0.1477277845336216,0.15189037477298994,38.440000000000005,13.987600000000002,6.2,3.74,30,30,35,35,Los Angeles Dodgers,Washington Nationals,California,139575000,124475000,60860.88999999999,4529.29,246.7,67.3,1764,144,1764,144,42,12,42,12,162,62,Max Scherzer,64,16,8,4,25,1,208,208,35,6,SP,SP,0.654320987654321,0.4193548387096774,0,0,0,0,107584,8464,328,92,0,17801286,27360623,28777759,34603480,35920616,7150.3936,334.5241,84.56,18.29,160320500,316750000,210000000,210000000,106,26,30.25,4.840000000000001,5.5,2.2,5.0625,1.9043999999999996,2.25,1.38,7,1,3481,529,59,23,400,25,20,5,-inf,17.124615420927217,17.359464813005005
ARI,ARI,6.2,6.2,2021,0,0,2019,2019,2,2,35721,676,189,26,0,0,5,4,1,1,8281,81,7569,81,87,9,91,9,11.947542533081284,33.64,3.4565217391304346,5.8,0.0007290031695755528,0.00031504044678280064,0.02700005869577977,0.01774937877174299,0.008709796375254987,0.010597960629773414,0.09332628983976052,0.10294639687610933,49.4209,6.708099999999999,7.03,2.59,30,30,32,31,Arizona Diamondbacks,Arizona Diamondbacks,Arizona,7361111,3111111,35834.490000000005,979.69,189.3,31.3,1024,25,1024,25,32,5,32,5,163,60,Merrill Kelly,169,4,13,2,1,1,202,202,6,6,SP,SP,0.3251533742331288,0.4166666666666667,0,0,0,0,25281,841,159,29,4250000,1111111,4250000,3000000,4250000,3000000,4104.964899999999,0.0,64.07,0.0,8500000,24650000,5500000,5500000,53,25,14.44,2.0164,3.8,1.42,5.1983999999999995,0.9801,2.28,0.99,1,1,2116,25,46,5,100,9,10,3,15.2624295409006,15.2624295409006,15.2624295409006
MIN,MIN,6.7,6.7,2021,2022,2022,2020,2020,2,2,19321,625,139,25,0,0,6,7,1,1,3481,100,2916,100,54,10,59,10,16.286989795918366,12.755102040816327,4.035714285714286,3.5714285714285716,0.0005233030031184586,0.0008485716893278602,0.02287581699346405,0.029130253849354974,0.008523030671963775,0.01082361848632475,0.0923202614379085,0.10403662089055349,49.0,11.424399999999999,7.0,3.38,30,30,32,31,Minnesota Twins,Minnesota Twins,Minnesota,33779247,23779247,18496.0,712.89,136.0,26.7,729,25,676,25,26,5,27,5,163,60,Michael Pineda,64,0,8,0,6,6,280,280,17,17,SP,SP,0.4478527607361963,0.6,0,0,0,0,12769,625,113,25,10000000,651759,10000000,10000000,10000000,10000000,1945.6921,0.0,44.11,0.0,41750000,134000000,20000000,20000000,73,36,3.6864,0.16000000000000003,1.92,0.4,5.9536,1.44,2.44,1.2,3,3,784,49,28,7,121,4,11,2,16.11809565095832,16.11809565095832,16.11809565095832
BOS,BOS,6.2,6.2,2021,2023,2023,2019,2019,4,4,54289,2601,233,51,0,0,6,8,1,1,10201,400,9216,400,96,20,101,20,34.58560090702948,55.183673469387756,5.880952380952381,7.428571428571429,0.00040918374502541655,0.00025930852787955645,0.020228290709435055,0.016103059581320453,0.014151865703092768,0.014309597130333073,0.11896161441024902,0.1196227283183805,55.8009,13.838400000000002,7.47,3.72,28,28,31,30,Boston Red Sox,Boston Red Sox,Massachusetts,55065197,38065197,53222.49,2332.89,230.7,48.3,1681,81,1681,81,41,9,41,9,162,60,Nathan Eovaldi,121,4,11,2,14,14,217,217,25,24,SP,SP,0.5679012345679012,0.4,0,0,0,0,61009,2704,247,52,17000000,6296296,17000000,17000000,17000000,17000000,11126.030400000001,1604.0024999999998,105.48,40.05,31850000,19100000,68000000,68000000,92,24,33.756099999999996,1.5625,5.81,1.25,5.7121,1.44,2.39,1.2,9,9,1764,49,42,7,225,16,15,4,16.64872390202049,16.64872390202049,16.64872390202049
WSH,WSH,6.4,6.4,2021,2025,2025,2019,2019,6,6,76729,7225,277,85,416666,416666,6,10,1,1,22201,1225,21025,1156,145,34,149,35,6.773339907955293,11.111111111111112,2.6025641025641026,3.3333333333333335,0.0013338552732695536,0.0009266788524935766,0.036521983424638284,0.030441400304413998,0.009034655153873281,0.010296431694373076,0.09505080301540478,0.10147133434804667,109.83040000000001,21.715600000000002,10.48,4.66,29,29,31,30,Washington Nationals,Washington Nationals,Washington DC,62270452,38270452,56311.29000000001,4316.490000000001,237.3,65.7,1764,121,1764,121,42,11,42,11,162,62,Patrick Corbin,529,49,23,7,1,1,220,220,6,6,SP,SP,0.4012345679012346,0.4193548387096774,0,0,0,0,41209,3600,203,60,24416666,7453703,24000000,19000000,24416666,19416666,222.01000000000002,173.7124,14.9,13.18,28000000,316750000,140000000,140000000,65,26,0.3721,2.9240999999999997,0.61,1.71,9.2416,2.4649,3.04,1.57,1,1,6084,324,78,18,121,4,11,2,17.010776489889587,16.99356438831222,17.010776489889587
SD,SD,6.2,6.2,2021,2023,2023,2020,2020,2,2,3844,225,62,15,0,0,4,2,5,5,784,49,729,36,27,6,28,7,8.345679012345679,9.0,2.888888888888889,3.0,0.0025832742678435624,0.0025000000000000005,0.0508259212198221,0.05,0.021559177840274675,0.0225,0.1468304390794861,0.15,35.0464,7.290000000000001,5.92,2.7,28,28,30,29,San Diego Padres,San Diego Padres,California,4531836,2531836,6193.6900000000005,400.0,78.7,20.0,7569,576,4,0,2,0,87,24,162,61,Pierce Johnson,25,1,5,1,2,2,200,200,6,6,RP,RP,0.4876543209876543,0.6229508196721312,0,0,0,0,10816,729,104,27,2000000,925741,2000000,2000000,2000000,2185000,5145.192900000001,1284.5056000000002,71.73,35.84,25200000,43000000,5000000,5000000,79,38,2.0164,0.16809999999999997,1.42,0.41,6.0516,1.44,2.46,1.2,0,0,1296,81,36,9,36,9,6,3,14.508657738524219,14.508657738524219,14.508657738524219
LAA,CIN,6.2,6.2,2021,2022,2022,2019,2019,3,3,4761,256,69,16,0,0,6,4,5,2,1296,121,729,49,27,7,36,11,62.131487889273366,38.440000000000005,7.882352941176471,6.2,0.00041252182154791314,0.0005834441877290019,0.02031063321385902,0.024154589371980676,0.025630594559565154,0.02242759457630283,0.16009557945041816,0.1497584541062802,28.196099999999994,7.507600000000001,5.31,2.74,28,28,31,30,Los Angeles Angels,Cincinnati Reds,California,35458333,26333333,8649.0,529.0,93.0,23.0,7569,484,0,0,0,0,87,22,162,59,Raisel Iglesias,64,9,8,3,1,10,190,190,10,16,RP/CL,RP/CL,0.4753086419753086,0.5254237288135594,1764,64,42,8,17956,961,134,31,9125000,3333333,9125000,9000000,9125000,9000000,34827.0244,8563.651600000001,186.62,92.54,12625000,144825000,24125000,24125000,77,31,8.8804,0.028900000000000006,2.98,0.17,3.3856,0.8281000000000001,1.84,0.91,1,5,289,25,17,5,121,16,11,4,16.02652845743283,16.02652845743283,16.02652845743283
HOU,HOU,6.2,6.2,2021,2023,2023,2019,2019,2,2,4900,441,70,21,0,0,5,3,2,2,841,100,576,64,24,8,29,10,30.25,17.16326530612245,5.5,4.142857142857143,0.0006834977999914564,0.0013717421124828531,0.026143790849673203,0.037037037037037035,0.02067580844974155,0.02354357380812407,0.1437908496732026,0.15343915343915343,32.2624,11.7649,5.68,3.43,30,30,32,31,Houston Astros,Houston Astros,Texas,18840766,10090766,7225.0,441.0,85.0,21.0,7569,529,0,0,0,0,87,23,162,60,Ryan Pressly,36,9,6,3,4,3,206,206,15,14,RP/CL,RP/CL,0.5864197530864198,0.4833333333333333,1444,144,38,12,12100,841,110,29,8750000,3240741,8750000,8750000,8750000,8750000,25846.992900000005,5719.8969,160.77,75.63,76100000,15650000,17500000,17500000,95,29,4.7961,0.0625,2.19,0.25,5.289999999999999,1.7689000000000001,2.3,1.33,1,1,400,49,20,7,36,1,6,1,15.984564258333798,15.984564258333798,15.984564258333798
WSH,WSH,6.5,6.5,2021,2027,2027,2020,2020,7,7,576,64,24,8,0,0,6,10,1,1,324,36,289,36,17,6,18,6,2.3511111111111114,4.0,1.5333333333333334,2.0,0.00389650265507691,0.0004938271604938272,0.06242197253433209,0.022222222222222223,0.009161110686825267,0.0019753086419753087,0.0957136912193092,0.044444444444444446,236.23689999999996,116.64000000000001,15.37,10.8,31,31,32,31,Washington Nationals,Washington Nationals,Washington DC,139376586,105805158,712.89,25.0,26.7,5.0,49,4,49,4,7,2,7,2,162,62,Stephen Strasburg,9,1,3,1,1,1,235,235,6,6,SP,SP,0.4012345679012346,0.4193548387096774,0,0,0,0,529,4,23,2,23571429,8730159,35000000,35000000,35000000,35000000,0.0,0.0,0.0,0.0,28000000,316750000,245000000,245000000,65,26,0.0625,0.0529,-0.25,-0.23,10.112400000000001,3.24,3.18,1.8,1,1,225,1,15,1,1,0,1,0,16.97554590099136,17.37085861945369,17.37085861945369
CIN,CIN,6.2,6.2,2021,2023,2023,2020,2020,2,2,32761,225,181,15,0,0,1,4,2,2,5476,100,4900,81,70,9,74,10,5.391841424877909,1.7777777777777777,2.3220338983050848,1.3333333333333333,0.0013671039345263016,0.00489021468042447,0.03697436861565457,0.06993006993006992,0.00737120762629249,0.00869371498742128,0.08585573729397757,0.09324009324009323,81.3604,31.922500000000003,9.02,5.65,33,33,34,33,Cincinnati Reds,Cincinnati Reds,Ohio,39603762,31453762,31435.290000000005,204.49,177.3,14.3,1296,36,1024,16,32,4,36,6,163,59,Wade Miley,100,9,10,3,10,10,220,220,16,16,SP,SP,0.50920245398773,0.5254237288135594,0,0,0,0,18769,144,137,12,8150000,2222222,8000000,6000000,8150000,6000000,8302.8544,1.2544000000000002,91.12,1.12,1500000,144825000,15000000,15000000,83,31,30.6916,0.016900000000000002,5.54,-0.13,9.0,2.7889,3.0,1.67,5,5,3481,81,59,9,144,0,12,0,15.913528485217045,15.89495209964411,15.913528485217045
WSH,WSH,6.4,6.4,2021,2023,2023,2020,2020,3,3,784,441,28,21,0,0,6,10,1,1,225,81,144,36,12,6,15,9,6.25,5.4444444444444455,2.5,2.3333333333333335,0.0031650515013223984,0.0031919307989402798,0.05625879043600563,0.056497175141242945,0.019781571883264994,0.017378289905341522,0.1406469760900141,0.13182674199623354,145.4436,9.3636,12.06,3.06,35,35,36,35,Washington Nationals,Washington Nationals,Washington DC,22143927,14143927,561.6899999999999,313.28999999999996,23.7,17.7,784,400,0,0,0,0,28,20,162,62,Will Harris,4,1,2,1,1,1,240,240,6,6,RP,RP,0.4012345679012346,0.4193548387096774,1,1,1,1,900,441,30,21,8000000,2962963,8000000,8000000,8000000,8000000,35.164899999999996,35.164899999999996,5.93,5.93,28000000,316750000,24000000,24000000,65,26,0.04409999999999999,0.1444,0.21,0.38,11.356900000000001,2.8899999999999997,3.37,1.7,1,1,144,81,12,9,0,0,0,0,15.89495209964411,15.89495209964411,15.89495209964411
ATL,ATL,6.5,6.5,2021,2024,2024,2020,2020,3,3,3600,121,60,11,0,0,6,7,1,1,1225,64,1156,64,34,8,35,8,10.7666015625,20.25,3.28125,4.5,0.0017916631673245429,0.0007716049382716049,0.042328042328042326,0.027777777777777776,0.019290123456790126,0.015625,0.1388888888888889,0.125,63.043600000000005,20.25,7.94,4.5,30,30,31,30,Atlanta Braves,Atlanta Braves,Georgia,30322101,17322101,7056.0,256.0,84.0,16.0,7921,324,0,0,0,0,89,18,161,60,Will Smith,81,4,9,2,18,18,255,255,27,26,RP,RP,0.546583850931677,0.5833333333333334,1369,0,37,0,11025,324,105,18,13000000,4814815,13000000,13000000,13000000,13000000,889.2324,12.6025,29.82,3.55,94240000,95750000,40000000,40000000,88,35,3.3489000000000004,0.0361,1.83,0.19,4.2848999999999995,0.8835999999999999,2.07,0.94,4,3,1024,16,32,4,25,4,5,2,16.38045991542581,16.38045991542581,16.38045991542581
