Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
332,Derek Dietrich,2B,CIN,113,0.698,251,47,19,43,0.187,0.79,$0
333,Russell Martin,C,LAD,83,0.512,209,46,6,20,0.22,0.667,$0
334,Guillermo Heredia,CF,TB,89,0.549,204,46,5,20,0.226,0.668,"$1,000,000"
335,Yairo Munoz,SS,STL,88,0.543,172,46,2,13,0.267,0.653,$0
336,Ryan Zimmerman,1B,WSH,52,0.321,171,44,6,27,0.257,0.736,$0
337,Jon Jay,RF,CHW,47,0.292,165,44,0,9,0.267,0.626,$0
338,Mike Zunino,C,TB,90,0.556,266,44,9,32,0.165,0.544,"$7,000,000"
339,Brandon Nimmo,CF,NYM,70,0.432,199,44,8,29,0.221,0.783,"$7,000,000"
340,Daniel Robertson,SS,TB,74,0.457,207,44,2,19,0.213,0.607,$0
341,Austin Barnes,C,LAD,75,0.463,212,43,5,25,0.203,0.633,"$2,600,000"
342,Will Smith,C,LAD,54,0.333,170,43,15,42,0.253,0.907,"$700,000"
343,Ty France,3B,SD,69,0.426,184,43,7,24,0.234,0.696,"$700,000"
344,Kyle Farmer,C,CIN,98,0.605,183,42,9,27,0.23,0.689,"$3,155,000"
345,Grayson Greiner,C,DET,58,0.36,207,42,5,19,0.203,0.561,$0
346,Brad Miller,2B,PHI,79,0.488,154,40,13,25,0.26,0.894,"$6,000,000"
347,Bubba Starling,CF,KC,56,0.346,186,40,4,12,0.215,0.572,$0
348,Ryon Healy,1B,SEA,47,0.29,169,40,7,26,0.237,0.744,$0
349,Austin Slater,LF,SF,68,0.42,168,40,5,21,0.238,0.75,"$1,850,000"
350,Shed Long,INF,SEA,42,0.259,152,40,5,15,0.263,0.787,$0
351,Austin Dean,LF,MIA,64,0.395,178,40,6,21,0.225,0.665,$0
352,Nate Lowe,1B,TB,50,0.309,152,40,7,19,0.263,0.781,"$716,000"
353,Ben Zobrist,2B,CHC,48,0.296,150,39,1,17,0.26,0.671,$0
354,Lewis Brinson,CF,MIA,75,0.463,226,39,0,15,0.173,0.457,$0
355,Joey Rickard,LF,SF,68,0.42,168,38,3,10,0.226,0.669,$0
356,Travis Demeritte,LF,DET,48,0.298,169,38,3,10,0.225,0.63,$0
357,Gregory Polanco,RF,PIT,43,0.265,153,37,6,17,0.242,0.726,$0
358,Matt Duffy,3B,TB,46,0.284,147,37,1,12,0.252,0.67,$0
359,Ian Happ,CF,CHC,58,0.358,140,37,11,30,0.264,0.898,"$6,850,000"
360,Marco Hernandez,3B,BOS,63,0.389,148,37,2,11,0.25,0.617,$0
361,Tyler O'Neill,OF,STL,61,0.377,141,37,5,16,0.262,0.723,"$3,500,000"
362,Mike Ford,1B,NYY,50,0.309,143,37,12,25,0.259,0.909,$0
363,Jeff Mathis,C,TEX,88,0.543,228,36,2,12,0.158,0.433,$0
364,Matt Wieters,C,STL,67,0.414,168,36,11,27,0.214,0.702,$0
365,Manuel Pina,C,MIL,76,0.469,158,36,7,25,0.228,0.724,"$3,500,000"
366,Jake Lamb,1B,ARI,78,0.482,187,36,6,30,0.193,0.676,$0
367,Travis Shaw,3B,MIL,86,0.531,230,36,7,16,0.157,0.551,"$1,500,000"
368,Erik Gonzalez,2B,PIT,53,0.327,142,36,1,6,0.254,0.618,$0
369,Ryan Goins,2B,CHW,52,0.323,144,36,2,10,0.25,0.681,$0
370,Michael Brosseau,3B,TB,52,0.321,132,36,6,16,0.273,0.781,"$700,000"
371,Trent Grisham,RF,MIL,51,0.315,156,36,6,24,0.231,0.738,"$700,000"
372,Charlie Culberson,2B,ATL,108,0.667,135,35,5,20,0.259,0.731,"$1,000,000"
373,Chance Sisco,C,BAL,59,0.364,167,35,8,20,0.21,0.729,$0
374,Alex Avila,C,ARI,63,0.389,164,34,9,24,0.207,0.774,$0
375,Keon Broxton,RF,SEA,100,0.617,204,34,6,16,0.167,0.517,$0
376,Nick Solak,2B,TEX,33,0.204,116,34,5,17,0.293,0.884,"$720,000"
377,Sandy Leon,C,BOS,65,0.401,172,33,5,19,0.192,0.548,$0
378,Wilmer Difo,SS,WSH,43,0.265,131,33,2,8,0.252,0.628,$0
379,Bryan Holaday,C,MIA,45,0.278,116,32,4,12,0.276,0.772,$0
380,Adam Duvall,RF,ATL,41,0.253,120,32,10,19,0.267,0.882,"$9,500,000"
381,Cesar Puello,RF,MIA,45,0.278,125,31,4,18,0.248,0.74,$0
382,Cole Tucker,SS,PIT,57,0.352,147,31,2,13,0.211,0.626,"$700,000"
383,Sam Travis,1B,BOS,59,0.364,144,31,6,16,0.215,0.656,$0
384,Matt Thaiss,1B,LAA,53,0.327,147,31,8,23,0.211,0.714,$0
385,Cameron Gallagher,C,KC,46,0.284,126,31,3,12,0.246,0.692,"$885,000"
386,Jose Trevino,C,TEX,40,0.247,120,31,2,13,0.258,0.655,"$720,000"
387,Isan Diaz,SS,MIA,49,0.303,179,31,5,23,0.173,0.566,$0
388,Francisco Cervelli,C,ATL,48,0.296,141,30,3,12,0.213,0.649,$0
389,D.J. Stewart,RF,BAL,44,0.272,126,30,4,15,0.238,0.698,$0
