"Rank","Player","Pos","Team","GP","GP%","AB","H","HR","RBI","AVG","OPS","Cash2023","Age","Weight","Height",""
"","Trayce Thompson","CF","LAD","80","0.494","219","56","13","41","0.256","0.860","$1,695,207","31","220","6'3""",""
"","Joey Gallo","LF","LAD","126","0.778","350","56","19","47","0.160","0.638","$11,000,000","28","250","6'5""",""
"","Jake Fraley","LF","CIN","68","0.420","216","56","12","28","0.259","0.812","$0","27","195","6'0""",""
"","Andrew Knizner","C","STL","97","0.599","260","56","4","25","0.215","0.601","$800,000","27","225","6'1""",""
"","Danny Jansen","C","TOR","72","0.444","215","56","15","44","0.261","0.855","$3,650,516","27","225","6'2""",""
"","Joey Bart","C","SF","97","0.599","261","56","11","25","0.215","0.660","$0","25","238","6'2""",""
"","Mitch Haniger","RF","SEA","57","0.352","224","55","11","34","0.246","0.736","$11,000,000","31","215","6'2""",""
"","Ildemaro Vargas","2B","WSH","63","0.389","209","55","4","23","0.263","0.691","$975,000","30","180","6'0""",""
"","Adam Engel","RF","CHW","119","0.735","245","55","2","17","0.225","0.579","$0","30","220","6'2""",""
"","David Fletcher","SS","LAA","61","0.377","216","55","2","17","0.255","0.621","$6,000,000","28","185","5'9""",""
"","Brandon Belt","1B","SF","78","0.482","254","54","8","23","0.213","0.676","$0","34","235","6'4""",""
