"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Brad Hand","2021","RP","NYM","$10,500,000","$10,500,000","$1,750,012",""
"","Andrelton Simmons","2021","SS","MIN","$10,500,000","$10,500,000","$10,500,000",""
"","Odubel Herrera","2021","CF","PHI","$10,000,000","$10,350,000","$10,350,000",""
"","Randal Grichuk","2021","RF","TOR","$9,333,333","$10,333,333","$10,333,333",""
"","Aaron Judge","2021","RF","NYY","$10,175,000","$10,175,000","$10,175,000",""
"","Sonny Gray","2021","SP","CIN","$10,000,000","$10,166,666","$10,166,666",""
"","Taijuan Walker","2021","SP","NYM","$10,000,000","$10,000,000","$10,000,000",""
"","Michael Pineda","2021","SP","MIN","$10,000,000","$10,000,000","$10,000,000",""
"","Noah Syndergaard","2021","SP","NYM","$9,700,000","$9,700,000","$9,700,000",""
"","Garrett Richards","2021","RP","BOS","$8,500,000","$9,500,000","$9,500,000",""
"","Corey Dickerson","2021","LF","TOR","$9,500,000","$9,500,000","$2,250,000",""
"","Lance Lynn","2021","SP","CHW","$8,000,000","$9,333,334","$9,333,334",""
"","Raisel Iglesias","2021","RP/CL","LAA","$9,125,000","$9,125,000","$9,125,000",""
"","Yadier Molina","2021","C","STL","$9,000,000","$9,000,000","$9,000,000",""
"","Jake Odorizzi","2021","SP","HOU","$6,000,000","$9,000,000","$9,000,000",""
"","Max Muncy","2021","1B","LAD","$7,500,000","$9,000,000","$9,000,000",""
"","Tommy Pham","2021","LF","SD","$8,900,000","$8,900,000","$8,900,000",""
"","Elvis Andrus","2021","SS","OAK","$7,750,000","$8,800,000","$8,300,000",""
"","Ryan Pressly","2021","RP/CL","HOU","$8,750,000","$8,750,000","$8,750,000",""
"","Zach Davies","2021","SP","CHC","$8,630,000","$8,630,000","$8,630,000",""
"","Juan Soto","2021","RF","WSH","$8,500,000","$8,500,000","$8,500,000",""
"","Yulieski Gurriel","2021","1B","HOU","$6,500,000","$8,500,000","$8,500,000",""
"","Joe Kelly","2021","RP","LAD","$8,500,000","$8,500,000","$8,500,000",""
"","James Paxton","2021","SP","SEA","$8,500,000","$8,500,000","$8,500,000",""
