Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
SEA,6.3,2019,2018,2018,1,342,116964,85,7225,0,3,31,30,Seattle Mariners,HOU,40616035,4,16,129,162,16641,Cameron Maybin,0.662,0.438244,0,215,4,0.249,0.062001,0.796,0.6336160000000001,CF,0.5493827160493827,28,784,UFA,1083326,3250000,3250000,19.65,386.12249999999995,3250000,17750000,3250000,3250000,89,1.28,1.6384,0,13.89554649638413,14.994165554305921,14.994165554305921
SF,6.0,2019,2018,2018,1,282,79524,68,4624,0,2,34,34,San Francisco Giants,SF,20144749,10,100,96,162,9216,Nick Hundley,0.706,0.49843599999999993,23,203,26,0.241,0.058080999999999994,0.593,0.351649,C,0.4506172839506173,31,961,UFA,2500000,2500000,2500000,0.0,0.0,2500000,11500000,2500000,2500000,73,-0.01,0.0001,8,14.73180128983843,14.73180128983843,14.73180128983843
KC,6.1,2019,2018,2018,1,485,235225,112,12544,0,6,31,31,Kansas City Royals,KC,26891500,4,16,140,162,19600,Alcides Escobar,0.593,0.351649,4,185,9,0.231,0.053361000000000006,0.864,0.7464959999999999,SS,0.4938271604938271,34,1156,UFA,3775000,2500000,3775000,8.9,79.21000000000001,2500000,16775000,2500000,2500000,80,-2.16,4.6656,2,15.143910940665263,14.73180128983843,15.143910940665263
ATL,6.0,2019,2018,2018,1,41,1681,1,1,0,4,34,33,Atlanta Braves,DET,95390927,0,0,25,162,625,Anibal Sanchez,0.072,0.005183999999999999,18,205,24,0.024,0.000576,0.154,0.023716,SP,0.5555555555555556,0,0,UFA,1000000,1000000,1000000,84.95,7216.5025000000005,2500000,2900000,1000000,2500000,90,3.01,9.060099999999998,3,13.815510557964274,13.815510557964274,13.815510557964274
LAD,6.1,2020,2018,2018,2,164,26896,35,1225,0,2,39,39,Los Angeles Dodgers,LAD,131658257,1,1,87,163,7569,Chase Utley,0.61,0.3721,25,195,32,0.213,0.045369,0.534,0.285156,2B,0.5644171779141104,14,196,UFA,1000000,1000000,1000000,0.0,0.0,2000000,4000000,2000000,1000000,92,-0.21,0.04409999999999999,6,13.815510557964274,13.815510557964274,13.815510557964274
LAA,6.2,2019,2018,2018,1,113,12769,19,361,0,3,34,34,Los Angeles Angels,BOS,53109770,6,36,59,162,3481,Chris Young,0.615,0.378225,1,200,10,0.168,0.028224000000000003,0.364,0.132496,RF,0.4938271604938271,13,169,UFA,2000000,2000000,2000000,0.0,0.0,2000000,42800000,2000000,2000000,80,-0.58,0.3364,1,14.508657738524219,14.508657738524219,14.508657738524219
NYM,0.0,2019,2018,2018,1,228,51984,43,1849,0,8,35,34,New York Mets,NYM,137866423,4,16,110,162,12100,Jose Reyes,0.58,0.3364,5,195,9,0.189,0.035721,0.679,0.4610410000000001,3B,0.4753086419753086,16,256,UFA,2000000,2000000,2000000,4.53,20.5209,2000000,89635000,2000000,2000000,77,-0.8,0.6400000000000001,2,14.508657738524219,14.508657738524219,14.508657738524219
ARI,6.3,2019,2018,2018,1,31,961,2,4,0,2,33,33,Arizona Diamondbacks,PHI,60029511,0,0,17,162,289,Clay Buchholz,0.191,0.036481,1,190,6,0.065,0.0042250000000000005,0.105,0.011024999999999998,SP,0.5061728395061729,1,1,UFA,1080645,1500000,1500000,93.12,8671.334400000002,1500000,15750000,1500000,1500000,82,3.15,9.9225,1,13.893068643056406,14.22097566607244,14.22097566607244
CHC,6.2,2019,2018,2018,1,1,1,0,0,0,7,34,34,Chicago Cubs,LAA,16142094,0,0,63,163,3969,Jesse Chavez,0.0,0.0,17,175,20,0.0,0.0,0.387,0.149769,RP,0.5828220858895705,0,0,UFA,397824,1000000,1500000,83.9,7039.210000000001,1500000,215545000,1500000,1500000,95,1.17,1.3688999999999998,3,12.893764975407155,13.815510557964274,14.22097566607244
MIL,6.5,0,2018,2018,1,15,225,0,0,0,5,27,27,Milwaukee Brewers,SD,12195929,0,0,37,163,1369,Jordan Lyles,0.167,0.027889000000000004,1,230,5,0.0,0.0,0.227,0.051529000000000005,SP,0.588957055214724,1,1,UFA,229824,750000,750000,28.5,812.25,1000000,103750000,1000000,1000000,96,0.2,0.04000000000000001,0,12.345069077585755,13.527828485512494,13.527828485512494
TEX,6.2,2019,2018,2018,1,1,1,0,0,0,4,32,31,Texas Rangers,MIL,72112785,0,0,21,162,441,Yovani Gallardo,0.0,0.0,2,205,8,0.0,0.0,0.13,0.016900000000000002,SP,0.4135802469135802,0,0,UFA,1139785,2000000,2300000,11.95,142.80249999999998,750000,35000000,2000000,750000,67,-0.39,0.1521,0,13.946350206092896,14.508657738524219,14.648419680899378
ATL,6.3,2019,2018,2018,1,161,25921,35,1225,0,4,31,31,Atlanta Braves,PHI,6567852,2,4,81,162,6561,Ryan Flaherty,0.59,0.34809999999999997,18,220,24,0.217,0.047089,0.5,0.25,3B,0.5555555555555556,13,169,UFA,750000,750000,750000,0.0,0.0,750000,2900000,750000,750000,90,-0.97,0.9409,3,13.527828485512494,13.527828485512494,13.527828485512494
MIL,6.3,2019,2018,2018,1,3,9,2,4,0,5,31,30,Milwaukee Brewers,TB,5928924,0,0,73,163,5329,Dan Jennings,1.667,2.778889,1,210,5,0.667,0.44488900000000003,0.448,0.20070400000000002,RP,0.588957055214724,0,0,UFA,750000,750000,750000,40.02,1601.6004000000003,750000,103750000,750000,750000,96,0.34,0.11560000000000002,0,13.527828485512494,13.527828485512494,13.527828485512494
ARI,6.4,2019,2018,2018,1,15,225,3,9,0,2,36,35,Arizona Diamondbacks,PIT,7150513,0,0,8,162,64,Chris Stewart,0.435,0.189225,1,215,6,0.2,0.04000000000000001,0.049,0.0024010000000000004,C,0.5061728395061729,3,9,UFA,98912,575000,575000,0.0,0.0,575000,15750000,575000,575000,82,-0.03,0.0009,1,11.501985844931843,13.262125319779487,13.262125319779487
NYM,6.1,2019,2018,2018,1,347,120409,85,7225,0,8,31,30,New York Mets,TEX,29033379,3,9,116,162,13456,Austin Jackson,0.624,0.389376,5,198,9,0.245,0.060024999999999995,0.716,0.512656,CF,0.4753086419753086,32,1024,UFA,193380,545000,545000,7.69,59.136100000000006,545000,89635000,545000,545000,77,-1.2,1.44,2,12.172412444037539,13.208541073645382,13.208541073645382
PHI,6.0,2019,2018,2018,1,325,105625,66,4356,0,4,37,37,Philadelphia Phillies,ATL,105018652,13,169,122,162,14884,Jose Bautista,0.727,0.5285289999999999,7,205,14,0.203,0.041209,0.753,0.567009,RF,0.4938271604938271,48,2304,UFA,99620,545000,545000,38.83,1507.7688999999998,545000,169200000,545000,545000,80,-0.35,0.12249999999999998,2,11.509118226627274,13.208541073645382,13.208541073645382
