Jugador,Juegos_2018,Wins_2018,Saves_2018,WHIP_2018,ERA_2018,Equipo_2018,Sueldo_2018,Agente libre
Jaime Schultz,22,2,0,1.15,5.64,TB,545000,No
Nate Jones,33,2,5,1.43,3.0,CHW,3950000,No
Victor Alcantara,27,1,0,1.03,2.4,DET,545000,No
Touki Toussaint,8,2,0,1.35,4.03,ATL,545000,No
Peter Moylan,39,0,0,1.76,4.45,ATL,575000,Si
Junichi Tazawa,31,1,0,1.82,7.07,LAA,545000,No
Drew Smith,27,1,0,1.43,3.54,NYM,545000,No
Pedro Araujo,20,1,0,1.68,7.71,BAL,545000,No
Yohander Mendez,8,2,0,1.55,5.53,TEX,545000,No
Paul Blackburn,6,2,0,1.41,7.16,OAK,547500,No
Tim Peterson,22,2,0,1.23,6.18,NYM,545000,No
Dakota Hudson,26,4,0,1.35,2.63,STL,545000,No
Jordan Montgomery,6,2,0,1.35,3.62,NYY,580450,No
Sean Gilmartin,12,1,0,1.26,3.0,BAL,545000,No
Dovydas Neverauskas,25,0,0,1.48,8.0,PIT,557500,No
Brett Kennedy,6,1,0,1.8,6.75,SD,545000,No
Anthony Swarzak,29,0,4,1.6,6.15,NYM,5500000,Si
Tony Barnette,22,2,0,0.91,2.39,TEX,1500000,Si
Clay Holmes,11,1,0,2.01,6.84,PIT,545000,No
Michael Soroka,5,2,0,1.44,3.51,ATL,545000,No
Trevor May,24,4,3,1.03,3.2,MIN,650000,No
Ryan Dull,28,0,0,1.14,4.26,OAK,555000,No
Alan Busenitz,23,4,0,2.01,7.82,MIN,545000,No
Jeanmar Gomez,26,0,0,1.56,4.68,CHW,545000,No
Tyler Duffey,19,2,0,1.2,7.2,MIN,545000,No
Ervin Santana,5,0,0,1.62,8.03,MIN,13500000,No
Stephen Gonsalves,7,2,0,2.03,6.57,MIN,545000,No
Jonathan Loaisiga,9,2,0,1.54,5.11,NYY,545000,No
Pat Neshek,30,3,5,1.15,2.59,PHI,7750000,Si
Daniel Gossett,5,0,0,1.36,5.18,OAK,547500,No
Liam Hendriks,25,0,0,1.46,4.13,OAK,1900000,No
Tyler Thornburg,25,2,0,1.58,5.63,BOS,2050000,No
Dominic Leone,30,1,0,1.46,4.5,STL,1085000,No
Casey Kelly,7,0,0,1.39,3.04,SF,545000,No
Tommy Kahnle,24,2,1,1.63,6.56,NYY,1312500,No
Ray Black,26,2,0,1.16,6.17,SF,545000,No
Casey Lawrence,11,1,0,1.63,7.33,SEA,545000,No
Mark Leiter Jr.,20,0,0,2.01,7.71,TOR,549500,No
Matt Bush,21,0,0,1.61,4.7,TEX,555950,No
Adrian Sampson,5,0,0,1.22,4.3,TEX,545000,No
Josh James,6,2,0,0.96,2.35,HOU,545000,No
Tim Collins,38,0,0,1.54,4.37,WSH,545000,No
Tony Cingrani,30,1,0,1.1,4.77,LAD,2300000,No
Yimi Garcia,25,1,0,1.48,5.64,LAD,630000,No
Adalberto Mejia,5,2,0,1.16,2.02,MIN,545000,No
Bobby Poyner,20,1,0,1.12,3.22,BOS,545000,No
Zac Reininger,18,1,0,1.73,7.59,DET,545000,No
Ryan Meisinger,18,2,0,1.33,6.43,BAL,545000,No
Tyler Webb,22,0,0,1.52,4.43,STL,545000,No
Zack Littell,8,0,0,1.77,6.2,MIN,545000,No
Darren O'Day,20,0,2,1.1,3.6,ATL,9000000,No
A.J. Ramos,28,2,0,1.63,6.41,NYM,9225000,No
Luiz Gohara,9,0,1,1.22,5.95,ATL,555000,No
Donnie Hart,20,0,0,2.22,5.59,BAL,552500,No
Jimmy Cordero,22,1,0,1.84,5.68,WSH,545000,No
Enyel De Los Santos,7,1,0,1.42,4.74,PHI,545000,No
Ben Meyer,13,0,0,2.11,10.42,MIA,545000,No
Trey Wingenter,22,0,0,1.26,3.79,SD,545000,No
Miguel Diaz,11,1,0,1.5,4.82,SD,545000,No
Alec Mills,7,0,0,1.0,4.0,CHC,545000,No
Brock Stewart,9,0,0,1.81,6.11,LAD,545000,No
Chase De Jong,4,1,0,1.36,3.57,MIN,545000,No
Keynan Middleton,16,0,6,1.3,2.04,LAA,551000,No
Thyago Vieira,16,1,1,1.7,7.13,CHW,545000,No
Justin Grimm,21,1,0,1.9,10.39,SEA,545000,Si
Michael Dunn,25,0,0,2.35,9.0,COL,7000000,No
Ryan Cook,19,2,0,1.29,5.29,SEA,545000,No
William Cuevas,9,0,0,1.82,7.41,BOS,545000,No
Cody Carroll,15,0,0,2.0,9.0,BAL,545000,No
J.B. Wendelken,13,0,0,0.78,0.54,OAK,545000,No
Spencer Turnbull,4,0,0,1.29,6.06,DET,545000,No
Zac Curtis,15,0,0,1.9,4.96,TEX,545000,No
Koda Glover,22,1,1,1.41,3.31,WSH,551700,No
Jimmie Sherfy,15,0,0,1.1,1.65,ARI,545000,No
Ty Buttrey,16,0,4,1.22,3.31,LAA,545000,No
Jeff Brigham,4,0,0,1.78,6.06,MIA,545000,No
Shelby Miller,5,0,0,2.0,10.69,ARI,4900000,No
Joe Ross,3,0,0,1.31,5.06,WSH,567900,No
Lucas Sims,9,0,0,1.79,7.47,CIN,545000,No
Williams Jerez,17,0,0,1.67,6.0,LAA,545000,No
Ranger Suarez,4,1,0,1.8,5.4,PHI,545000,No
Shawn Armstrong,14,0,1,0.82,1.23,SEA,545000,No
Yency Almonte,14,0,0,1.29,1.84,COL,545000,No
Carson Smith,18,1,0,1.39,3.77,BOS,850000,No
Michael Kopech,4,1,0,1.53,5.02,CHW,545000,No
Sandy Baez,9,0,0,1.47,5.02,DET,545000,No
Chad Sobotka,14,1,0,0.98,1.88,ATL,545000,No
Pat Venditte,15,0,0,1.0,2.57,LAD,545000,No
Aaron Slegers,4,1,0,1.39,5.27,MIN,545000,No
Jake Newberry,14,2,0,1.65,4.73,KC,545000,No
Taijuan Walker,3,0,0,1.54,3.46,ARI,4825000,No
Chih-Wei Hu,5,0,0,0.77,4.15,TB,545000,No
Luke Gregerson,17,0,0,1.58,7.11,STL,5000000,Si
Drew Anderson,5,0,0,1.5,4.97,PHI,545000,No
Miguel Gonzalez,3,0,0,2.43,12.41,CHW,4750000,Si
Austin Voth,4,1,0,1.46,6.57,WSH,545000,No
Justin Hancock,10,0,0,1.13,1.46,CHC,545000,No
Drew Gagnon,5,2,0,1.67,5.25,NYM,545000,No
Blake Wood,13,1,0,1.29,2.31,LAA,1450000,No
Robert Stephenson,4,0,0,2.49,9.26,CIN,555000,No
Evan Phillips,9,0,0,1.97,13.11,BAL,545000,No
Josh Rogers,3,1,0,1.89,8.49,BAL,545000,No
Randall Delgado,10,2,0,1.5,4.77,ARI,545000,No
Zac Rosscup,17,0,0,1.15,4.77,LAD,610000,No
Cionel Perez,8,0,0,1.15,3.97,HOU,545000,No
Giovanny Gallegos,6,0,1,1.24,3.97,STL,549975,No
Tanner Anderson,6,1,0,2.03,6.35,PIT,545000,No
Tyler Kinley,13,0,0,2.09,12.27,MIA,545000,No
James Norwood,11,0,0,1.73,4.09,CHC,545000,No
Jose Fernandez,13,0,0,1.36,6.1,TOR,545000,No
John Lamb,3,0,0,1.9,7.2,LAA,545000,No
Ryan Burr,8,0,0,1.86,7.45,CHW,545000,No
Taylor Guerrieri,9,0,0,1.35,4.66,TOR,545000,No
Colten Brewer,11,1,0,2.28,5.59,SD,545000,No
Austen Williams,10,0,0,1.65,5.59,WSH,545000,No
Connor Sadzeck,13,0,0,1.82,0.96,TEX,545000,No
Keury Mella,4,0,0,2.25,8.68,CIN,545000,No
Yoan Lopez,10,0,0,0.89,3.0,ARI,545000,No
Daniel Zamora,17,1,0,1.0,3.0,NYM,545000,No
Stephen Tarpley,10,0,0,1.33,3.0,NYY,545000,No
Matt Festa,8,0,0,1.8,2.16,SEA,545000,No
Rowan Wick,10,0,0,1.68,6.48,SD,545000,No
Justin Shafer,6,0,0,1.56,3.24,TOR,545000,No
Danny Farquhar,9,1,0,0.75,5.63,CHW,1050000,No
Kolby Allard,3,1,0,2.88,12.38,ATL,545000,No
Ian Hamilton,10,1,0,1.0,4.5,CHW,545000,No
Matt Hall,5,0,0,2.75,14.63,DET,545000,No
Chance Adams,3,0,0,1.57,7.04,NYY,545000,No
Kyle McGowin,6,0,0,1.43,5.87,WSH,545000,No
C.D. Pelham,10,0,0,2.09,7.04,TEX,545000,No
Steven Okert,10,0,0,0.55,1.23,SF,545000,No
Hoby Milner,14,0,0,1.91,7.36,TB,548000,No
Jake Barrett,7,0,0,1.43,5.14,ARI,545000,No
Miguel Almonte,8,0,0,1.71,10.29,LAA,545000,No
Bryse Wilson,3,1,0,2.0,6.43,ATL,545000,No
Brad Wieck,5,0,0,0.43,1.29,SD,545000,No
Caleb Frare,11,0,0,1.43,5.14,NYY,545000,No
J.C. Ramirez,2,0,0,2.1,9.45,LAA,1900000,No
Parker Bridwell,5,1,0,2.4,17.55,LAA,545000,No
David Paulino,7,1,0,1.2,1.35,TOR,545000,No
Robby Scott,9,0,0,2.25,8.1,BOS,545000,No
Jose Ramirez,7,0,0,2.68,17.05,ATL,565000,No
John Curtiss,8,0,0,1.89,5.68,MIN,545000,No
D.J. Johnson,7,1,0,1.26,4.26,COL,545000,No
Kyle Wright,4,0,0,1.67,4.5,ATL,545000,No
Jesus Reyes,5,0,0,1.06,3.18,CIN,545000,No
Jerad Eickhoff,3,0,0,1.88,6.75,PHI,568000,No
Bobby Wahl,7,0,0,2.44,10.13,NYM,545000,No
Dillon Maples,9,1,0,2.25,11.81,CHC,545000,No
Rob Scahill,6,0,0,1.6,5.4,CHW,545000,No
Nick Gardewine,3,0,0,1.4,3.6,TEX,545000,No
Andrew Vasquez,9,1,0,1.4,5.4,MIN,545000,No
Jose Ruiz,6,0,0,1.85,4.15,CHW,545000,No
Julio Urias,3,0,0,0.25,0.0,LAD,550000,No
Alexander Reyes,1,0,0,1.25,0.0,STL,545600,No
Sam Howard,4,0,0,2.0,2.25,COL,545000,No
Dennis Santana,3,2,0,1.91,12.27,LAD,545000,No
Daniel Descalso,138,0,0,1.5,8.1,ARI,2000000,No
Rhiner Cruz,2,0,0,1.5,2.7,TOR,545000,No
Hernan Perez,132,0,0,2.4,13.5,MIL,1975000,No
Reymin Guduan,3,0,0,0.3,2.7,HOU,545000,No
Dean Deetz,4,0,0,1.5,5.4,HOU,545000,No
John Means,1,0,0,1.8,13.5,BAL,545000,No
Andrew Romine,75,0,0,2.33,15.0,SEA,1050000,No
Erik Kratz,67,0,0,1.33,3.0,MIL,545000,No
Allen Webster,3,1,0,1.0,6.0,CHC,545000,No
Matt Davidson,128,0,0,0.67,0.0,CHW,570000,No
Francisco Arcia,41,0,0,1.67,9.0,LAA,545000,No
Justus Sheffield,3,0,0,2.63,10.13,NYY,545000,No
Luis Ortiz,2,0,0,4.29,15.43,BAL,545000,No
Eric Hanhold,3,0,0,2.14,7.71,NYM,545000,No
Alex Avila,81,0,0,0.5,0.0,ARI,4000000,Si
Pedro Florimon,50,0,0,1.0,9.0,PHI,600000,No
Chris Gimenez,25,0,0,4.5,36.0,MIN,545000,No
Bryan Holaday,61,0,0,2.0,13.5,MIA,1000000,No
Cory Spangenberg,116,0,0,3.5,13.5,SD,1700000,No
Victor Caratini,77,0,0,1.5,9.0,CHC,547500,No
Jake Jewell,3,0,0,1.5,9.0,LAA,545000,No
Roman Quinn,50,0,0,4.8,37.8,PHI,545000,No
Tommy La Stella,124,0,0,2.25,6.75,CHC,950000,No
Scott Kingery,147,0,0,3.0,13.5,PHI,1000000,No
Nick Burdi,2,0,0,3.75,20.25,PIT,545000,No
Brandon Dixon,74,0,0,0.0,0.0,CIN,545000,No
Jeff Mathis,69,0,0,1.0,9.0,ARI,2000000,No
Jose Reyes,110,0,0,7.0,54.0,NYM,2000000,Si
Kendrys Morales,130,0,0,1.0,0.0,TOR,11000000,No
Pablo Sandoval,92,0,0,0.0,0.0,SF,545000,No
Chase d'Arnaud,42,0,0,1.0,0.0,SF,545000,No
Charlie Culberson,113,0,0,2.0,9.0,ATL,575000,No
Jedd Gyorko,125,0,0,2.0,9.0,STL,9000000,No
Jesus Sucre,73,0,0,4.0,18.0,TB,925000,No
Jace Peterson,96,0,0,6.0,36.0,BAL,545000,No
Greg Garcia,114,0,0,1.0,0.0,STL,569600,No
Ryan Rua,62,0,0,0.0,0.0,TEX,870000,No
Ian Happ,142,0,0,1.0,0.0,CHC,570000,No
Alex Blandino,69,0,0,1.0,0.0,CIN,545000,No
Willians Astudillo,30,0,0,5.0,45.0,MIN,545000,No
Daniel Robertson,88,0,0,0.0,0.0,TB,548300,No
Mitch Garver,103,0,0,1.0,0.0,MIN,547500,No
J.D. Davis,42,0,0,1.0,9.0,HOU,550100,No
Johnny Field,84,0,0,1.0,0.0,MIN,545000,No
Ryan LaMarre,76,0,0,1.5,13.5,CHW,580000,No
Carlos Tocci,66,0,0,0.0,0.0,TEX,545000,No
Mark Reynolds,86,0,0,0.0,0.0,WSH,1000000,No
Carlos Gomez,118,0,0,12.0,81.0,TB,4400000,Si
Drew Butera,62,0,0,15.0,54.0,COL,2300000,No
Anthony Rizzo,154,0,0,0.0,0.0,CHC,7285714,No
Phillip Ervin,78,0,0,0.0,0.0,CIN,545000,No
Enrique Hernandez,145,0,0,9.0,81.0,LAD,1600000,No
