Jugador,Juegos_2019,Wins_2019,Saves_2019,WHIP_2019,ERA_2019,Equipo_2019,Sueldo_2019,Agente libre
Rowan Wick,31,2,2,1.14,2.43,CHC,555000,No
Andrew Suarez,21,0,0,1.62,5.79,SF,555000,No
Jacob Barnes,33,1,0,1.78,7.44,KC,567600,No
Jerry Blevins,46,1,1,1.27,3.9,ATL,1500000,No
Jeffrey Springs,25,4,0,1.89,6.4,TEX,557000,No
Jacob Webb,36,4,2,1.11,1.39,ATL,555000,No
Luis Avilan,45,4,0,1.47,5.06,NYM,1600000,No
Austin Adams,30,2,0,1.13,3.94,SEA,555000,No
Matthew Bowman,27,2,0,1.25,3.66,CIN,555000,No
J.B. Wendelken,26,3,0,0.95,3.7,OAK,557500,No
Jonathan Loaisiga,15,2,0,1.48,4.55,NYY,560550,No
Adalberto Mejia,35,0,0,1.72,6.61,LAA,560000,No
Jake Newberry,27,1,0,1.45,3.77,KC,555000,No
Jay Jackson,28,1,0,1.32,4.45,MIL,1000000,No
Stefan Crichton,28,1,0,1.02,3.56,ARI,555000,No
Darwinzon Hernandez,29,0,0,1.75,4.45,BOS,555000,No
Jose Alvarado,35,1,7,1.87,4.8,TB,555000,No
Adam Morgan,40,3,0,1.01,3.94,PHI,1100000,No
Keone Kela,32,2,1,1.01,2.12,PIT,3175000,No
Sean Manaea,5,4,0,0.77,1.21,OAK,3150000,No
Michel Baez,24,1,0,1.32,3.03,SD,555000,No
Jose Quijada,34,2,1,1.79,5.76,MIA,555000,No
A.J. Minter,36,3,5,2.01,7.06,ATL,575000,No
Rafael Montero,22,2,0,0.97,2.48,TEX,555000,No
Daniel Stumpf,48,1,0,1.72,4.35,DET,566600,No
Chad Sobotka,32,0,0,1.62,6.21,ATL,565000,No
Adam Warren,25,4,0,1.39,5.34,SD,2000000,Si
