Jugador,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo,Agente libre
Sam Freeman,58,2,0,1.25,2.55,ATL,535000,No
Alex Wilson,66,2,2,1.37,4.5,DET,1175000,No
Chris Hatcher,49,1,1,1.32,4.22,OAK,1250000,No
Dellin Betances,66,3,10,1.22,2.87,NYY,3000000,No
Jared Hughes,67,5,1,1.22,3.02,MIL,950000,Si
Peter Moylan,79,0,0,1.1,3.49,KC,1000000,No
Matt Belisle,61,2,9,1.16,4.1,MIN,2050000,Si
Kelvin Herrera,64,3,26,1.35,4.25,KC,5325000,No
Brandon Maurer,68,3,22,1.53,6.52,KC,1900000,No
Seung-Hwan Oh,62,1,20,1.38,4.1,STL,2750000,No
Santiago Casilla,63,4,16,1.36,4.27,OAK,5000000,Si
Ryan Madson,60,5,2,0.8,1.83,WSH,7666666,No
Andrew Moore,11,1,0,1.15,5.34,SEA,535000,No
Fernando Salas,61,2,0,1.52,5.22,LAA,535000,No
Wade Davis,59,4,32,1.14,2.3,CHC,10000000,No
Tommy Hunter,61,3,1,0.95,2.61,TB,1400000,No
A.J. Ramos,61,2,27,1.41,3.99,NYM,6550000,No
Chris Stratton,13,4,1,1.48,3.68,SF,535000,No
Matthew Bowman,76,3,2,1.19,3.99,STL,546600,No
Paul Blackburn,10,3,0,1.26,3.22,OAK,535000,No
Scott Oberg,66,0,0,1.61,4.94,COL,540000,No
Odrisamer Despaigne,18,2,1,1.39,4.01,MIA,535000,No
Keynan Middleton,64,6,3,1.34,3.86,LAA,535000,No
Justin Wilson,65,4,13,1.29,3.41,CHC,2700000,No
Joe Kelly,54,4,0,1.2,2.81,BOS,2800000,No
Aaron Loup,70,2,0,1.53,3.75,TOR,1125000,No
David Holmberg,37,2,0,1.68,4.68,CHW,535000,No
Edubray Ramos,60,2,0,1.47,4.21,PHI,540000,No
Lucas Sims,14,3,0,1.51,5.62,ATL,535000,No
Greg Holland,62,3,41,1.15,3.61,COL,13000000,Si
Jake McGee,62,0,3,1.1,3.45,COL,5900000,No
Arodys Vizcaino,62,5,14,1.1,2.83,ATL,1550000,No
Adam Warren,46,3,1,0.87,2.36,NYY,2290000,No
Hector Rondon,61,4,0,1.22,4.24,CHC,5800000,No
Chase Whitley,41,2,2,1.12,4.24,TB,535000,No
Tony Barnette,50,2,2,1.5,5.49,TEX,1750000,No
Josh Fields,57,5,2,0.96,2.84,LAD,1105000,No
Jim Johnson,61,6,22,1.48,5.56,ATL,5500000,No
Hansel Robles,46,7,0,1.34,5.24,NYM,553125,No
Kirby Yates,62,4,1,1.11,3.97,SD,535000,No
Josh Smoker,54,1,0,1.7,5.11,NYM,536625,No
Joakim Soria,59,4,1,1.23,3.7,KC,8000000,No
Oliver Drake,64,3,1,1.57,4.66,MIL,535000,No
Sergio Romo,55,3,0,1.1,3.56,TB,3000000,Si
David Phelps,54,4,0,1.38,3.4,SEA,4600000,No
Enny Romero,53,2,2,1.42,3.72,WSH,551000,No
Taylor Rogers,69,7,0,1.31,3.07,MIN,542500,No
Chris Smith,14,0,0,1.47,6.79,OAK,535000,No
Fernando Rodney,61,5,39,1.19,4.23,ARI,4000000,Si
Brett Anderson,13,4,0,1.7,6.34,TOR,535000,No
Junichi Tazawa,55,3,0,1.39,5.69,MIA,5000000,Si
Justin Grimm,50,1,1,1.34,5.53,CHC,1825000,No
Casey Lawrence,27,2,0,1.84,6.34,SEA,535000,No
David Hernandez,64,3,2,1.04,3.11,ARI,850000,No
Drew Storen,58,4,1,1.46,4.45,CIN,3150000,Si
Gregory Infante,52,2,0,1.19,3.13,CHW,535000,No
Sam Dyson,55,4,14,1.77,6.09,SF,3520000,No
Adam Morgan,37,3,0,1.26,4.12,PHI,539000,No
Francis Martes,32,5,0,1.51,5.8,HOU,535000,No
T.J. McFarland,43,4,0,1.52,5.33,ARI,535000,No
Tyler Lyons,50,4,3,1.09,2.83,STL,549800,No
Phil Hughes,14,4,0,1.58,5.87,MIN,13200000,No
James Pazos,59,4,0,1.4,3.86,SEA,536500,No
Adam Ottavino,63,2,0,1.63,5.06,COL,2100000,No
Jarlin Garcia,68,1,0,1.2,4.73,MIA,535000,No
Matt Bush,57,3,10,1.45,3.96,TEX,544920,No
A.J. Cole,11,3,0,1.48,3.81,WSH,535000,No
Daniel Coulombe,72,2,0,1.32,3.48,OAK,537500,No
John Brebbia,50,0,0,0.93,2.44,STL,535000,No
