Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Manuel Margot,RF,125,0.772,421,107,10,57,0.254,0.696,TB,3400000,3400000,3400000,15625,0.5959840000000001,177241,11449,100,3249,0.064516,0.48441599999999996
Akil Baddoo,OF,124,0.765,413,107,13,55,0.259,0.766,DET,570500,570500,570500,15376,0.585225,170569,11449,169,3025,0.067081,0.586756
Will Smith,C,130,0.803,414,107,25,76,0.259,0.86,ATL,13000000,13000000,13000000,16900,0.6448090000000001,171396,11449,625,5776,0.067081,0.7395999999999999
Will Smith,C,130,0.803,414,107,25,76,0.259,0.86,LAD,590500,590500,590500,16900,0.6448090000000001,171396,11449,625,5776,0.067081,0.7395999999999999
Garrett Hampson,2B,147,0.913,453,106,11,33,0.234,0.669,COL,580500,580500,580500,21609,0.8335690000000001,205209,11236,121,1089,0.054756000000000006,0.44756100000000004
Hunter Dozier,3B,144,0.889,487,106,16,54,0.218,0.688,KC,2250000,2500000,2500000,20736,0.790321,237169,11236,256,2916,0.047524,0.47334399999999993
Miguel Sano,1B,135,0.833,470,105,30,75,0.223,0.778,MIN,11000000,11000000,11000000,18225,0.693889,220900,11025,900,5625,0.049729,0.605284
Ian Happ,CF,148,0.914,465,105,25,66,0.226,0.757,CHC,4100000,4100000,4100000,21904,0.835396,216225,11025,625,4356,0.051076,0.573049
Mike Yastrzemski,RF,139,0.858,468,105,25,71,0.224,0.768,SF,600000,600000,600000,19321,0.7361639999999999,219024,11025,625,5041,0.050176000000000005,0.589824
Francisco Lindor,SS,125,0.772,452,104,20,63,0.23,0.734,NYM,22300000,22300000,22300000,15625,0.5959840000000001,204304,10816,400,3969,0.0529,0.538756
Omar Narvaez,C,123,0.759,391,104,11,49,0.266,0.743,MIL,2500000,2500000,2500000,15129,0.5760810000000001,152881,10816,121,2401,0.07075600000000001,0.552049
Wilmer Flores,2B,139,0.858,389,102,18,53,0.262,0.782,SF,3000000,3000000,3000000,19321,0.7361639999999999,151321,10404,324,2809,0.06864400000000001,0.6115240000000001
Eugenio Suarez,3B,145,0.895,505,100,31,79,0.198,0.713,CIN,10500000,10785714,10785714,21025,0.801025,255025,10000,961,6241,0.039204,0.508369
Tyler Stephenson,C,132,0.815,350,100,10,45,0.286,0.797,CIN,570500,570500,570500,17424,0.664225,122500,10000,100,2025,0.08179599999999998,0.635209
Bobby Dalbec,1B,133,0.821,417,100,25,78,0.24,0.792,BOS,575000,575000,575000,17689,0.6740409999999999,173889,10000,625,6084,0.0576,0.627264
Christian Yelich,LF,117,0.722,399,99,9,51,0.248,0.736,MIL,14000000,14000000,14000000,13689,0.521284,159201,9801,81,2601,0.061503999999999996,0.541696
Joey Gallo,RF,153,0.944,498,99,38,77,0.199,0.808,NYY,6200000,6200000,0,23409,0.8911359999999999,248004,9801,1444,5929,0.039601000000000004,0.6528640000000001
Christian Walker,1B,115,0.71,401,98,10,46,0.244,0.696,ARI,619300,619300,619300,13225,0.5041,160801,9604,100,2116,0.059536,0.48441599999999996
Eddie Rosario,LF,112,0.696,379,98,14,62,0.259,0.74,ATL,8000000,8000000,2795715,12544,0.48441599999999996,143641,9604,196,3844,0.067081,0.5476
Harrison Bader,CF,103,0.636,367,98,16,50,0.267,0.785,STL,2000000,2000000,2000000,10609,0.404496,134689,9604,256,2500,0.071289,0.616225
Willson Contreras,C,128,0.79,413,98,21,57,0.237,0.778,CHC,6650000,6650000,6650000,16384,0.6241000000000001,170569,9604,441,3249,0.056169,0.605284
Anthony Santander,RF,110,0.679,406,98,18,50,0.241,0.72,BAL,2100000,2100000,2100000,12100,0.4610410000000001,164836,9604,324,2500,0.058080999999999994,0.5184
Andrew Vaughn,LF,127,0.784,417,98,15,48,0.235,0.705,CHW,570500,570500,570500,16129,0.6146560000000001,173889,9604,225,2304,0.055224999999999996,0.49702499999999994
Nick Ahmed,SS,129,0.796,434,96,5,38,0.221,0.619,ARI,7500000,8125000,8125000,16641,0.6336160000000001,188356,9216,25,1444,0.048841,0.383161
Rhys Hoskins,1B,107,0.661,389,96,27,71,0.247,0.864,PHI,4800000,4800000,4800000,11449,0.43692100000000006,151321,9216,729,5041,0.061009,0.7464959999999999
Jeff McNeil,2B,120,0.741,386,96,7,35,0.249,0.674,NYM,642251,642251,642251,14400,0.549081,148996,9216,49,1225,0.062001,0.45427600000000007
Brandon Nimmo,CF,92,0.568,325,95,8,28,0.292,0.838,NYM,4700000,4700000,4700000,8464,0.32262399999999997,105625,9025,64,784,0.08526399999999999,0.702244
Alex Bregman,3B,91,0.562,348,94,12,55,0.27,0.777,HOU,11000000,12666666,12666666,8281,0.31584400000000007,121104,8836,144,3025,0.0729,0.6037290000000001
Michael Conforto,RF,125,0.772,406,94,14,55,0.232,0.729,NYM,12250000,12250000,12250000,15625,0.5959840000000001,164836,8836,196,3025,0.053824000000000004,0.5314409999999999
Pedro Severino,C,113,0.698,379,94,11,46,0.248,0.69,BAL,1825000,1825000,1825000,12769,0.4872039999999999,143641,8836,121,2116,0.061503999999999996,0.4760999999999999
Alec Bohm,3B,115,0.71,380,94,7,47,0.247,0.647,PHI,575000,575000,460559,13225,0.5041,144400,8836,49,2209,0.061009,0.418609
Ke'Bryan Hayes,3B,96,0.593,362,93,6,38,0.257,0.689,PIT,589500,589500,589500,9216,0.351649,131044,8649,36,1444,0.066049,0.47472099999999995
Luis Robert,CF,68,0.42,275,93,13,43,0.338,0.946,CHW,3500000,3500000,3500000,4624,0.17639999999999997,75625,8649,169,1849,0.11424400000000001,0.8949159999999999
Alcides Escobar,SS,75,0.463,319,92,4,28,0.288,0.744,WSH,570500,570500,282164,5625,0.21436900000000003,101761,8464,16,784,0.08294399999999999,0.553536
Tony Kemp,2B,131,0.809,330,92,8,37,0.279,0.8,OAK,1050000,1050000,1050000,17161,0.6544810000000001,108900,8464,64,1369,0.07784100000000002,0.6400000000000001
Jacob Stallings,C,112,0.691,374,92,8,53,0.246,0.704,PIT,1300000,1300000,1300000,12544,0.47748099999999993,139876,8464,64,2809,0.060516,0.49561599999999995
Corey Dickerson,LF,109,0.673,336,91,6,29,0.271,0.734,TOR,9500000,9500000,2250000,11881,0.4529290000000001,112896,8281,36,841,0.073441,0.538756
Willi Castro,SS,125,0.772,413,91,9,38,0.22,0.624,DET,578500,578500,559800,15625,0.5959840000000001,170569,8281,81,1444,0.0484,0.389376
Philip Gosselin,2B,104,0.642,345,90,7,47,0.261,0.676,LAA,570500,570500,466184,10816,0.41216400000000003,119025,8100,49,2209,0.068121,0.45697600000000005
Kevin Kiermaier,CF,122,0.753,348,90,4,37,0.259,0.716,TB,11500000,11666666,11666666,14884,0.567009,121104,8100,16,1369,0.067081,0.512656
Max Kepler,RF,121,0.747,426,90,19,54,0.211,0.719,MIN,6500000,6500000,6500000,14641,0.558009,181476,8100,361,2916,0.044521,0.516961
Brandon Belt,1B,97,0.599,325,89,29,59,0.274,0.975,SF,16000000,17200000,17200000,9409,0.358801,105625,7921,841,3481,0.07507600000000002,0.9506249999999999
Harold Castro,3B,106,0.654,315,89,3,37,0.283,0.669,DET,581700,581700,581700,11236,0.42771600000000004,99225,7921,9,1369,0.08008899999999998,0.44756100000000004
Yan Gomes,C,103,0.636,349,88,14,52,0.252,0.723,OAK,6000000,6000000,2096770,10609,0.404496,121801,7744,196,2704,0.063504,0.522729
Donovan Solano,2B,101,0.624,307,86,7,31,0.28,0.748,SF,3250000,3250000,3250000,10201,0.389376,94249,7396,49,961,0.07840000000000001,0.559504
Rafael Ortega,LF,103,0.636,296,86,11,33,0.291,0.823,CHC,570500,570500,398710,10609,0.404496,87616,7396,121,1089,0.08468099999999999,0.677329
Tucker Barnhart,C,116,0.716,348,86,7,48,0.247,0.685,CIN,3750000,4187500,4187500,13456,0.512656,121104,7396,49,2304,0.061009,0.46922500000000006
Sean Murphy,C,119,0.735,393,85,17,59,0.216,0.71,OAK,575500,575500,575500,14161,0.540225,154449,7225,289,3481,0.046655999999999996,0.5041
Yonathan Daza,RF,108,0.671,301,85,2,30,0.282,0.688,COL,572500,572500,572500,11664,0.45024100000000006,90601,7225,4,900,0.07952399999999998,0.47334399999999993
LaMonte Wade,CF,109,0.673,336,85,18,56,0.253,0.808,SF,570500,570500,414045,11881,0.4529290000000001,112896,7225,324,3136,0.064009,0.6528640000000001
Ben Gamel,CF,122,0.753,340,84,8,26,0.247,0.735,PIT,1500000,1500000,1177490,14884,0.567009,115600,7056,64,676,0.061009,0.540225
Luis Torrens,C,108,0.667,346,84,15,47,0.243,0.73,SEA,580700,580700,502642,11664,0.44488900000000003,119716,7056,225,2209,0.059049,0.5328999999999999
Ramon Laureano,CF,88,0.543,341,84,14,39,0.246,0.76,OAK,580500,580500,580500,7744,0.294849,116281,7056,196,1521,0.060516,0.5776
Ronald Acuna Jr.,RF,82,0.509,297,84,24,52,0.283,0.99,ATL,5000000,5000000,5000000,6724,0.259081,88209,7056,576,2704,0.08008899999999998,0.9801
Matt Duffy,3B,97,0.599,289,83,5,30,0.287,0.738,CHC,1000000,1000000,1000000,9409,0.358801,83521,6889,25,900,0.08236899999999998,0.544644
Elias Diaz,C,107,0.665,338,83,18,44,0.246,0.774,COL,1200000,1300000,1300000,11449,0.44222500000000003,114244,6889,324,1936,0.060516,0.599076
Colin Moran,1B,99,0.611,318,82,10,50,0.258,0.724,PIT,2800000,2800000,2800000,9801,0.37332099999999996,101124,6724,100,2500,0.066564,0.524176
Gavin Lux,SS,102,0.63,335,81,7,46,0.242,0.692,LAD,580500,580500,533691,10404,0.39690000000000003,112225,6561,49,2116,0.058564,0.47886399999999996
Wander Franco,SS,70,0.432,281,81,7,39,0.288,0.81,TB,570500,570500,315901,4900,0.18662399999999998,78961,6561,49,1521,0.08294399999999999,0.6561000000000001
Eric Haase,C,98,0.605,351,81,22,61,0.231,0.745,DET,570500,570500,441648,9604,0.366025,123201,6561,484,3721,0.053361000000000006,0.555025
Abraham Toro-Hernandez,3B,95,0.586,335,80,11,46,0.239,0.688,SEA,570500,570500,208556,9025,0.343396,112225,6400,121,2116,0.057121,0.47334399999999993
Frank Schwindel,1B,64,0.395,242,79,14,43,0.326,0.962,CHC,570500,570500,202422,4096,0.15602500000000002,58564,6241,196,1849,0.10627600000000001,0.9254439999999999
Gary Sanchez,C,117,0.722,383,78,23,54,0.204,0.73,NYY,6350000,6350000,6350000,13689,0.521284,146689,6084,529,2916,0.04161599999999999,0.5328999999999999
Edmundo Sosa,SS,113,0.698,288,78,6,27,0.271,0.735,STL,575900,575900,575900,12769,0.4872039999999999,82944,6084,36,729,0.073441,0.540225
Patrick Wisdom,3B,106,0.654,338,78,28,61,0.231,0.823,CHC,570500,570500,401777,11236,0.42771600000000004,114244,6084,784,3721,0.053361000000000006,0.677329
Ronald Torreyes,2B,112,0.691,318,77,7,41,0.242,0.632,PHI,800000,800000,800000,12544,0.47748099999999993,101124,5929,49,1681,0.058564,0.399424
