Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Ronald Belisario,2014,UFA,LAD,1,3000000,3000000,RP,62,0,66.3,78,46,41,18,47,4,8,8,1.45,5.56,CHW,3000000,3000000,3000000,0.07876654935478465,0.0301659125188537,2.611111111111111,3844,0,4395.69,6084,2116,1681,324,2209,16,64,64,2.1025,30.913599999999995,0.0009099822780951343,6.817901234567901,14776336
Joba Chamberlain,2014,UFA,NYY,1,2500000,2500000,RP,69,0,63.0,57,26,25,24,59,2,5,2,1.29,3.57,DET,2500000,3000000,3000000,0.10405643738977072,0.042328042328042326,2.4583333333333335,4761,0,3969.0,3249,676,625,576,3481,4,25,4,1.6641000000000001,12.7449,0.0017916631673245429,6.043402777777779,22667121
Matt Albers,2014,UFA,CLE,1,2450000,2450000,RP,8,0,10.0,10,1,1,3,8,0,0,0,1.3,0.9,HOU,2250000,2250000,2250000,0.08888888888888889,0.03333333333333333,2.6666666666666665,64,0,100.0,100,1,1,9,64,0,0,0,1.6900000000000002,0.81,0.0011111111111111111,7.111111111111111,4096
LaTroy Hawkins,2014,UFA,NYM,1,2250000,2250000,RP/CL,57,0,54.3,52,23,20,13,32,4,3,23,1.2,3.31,COL,2250000,2250000,2250000,0.06547984448536935,0.026601186822181298,2.4615384615384617,3249,0,2948.49,2704,529,400,169,1024,16,9,529,1.44,10.956100000000001,0.0007076231403485919,6.059171597633137,10556001
Chris Capuano,2014,UFA,LAD,1,2250000,2250000,RP,40,12,97.3,101,51,47,34,84,3,4,0,1.39,4.35,NYY,500000,500000,180327,0.0959232613908873,0.03882608199154962,2.4705882352941178,1600,144,9467.289999999999,10201,2601,2209,1156,7056,9,16,0,1.9320999999999997,18.922499999999996,0.0015074646428145336,6.103806228373703,2560000
Colby Lewis,2014,UFA,TEX,1,2000000,2000000,SP,29,29,170.3,211,107,98,48,133,10,14,0,1.52,5.18,TEX,2000000,2000000,2000000,0.08677497227115548,0.03131728322568017,2.7708333333333335,841,841,29002.090000000004,44521,11449,9604,2304,17689,100,196,0,2.3104,26.832399999999996,0.0009807722286374685,7.677517361111112,707281
J.P. Arencibia,2014,UFA,TOR,1,1800000,1800000,1B,63,58,1.0,1,0,0,0,0,0,0,0,1.0,0.0,TEX,1800000,1800000,1800000,0.0,0.0,,3969,3364,1.0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,,15752961
Jamey Wright,2014,UFA,TB,1,1800000,1800000,RP,61,1,70.3,72,35,34,27,54,5,4,1,1.41,4.35,LAD,1800000,1800000,1800000,0.08534850640113799,0.042674253200568994,2.0,3721,1,4942.089999999999,5184,1225,1156,729,2916,25,16,1,1.9880999999999998,18.922499999999996,0.001821091886226273,4.0,13845841
Felipe Paulino,2014,UFA,KC,1,1750000,1750000,SP,4,4,18.3,35,24,23,12,14,0,2,0,2.56,11.29,CHW,1500000,1500000,1500000,0.08500303582270795,0.07285974499089252,1.1666666666666667,16,16,334.89000000000004,1225,576,529,144,196,0,4,0,6.5536,127.46409999999999,0.005308542440137888,1.3611111111111114,256
Lyle Overbay,2014,UFA,NYY,1,1500000,1500000,1B,121,64,0.3,0,0,0,0,0,0,0,0,0.0,0.0,MIL,1500000,1500000,1500000,0.0,0.0,,14641,4096,0.09,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,214358881
Daisuke Matsuzaka,2014,UFA,NYM,1,1500000,1500000,SP,34,9,83.3,62,38,36,50,78,3,3,1,1.34,3.89,NYM,1500000,1500000,1500000,0.10404161664665867,0.06669334400426838,1.56,1156,81,6938.889999999999,3844,1444,1296,2500,6084,9,9,1,1.7956000000000003,15.132100000000001,0.004448002134471681,2.4336,1336336
Paul Maholm,2014,UFA,ATL,1,1500000,1500000,RP,30,8,70.7,82,44,38,28,34,1,5,0,1.56,4.84,LAD,1500000,1500000,1500000,0.05343391482005343,0.044004400440044,1.2142857142857142,900,64,4998.490000000001,6724,1936,1444,784,1156,1,25,0,2.4336,23.4256,0.0019363872580877447,1.4744897959183672,810000
