Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_en_contra_2_t,Bateos_en_contra_2_t_1,Bateos_en_contra_t,Bateos_en_contra_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_en_contra_2_t,Carreras_en_contra_2_t_1,Carreras_en_contra_t,Carreras_en_contra_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,MIL,6.3,6.3,2025,2025,2020,1,1,1,1,4,196,2,14,0,0,9,5,1,1,1,81,1,9,1,81,1,9,1.0,4.0,1.0,2.0,0.012345679012345678,0.00390625,0.1111111111111111,0.0625,0.012345679012345678,0.015625,0.1111111111111111,0.125,9.0,25.603599999999997,3.0,5.06,29,28,30,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,886952,677248,9.0,256.0,3.0,16.0,0,0,3,17,60,161,Ray Black,0,1,0,1,209704,119360,1,1,230,230.0,7,6,RP,RP,0.4833333333333333,0.5527950310559007,0,0,0,0,9,324,3,18,209704,119360,566200,555000,0.005,0.001,566200,555000,0.0,0.0,0.0,0.0,566200,555000,49875000,31900000,566200,555000,29,89,0.0025000000000000005,0.0004,0.05,0.02,2.7889,2.0736,1.67,1.44,0,0,9,81,3,9,0,0,0,0,12.253452291576949,13.246702651659936,13.246702651659936
CHW,CHW,6.1,6.1,2024,2024,2020,1,1,1,1,784,41209,28,203,0,0,5,3,2,2,441,14161,21,119,361,12100,19,110,2.5600000000000005,6.760000000000001,1.6,2.6,0.004015928779912644,0.0015406573082218955,0.06337135614702154,0.0392512077294686,0.010280777676576373,0.010414843403580013,0.10139416983523447,0.10205314009661835,42.1201,28.944399999999998,6.49,5.38,25,24,26,Chicago White Sox,Chicago White Sox,Illinois,1621102,1420462,691.69,33856.0,26.3,184.0,8,33,8,33,60,161,Reynaldo Lopez,9,225,3,15,200640,580000,6,6,220,220.0,10,9,SP,SP,0.5833333333333334,0.4472049689440994,0,0,0,0,576,28561,24,169,200640,580000,605000,580000,0.004,0.006,605000,580000,301.7169,1056.9000999999998,17.37,32.51,605000,580000,151500000,24500000,605000,580000,35,72,0.38616860499155536,0.1024,0.6214246575342464,0.32,2.6569,2.1315999999999997,1.63,1.46,3,3,225,4225,15,65,1,100,1,10,12.209267536426692,13.312983737012978,13.312983737012978
MIA,BAL,6.3,6.3,2023,0,2020,1,1,1,1,196,4225,14,65,0,0,6,1,2,1,36,1156,6,34,16,1089,4,33,7.5625,14.0625,2.75,3.75,0.0007082751773011972,0.00025837155112835907,0.026613439787092484,0.016073940124573038,0.005356331028340304,0.003633349937742549,0.07318695941450433,0.06027727546714889,4.6656,28.8369,2.16,5.37,32,31,33,Miami Marlins,Baltimore Orioles,Florida,2285751,1946862,278.89,3058.0899999999997,16.7,55.3,0,1,21,53,60,161,Richard Bleier,1,0,1,0,288309,572500,2,7,215,215.0,3,14,RP,RP,0.5166666666666667,0.3354037267080745,0,16,0,4,121,900,11,30,288309,572500,915000,572500,0.008,0.008,915000,572500,1576.0900000000001,1165.5396,39.7,34.14,915000,572500,25350000,800000,915000,572500,31,54,0.0361,0.0324,0.19,0.18,1.1664,1.7424000000000002,1.08,1.32,2,3,16,64,4,8,1,9,1,3,12.571788100621028,13.726679344257658,13.726679344257658
PIT,PIT,6.4,6.4,2024,2024,2020,1,1,1,1,225,4225,15,65,0,0,3,2,2,2,64,900,8,30,49,729,7,27,46.239999999999995,7.502835538752364,6.8,2.739130434782609,0.0005685165969324207,0.0015315962368361983,0.02384358607534573,0.039135613408201465,0.02628820744215514,0.01149131467675401,0.16213638531235097,0.10719754977029097,7.290000000000001,13.838400000000002,2.7,3.72,29,28,30,Pittsburgh Pirates,Pittsburgh Pirates,Pennsylvania,1432428,1197798,542.89,4264.089999999999,23.3,65.3,0,0,24,72,59,162,Richard Rodriguez,4,25,2,5,234630,650000,9,9,220,220.0,17,17,RP,RP,0.3220338983050847,0.4259259259259259,16,1,4,1,1156,3969,34,63,234630,615120,633500,650000,0.009,0.009,633500,650000,7793.3584,1769.0436000000002,88.28,42.06,633500,650000,3900000,4800000,633500,650000,19,69,0.1936,0.7224999999999999,0.44,0.85,0.7395999999999999,1.8225000000000002,0.86,1.35,5,5,25,529,5,23,9,16,3,4,12.365765084263767,13.35901527874333,13.35901527874333
TOR,ARI,6.2,6.2,2021,2021,2020,1,1,0,0,2809,22500,53,150,0,0,3,4,1,1,1600,8281,40,91,1444,7056,38,84,2.2834567901234566,7.8266723356009065,1.511111111111111,2.7976190476190474,0.009353172034763869,0.0028673372651695584,0.09671179883945841,0.0535475234270415,0.021357564191974387,0.02244170925014014,0.14614227380184827,0.14980557149231846,43.824400000000004,18.8356,6.62,4.34,28,27,28,Toronto Blue Jays,Arizona Diamondbacks,Toronto,15458723,11666130,2672.8900000000003,30380.490000000005,51.7,174.3,11,33,12,34,61,162,Robbie Ray,25,64,5,8,1459584,6050000,2,1,215,215.0,8,6,SP,SP,0.5245901639344263,0.5246913580246914,0,0,0,0,4624,55225,68,235,1159584,6050000,9430000,6050000,0.021,0.051,9430000,6050000,77.0884,2274.3361,8.78,47.69,9430000,6050000,108000000,11600000,9430000,6050000,32,85,0.38616860499155536,2.5281000000000002,0.6214246575342464,1.59,3.61,1.7956000000000003,1.9,1.34,2,1,2025,7056,45,84,4,144,2,12,13.963571878073115,16.05940665460964,16.05940665460964
NYM,NYM,6.4,6.4,2023,2023,2020,1,1,0,0,484,4096,22,64,0,0,5,6,2,2,225,1296,15,36,225,1089,15,33,1.265625,6.805293005671078,1.125,2.608695652173913,0.004031242126480221,0.0016095029924737627,0.06349206349206349,0.04011861154718297,0.00510204081632653,0.010953139457288368,0.07142857142857142,0.10465724751439036,92.92960000000001,21.808899999999998,9.64,4.67,26,25,26,New York Mets,New York Mets,New York,1809765,1356061,196.0,4057.6900000000005,14.0,63.7,4,0,6,52,60,161,Robert Gsellman,0,9,0,3,453704,582500,5,5,205,205.0,9,9,RP,RP,0.4333333333333333,0.5279503105590062,0,1,0,1,81,3600,9,60,453704,582500,1225000,582500,0.006,0.004,1225000,582500,0.0,882.6841000000001,0.0,29.71,1225000,582500,26300000,79000000,1225000,582500,26,85,0.38616860499155536,1.3834999818255351,0.6214246575342464,1.1762227602905562,4.5796,1.8769000000000002,2.14,1.37,2,2,64,529,8,23,0,4,0,2,13.025200282011692,14.018451401960965,14.018451401960965
CIN,CIN,6.3,6.3,2024,2024,2020,1,1,1,1,121,1849,11,43,0,0,4,1,2,2,121,900,11,30,121,729,11,27,18.777777777777775,11.390625,4.333333333333333,3.375,0.0011111111111111111,0.0016987477839967868,0.03333333333333333,0.041215868109222044,0.020864197530864194,0.0193497989770884,0.14444444444444443,0.1391035548686244,98.01,14.137599999999999,9.9,3.76,26,25,27,Cincinnati Reds,Cincinnati Reds,Ohio,3419374,3200115,100.0,4186.09,10.0,64.7,0,0,10,57,59,162,Robert Stephenson,0,4,0,2,219259,565000,10,10,205,205.0,16,15,RP,RP,0.5254237288135594,0.4629629629629629,0,0,0,0,169,6561,13,81,219259,565000,592000,565000,0.004,0.004,592000,565000,0.0,3394.2275999999997,0.0,58.26,592000,565000,144825000,2000000,592000,565000,31,75,0.38616860499155536,0.6561000000000001,0.6214246575342464,0.81,1.9599999999999997,1.0816000000000001,1.4,1.04,5,5,9,576,3,24,0,9,0,3,12.298008958422727,13.291261913866142,13.291261913866142
HOU,HOU,6.066556291390728,5.919150943396229,2022,0,2020,1,1,1,1,9,2025,3,45,0,0,3,3,2,2,1,400,1,20,1,361,1,19,inf,37.00694444444444,inf,6.083333333333333,0.0027474515109743016,0.00042077580539119,0.05241613788685982,0.020512820512820513,0.006009254251547385,0.015571626853678137,0.07751937984496125,0.12478632478632479,4.3264000000000005,6.916899999999999,2.08,2.63,24,23,25,Houston Astros,Houston Astros,Texas,16442579,12738875,18.49,4225.0,4.3,65.0,0,0,4,66,60,161,Roberto Osuna,0,9,0,3,3703704,6500000,3,3,215,215.0,14,13,RP/CL,RP/CL,0.4833333333333333,0.6583850931677019,1,1444,1,38,9,5329,3,73,3703704,6500000,10000000,6500000,0.045,0.039,10000000,6500000,0.0,8890.6041,0.0,94.29,10000000,6500000,15650000,42250000,10000000,6500000,29,106,0.09,3.3489000000000004,0.3,1.83,0.4760999999999999,0.7744,0.69,0.88,1,1,0,144,0,12,0,16,0,4,15.124843957948034,16.11809565095832,16.11809565095832
TOR,LAD,6.3,6.3,2023,0,2020,1,1,0,0,3136,7056,56,84,0,0,3,3,1,5,1369,1600,37,40,1024,1225,32,35,4.938271604938272,21.622500000000002,2.2222222222222223,4.65,0.001645758674176812,0.0006002890181521245,0.04056795131845842,0.024500796275878964,0.00812720332926821,0.012979749294994312,0.0901510029299076,0.11392870268283718,34.105599999999995,12.0409,5.84,3.47,30,29,30,Toronto Blue Jays,Los Angeles Dodgers,Toronto,3858361,2136122,2430.49,8226.49,49.3,90.7,9,15,12,32,61,161,Ross Stripling,9,16,3,4,92876,595000,2,25,220,220.0,8,33,RP,SP,0.5245901639344263,0.6521739130434783,1,0,1,0,1600,8649,40,93,92876,595000,600000,595000,0.002,0.003,600000,595000,0.0,2399.0404,0.0,48.98,2100000,595000,108000000,85000000,2100000,595000,32,105,0.38616860499155536,0.6561000000000001,0.6214246575342464,0.81,2.25,1.3224999999999998,1.5,1.15,2,6,324,400,18,20,9,16,3,4,11.439020549122256,13.304684934198283,13.304684934198283
CHC,CHC,6.3,6.3,2026,2025,2020,1,1,0,0,324,484,18,22,0,0,4,5,2,2,36,169,6,13,36,81,6,9,11.111111111111112,4.78515625,3.3333333333333335,2.1875,0.0014849959719484258,0.0028501418780586844,0.038535645472061654,0.053386720053386724,0.016499955243871395,0.01363837422117925,0.12845215157353884,0.11678345011678345,9.7344,5.9049000000000005,3.12,2.43,27,26,27,Chicago Cubs,Chicago Cubs,Illinois,634121,422454,299.29,1108.8899999999999,17.3,33.3,0,0,19,31,58,162,Rowan Wick,1,0,1,0,211667,256624,17,17,235,235.0,21,20,RP,RP,0.5517241379310345,0.5185185185185185,16,4,4,2,400,1225,20,35,211667,256624,571500,555000,0.002,0.001,571500,555000,4309.922500000001,0.0,65.65,0.0,571500,555000,2650000,49325000,571500,555000,32,84,0.0729,0.2916,0.27,0.54,1.9043999999999996,1.2995999999999999,1.38,1.14,3,3,36,256,6,16,0,4,0,2,12.262769564008629,13.256019762217003,13.256019762217003
TOR,TOR,6.4,6.4,2025,2025,2020,1,1,1,1,144,225,12,15,0,0,3,5,1,1,25,100,5,10,25,64,5,8,3.0625,1.0,1.75,1.0,0.006374476595710776,0.009900745031063586,0.07984031936127746,0.09950248756218905,0.019521834574364252,0.009900745031063586,0.13972055888223556,0.09950248756218905,7.290000000000001,116.64000000000001,2.7,10.8,25,24,26,Toronto Blue Jays,Toronto Blue Jays,Toronto,1445946,1246110,278.89,44.89,16.7,6.7,0,2,21,2,61,161,Ryan Borucki,1,1,1,1,199836,565200,2,2,215,215.0,8,7,RP,SP,0.5245901639344263,0.4099378881987577,0,0,0,0,441,36,21,6,199836,565200,573800,565200,0.004,0.005,573800,565200,1520.2201000000002,0.0,38.99,0.0,573800,565200,108000000,15500000,573800,565200,32,66,0.3364,1.3834999818255351,0.58,1.1762227602905562,2.0736,9.9225,1.44,3.15,2,2,144,36,12,6,1,0,1,0,12.205252309146271,13.2600361825294,13.2600361825294
BOS,BOS,6.0,6.0,2024,0,2020,1,1,0,0,576,2601,24,51,0,0,8,1,1,1,144,1089,12,33,121,900,11,30,7.438016528925619,8.437641723356009,2.727272727272727,2.9047619047619047,0.0023901234567901236,0.0017548628503055428,0.04888888888888889,0.04189108318372232,0.017777777777777778,0.014806904004505501,0.13333333333333333,0.12168362258128865,15.6816,23.522499999999997,3.96,4.85,32,31,32,Boston Red Sox,Boston Red Sox,Massachusetts,1575063,1358582,625.0,3102.4900000000002,25.0,55.7,1,0,25,62,60,161,Ryan Brasier,0,16,0,4,216481,501242,14,14,227,227.0,24,24,RP,RP,0.4,0.515527950310559,0,49,0,7,900,3721,30,61,216481,501242,584500,577500,0.003,0.002,584500,577500,2412.7744,1263.0916,49.12,35.54,584500,577500,19100000,68000000,584500,577500,24,83,0.28090000000000004,0.0009,0.53,0.03,1.9599999999999997,1.6641000000000001,1.4,1.29,9,9,121,441,11,21,1,4,1,2,12.285258062758322,13.27851205989426,13.27851205989426
STL,STL,6.2,6.2,2026,2025,2020,1,1,0,0,64,1156,8,34,0,0,2,1,2,2,64,169,8,13,49,144,7,12,1.5625,7.111111111111111,1.25,2.6666666666666665,0.0054869684499314125,0.001319913116719092,0.07407407407407407,0.03633060853769301,0.008573388203017831,0.00938604883000243,0.09259259259259259,0.09688162276718135,27.5625,8.7025,5.25,2.95,25,24,25,St. Louis Cardinals,St. Louis Cardinals,Missouri,521077,310336,144.0,1346.89,12.0,36.7,0,0,12,24,58,162,Ryan Helsley,1,0,1,0,210741,310336,23,23,230,230.0,30,29,RP/CL,P,0.5172413793103449,0.5617283950617284,1,0,1,0,100,1024,10,32,210741,310336,569000,555000,0.003,0.002,569000,555000,0.0,0.0,0.0,0.0,569000,555000,7000000,25000000,569000,555000,30,91,0.38616860499155536,0.30250000000000005,0.6214246575342464,0.55,1.7689000000000001,1.5625,1.33,1.25,11,11,64,144,8,12,1,4,1,2,12.2583851703259,13.251635713108469,13.251635713108469
HOU,HOU,6.2,6.2,2023,2023,2020,2,2,1,0,441,1369,21,37,0,0,3,3,2,2,100,225,10,15,64,196,8,14,17.16326530612245,36.0,4.142857142857143,6.0,0.0013717421124828531,0.0006029451610070842,0.037037037037037035,0.024554941682013505,0.02354357380812407,0.021706025796255034,0.15343915343915343,0.14732965009208104,11.7649,5.3824,3.43,2.32,30,30,31,Houston Astros,Houston Astros,Texas,10090766,6850025,441.0,2948.49,21.0,54.3,0,0,23,55,60,161,Ryan Pressly,9,9,3,3,3240741,2900000,3,3,206,206.0,14,13,RP/CL,RP/CL,0.4833333333333333,0.6583850931677019,144,9,12,3,841,5184,29,72,3240741,2900000,8750000,2900000,0.039,0.017,8750000,2900000,5719.8969,4330.9561,75.63,65.81,8750000,8750000,15650000,42250000,17500000,17500000,29,106,0.0529,2.7889,0.23,1.67,1.7689000000000001,0.81,1.33,0.9,1,1,49,144,7,12,1,4,1,2,14.991312565323511,15.984564258333798,15.984564258333798
BOS,BOS,6.1,6.1,2025,0,2020,1,1,0,0,1936,2304,44,48,0,0,8,1,1,1,529,625,23,25,441,529,21,23,3.719387755102041,13.140625,1.9285714285714286,3.625,0.0013086820370036521,0.0004769865539726309,0.03617571059431524,0.021840021840021838,0.0048674959437533805,0.006267901435796603,0.06976744186046512,0.07917007917007916,19.360000000000003,25.908099999999997,4.4,5.09,29,28,29,Boston Red Sox,Boston Red Sox,Massachusetts,1208072,999101,1849.0,1656.4900000000002,43.0,40.7,5,3,17,18,60,161,Ryan Weber,9,16,3,4,208971,317204,14,14,175,175.0,24,24,RP,RP,0.4,0.515527950310559,0,0,0,0,729,841,27,29,208971,317204,600000,555000,0.003,0.001,600000,555000,0.0,0.0,0.0,0.0,600000,555000,19100000,68000000,600000,555000,24,83,1.3224999999999998,0.016900000000000002,1.15,0.13,1.8225000000000002,1.9043999999999996,1.35,1.38,9,9,196,64,14,8,1,4,1,2,12.249950765338586,13.304684934198283,13.304684934198283
WSH,MIN,6.3,6.3,2025,2025,2020,1,1,1,1,841,2916,29,54,0,0,10,4,1,1,441,625,21,25,400,529,20,23,7.716049382716049,25.0,2.7777777777777777,5.0,0.0017803414694938494,0.0004187119173660308,0.042194092827004225,0.020462451401677923,0.013737202696711798,0.01046779793415077,0.11720581340834506,0.10231225700838961,57.9121,14.5161,7.61,3.81,30,29,31,Washington Nationals,Minnesota Twins,Washington DC,1202834,1060184,561.6899999999999,2948.49,23.7,54.3,0,0,23,61,62,162,Ryne Harper,0,4,0,2,142650,525184,1,6,215,215.0,6,16,RP,RP,0.4193548387096774,0.6234567901234568,0,1,0,1,625,2500,25,50,142650,525184,573500,555000,0.002,0.004,573500,555000,7.5625,0.0,2.75,0.0,573500,555000,316750000,46800000,573500,555000,26,101,0.38616860499155536,0.4489000000000001,0.6214246575342464,0.67,2.5921000000000003,1.3923999999999999,1.61,1.18,1,3,81,100,9,10,1,16,1,4,11.868149356641647,13.259513215551562,13.259513215551562
MIA,MIA,6.4,6.4,2024,2024,2020,1,1,0,0,121,3721,11,61,0,0,6,2,2,2,64,1521,8,39,64,1156,8,34,1.890625,5.2077580539119,1.375,2.282051282051282,0.007901234567901235,0.0031671070632109596,0.08888888888888889,0.05627705627705628,0.01493827160493827,0.016493527316038138,0.12222222222222222,0.12842712842712842,51.84,15.760900000000001,7.2,3.97,28,27,28,Miami Marlins,Miami Marlins,Florida,3153886,2930108,100.0,5929.0,10.0,77.0,0,27,9,65,60,162,Ryne Stanek,0,25,0,5,223778,185013,2,2,226,226.0,3,2,RP,RP,0.5166666666666667,0.3518518518518518,0,1,0,1,121,7921,11,89,223778,185013,604200,564200,0.007,0.002,604200,564200,0.0,2339.6569,0.0,48.37,604200,564200,25350000,4500000,604200,564200,31,57,0.38616860499155536,0.6889,0.6214246575342464,0.83,3.61,1.6900000000000002,1.9,1.3,2,2,64,1521,8,39,0,0,0,0,12.318409767972591,13.311660547934709,13.311660547934709
CIN,CIN,6.5,6.5,2025,0,2020,1,1,0,0,0,484,0,22,0,0,4,1,2,2,0,196,0,14,0,196,0,14,inf,4.0,inf,2.0,0.0027474515109743016,0.002973854705823039,0.05241613788685982,0.05453306066802999,0.013342401843945893,0.011895418823292156,0.11550931496613549,0.10906612133605997,0.0,59.4441,0.0,7.71,26,25,26,Cincinnati Reds,Cincinnati Reds,Ohio,1703006,1655328,1.6900000000000002,265.69,1.3,16.3,0,0,2,12,59,162,Sal Romano,0,0,0,0,47678,125328,10,10,255,255.0,16,15,RP,RP,0.5254237288135594,0.4629629629629629,0,4,0,2,0,256,0,16,47678,125328,575000,555000,0.001,0.001,575000,555000,0.0,0.0,0.0,0.0,575000,555000,144825000,2000000,575000,555000,31,75,0.0121,1.3834999818255351,0.11,1.1762227602905562,0.0,3.3856,0.0,1.84,5,5,0,64,0,8,1,1,1,1,10.772225354550736,13.262125319779487,13.262125319779487
SF,SF,6.2,6.2,2026,0,2020,1,1,0,0,289,361,17,19,0,0,3,2,5,5,256,121,16,11,256,121,16,11,4.591836734693877,1.7777777777777777,2.142857142857143,1.3333333333333333,0.002799473698944599,0.003620244989218911,0.052910052910052914,0.060168471720818295,0.012854726168623161,0.006435991091944731,0.11337868480725626,0.08022462896109106,96.4324,12.8164,9.82,3.58,27,26,27,San Francisco Giants,San Francisco Giants,California,769629,559768,216.08999999999997,767.29,14.7,27.7,0,0,18,33,60,161,Sam Coonrod,4,1,2,1,209861,229768,23,23,225,225.0,26,26,RP,RP,0.4833333333333333,0.4782608695652174,9,0,3,0,225,400,15,20,209861,229768,566625,555000,0.003,0.001,566625,555000,38.812900000000006,0.0,6.23,0.0,566625,555000,18250000,8500000,566625,555000,29,77,0.38616860499155536,0.2025,0.6214246575342464,0.45,2.6895999999999995,1.5129,1.64,1.23,8,8,49,225,7,15,0,25,0,5,12.254200685782031,13.24745298824315,13.24745298824315
PIT,COL,6.4,6.4,0,0,2020,1,1,1,1,289,441,17,21,0,0,3,1,2,1,100,256,10,16,81,196,9,14,9.0,5.289999999999999,3.0,2.3,0.0022675736961451243,0.0034198556820902153,0.047619047619047616,0.05847953216374269,0.02040816326530612,0.01809103655825724,0.14285714285714285,0.13450292397660818,14.8996,43.9569,3.86,6.63,26,25,27,Pittsburgh Pirates,Colorado Rockies,Pennsylvania,1142587,965032,441.0,361.0,21.0,19.0,0,0,22,20,59,161,Sam Howard,9,0,3,0,177555,158152,9,1,190,190.0,17,5,RP,RP,0.3220338983050847,0.4347826086956521,0,0,0,0,729,529,27,23,177555,158152,563500,555000,0.007,0.001,563500,555000,1469.9556000000002,0.0,38.34,0.0,563500,555000,3900000,24000000,563500,555000,19,70,0.0144,1.3834999818255351,0.12,1.1762227602905562,1.5376,2.6569,1.24,1.63,5,0,81,100,9,10,4,4,2,2,12.087035699056104,13.241922612461968,13.241922612461968
SF,SF,6.3,6.3,0,0,2020,1,1,0,0,169,36,13,6,0,0,3,2,5,5,64,25,8,5,64,25,8,5,6.530864197530863,2.777777777777778,2.5555555555555554,1.6666666666666667,0.0026846358291497756,0.004189315151705574,0.05181347150259067,0.06472491909385113,0.017532992020002854,0.011636986532515483,0.13241220495106504,0.10787486515641855,13.838400000000002,19.009600000000002,3.72,4.36,29,28,29,San Francisco Giants,San Francisco Giants,California,1023305,839520,372.49,106.09000000000002,19.3,10.3,0,0,24,10,60,161,Sam Selman,1,0,1,0,183785,89520,23,23,190,190.0,26,26,RP,P,0.4833333333333333,0.4782608695652174,1,0,1,0,529,100,23,10,183785,89520,563500,555000,0.003,0.001,563500,555000,1027.8436000000002,0.0,32.06,0.0,563500,555000,18250000,8500000,563500,555000,29,77,0.04409999999999999,0.016900000000000002,0.21,0.13,1.2995999999999999,1.3456,1.14,1.16,8,8,81,36,9,6,1,0,1,0,12.121521875127273,13.241922612461968,13.241922612461968
MIA,MIA,6.5,6.5,2025,0,2020,1,1,0,0,1225,32041,35,179,0,0,6,2,2,2,484,8836,22,94,196,7225,14,85,6.760000000000001,3.475232434080171,2.6,1.8641975308641976,0.0015747039556563364,0.00208080243962526,0.03968253968253968,0.04561581348200709,0.010644998740236835,0.007231272127098851,0.10317460317460317,0.0850368868615194,9.0,15.0544,3.0,3.88,24,23,24,Miami Marlins,Miami Marlins,Florida,1205343,975713,1764.0,38927.29,42.0,197.3,7,32,7,33,60,162,Sandy Alcantara,4,196,2,14,229630,555000,2,2,200,200.0,3,2,SP,SP,0.5166666666666667,0.3518518518518518,0,0,0,0,1521,22801,39,151,229630,555000,620000,555000,0.007,0.007,620000,555000,7516.89,6065.294399999999,86.7,77.88,620000,555000,25350000,4500000,620000,555000,31,57,0.5929,11.0224,0.77,3.32,1.4161,1.7424000000000002,1.19,1.32,2,2,225,6561,15,81,9,36,3,6,12.344224596912916,13.337474757021274,13.337474757021274
KC,KC,6.3,6.3,2025,2025,2020,1,1,0,0,729,4096,27,64,0,0,3,5,2,2,196,1089,14,33,196,1089,14,33,18.777777777777775,6.182615047479912,4.333333333333333,2.4864864864864864,0.0011111111111111111,0.003419855682090216,0.03333333333333333,0.058479532163742694,0.020864197530864194,0.021143651200300657,0.14444444444444443,0.14540856646119807,17.64,17.8084,4.2,4.22,27,26,27,Kansas City Royals,Kansas City Royals,Missouri,1205006,964265,900.0,4942.089999999999,30.0,70.3,0,0,32,61,59,162,Scott Barlow,1,9,1,3,240741,650000,4,4,210,210.0,9,9,RP/CL,P,0.423728813559322,0.3580246913580246,4,1,2,1,1521,8464,39,92,240741,604635,650000,650000,0.007,0.006,650000,650000,2426.5476,0.0,49.26,0.0,650000,650000,7550000,15700000,650000,650000,25,58,0.0576,1.0,0.24,1.0,1.44,2.0736,1.2,1.44,2,2,81,1369,9,37,4,9,2,3,12.391476945784033,13.38472764187182,13.38472764187182
WSH,WSH,6.2,6.2,2021,2021,2020,5,5,6,5,81,3969,9,63,0,0,10,7,1,1,36,729,6,27,25,729,5,27,2.25,19.360000000000003,1.5,4.4,0.003331605063206795,0.0007716049382716049,0.05772005772005772,0.027777777777777776,0.00749611139221529,0.01493827160493827,0.08658008658008659,0.12222222222222222,34.456900000000005,16.4025,5.87,4.05,27,27,33,Washington Nationals,Washington Nationals,Washington DC,20372407,17965000,59.290000000000006,3600.0,7.7,60.0,0,0,11,63,62,162,Sean Doolittle,4,25,2,5,2407407,6000000,1,1,204,204.0,6,6,RP,RP,0.4193548387096774,0.5740740740740741,0,841,0,29,36,4356,6,66,2407407,6000000,6500000,6000000,0.032,0.035,6500000,6000000,0.0,4834.4209,0.0,69.53,2100000,2100000,316750000,184550000,10500000,10500000,26,93,0.0004,0.5776,0.02,0.76,2.8899999999999997,1.6900000000000002,1.7,1.3,1,1,16,225,4,15,0,36,0,6,14.694060792624798,15.687312734865866,15.687312734865866
OAK,OAK,6.5,6.5,2023,2023,2020,1,1,1,1,3249,256,57,16,0,0,2,6,5,5,1024,16,32,4,729,16,27,4,31.640625,18.36734693877551,5.625,4.285714285714286,0.0002709614049348846,0.0006858010765397388,0.01646090534979424,0.026187803965581742,0.008573388203017831,0.01259634630379112,0.09259259259259259,0.11223344556677889,20.25,1.4641,4.5,1.21,27,26,28,Oakland Athletics,Oakland Athletics,California,9611750,8222861,2916.0,882.0899999999999,54.0,29.7,11,5,11,5,60,162,Sean Manaea,9,0,3,0,1388889,3150000,15,15,245,245.0,29,28,SP,SP,0.6,0.5987654320987654,0,0,0,0,2025,900,45,30,1388889,3150000,3750000,3150000,0.038,0.034,3750000,3150000,4302.048100000001,0.0,65.59,0.0,3750000,3150000,7500000,37600000,3750000,3150000,36,97,0.09,2.2801,0.3,1.51,1.44,0.5929,1.2,0.77,9,9,64,49,8,7,16,16,4,4,14.144014704936307,15.137266397946593,15.137266397946593
