Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
ATL,6.4,2014,4,1,18,324,2,4,1,5,31,Atlanta Braves,CHW,Georgia,0,0,9,162,81,Gavin Floyd,0.222,0.049284,18,235,23,0.111,0.012321,0.056,0.0031360000000000003,RP,0.4876543209876543,0,0,UFA,4000000,4000000,4000000,0.0,0.0,4000000,47350000,4000000,79,0.86,0.7395999999999999,3,15.201804919084164,15.201804919084164,15.201804919084164
ATL,6.2,2013,4,2,152,23104,31,961,1,5,34,Atlanta Braves,DET,Georgia,0,0,53,162,2809,Gerald Laird,0.532,0.28302400000000005,18,218,23,0.204,0.04161599999999999,0.327,0.10692900000000001,C,0.4876543209876543,10,100,UFA,1500000,1500000,1500000,0.0,0.0,3000000,47350000,1500000,79,,,3,14.22097566607244,14.22097566607244,14.22097566607244
PHI,6.2,2014,4,1,347,120409,81,6561,2,7,31,Philadelphia Phillies,CLE,Pennsylvania,5,25,112,162,12544,Grady Sizemore,0.654,0.42771600000000004,7,210,14,0.233,0.054289000000000004,0.691,0.47748099999999993,RF,0.4506172839506173,27,729,UFA,500000,500000,218579,21.63,467.85689999999994,750000,59875000,750000,73,-0.07,0.004900000000000001,2,13.122363377404328,13.122363377404328,12.294902784236212
NYY,0.0,2014,4,1,3,9,0,0,2,9,39,New York Yankees,NYY,New York,0,0,32,162,1024,Hiroki Kuroda,0.0,0.0,40,0,50,0.0,0.0,0.198,0.039204,SP,0.5185185185185185,0,0,UFA,16000000,16000000,16000000,35.24,1241.8576,16000000,311500000,16000000,84,2.0,4.0,27,16.588099280204055,16.588099280204055,16.588099280204055
SEA,6.3,2013,4,2,4,16,0,0,1,8,33,Seattle Mariners,SEA,Washington,0,0,28,161,784,Hisashi Iwakuma,0.2,0.04000000000000001,0,210,4,0.0,0.0,0.173,0.029928999999999997,SP,0.5341614906832298,0,0,UFA,6500000,6500000,6500000,70.08,4911.2064,14000000,267800000,7000000,86,2.41,5.8081000000000005,0,15.687312734865866,15.687312734865866,15.687312734865866
NYY,6.0,2013,4,2,359,128881,102,10404,2,9,40,New York Yankees,NYY,New York,1,1,143,162,20449,Ichiro Suzuki,0.664,0.44089600000000007,40,175,50,0.284,0.08065599999999999,0.883,0.779689,RF,0.5185185185185185,22,484,UFA,6500000,6500000,6500000,11.75,138.0625,13000000,311500000,6500000,84,0.93,0.8649000000000001,27,15.687312734865866,15.687312734865866,15.687312734865866
TEX,6.0,2014,4,1,203,41209,36,1296,2,7,28,Texas Rangers,TOR,Texas,10,100,63,162,3969,J.P. Arencibia,0.608,0.369664,2,203,6,0.177,0.031328999999999996,0.389,0.151321,1B,0.4135802469135802,35,1225,UFA,1800000,1800000,1800000,0.0,0.0,1800000,136050000,1800000,67,-1.22,1.4884,0,14.403297222866392,14.403297222866392,14.403297222866392
CIN,0.0,2013,4,2,48,2304,9,81,2,6,34,Cincinnati Reds,CLE,Ohio,0,0,26,162,676,Jack Hannahan,0.47,0.22089999999999999,10,0,15,0.188,0.035344,0.161,0.025921000000000003,1B,0.4691358024691358,2,4,UFA,1000000,1000000,1000000,0.0,0.0,4000000,15125000,2000000,76,-0.44,0.1936,5,13.815510557964274,13.815510557964274,13.815510557964274
NYY,6.1,2014,4,7,575,330625,156,24336,2,9,30,New York Yankees,BOS,New York,16,256,149,162,22201,Jacoby Ellsbury,0.747,0.558009,40,195,50,0.271,0.073441,0.92,0.8464,CF,0.5185185185185185,70,4900,UFA,21142857,21142857,21142857,46.39,2152.0321,153000000,311500000,21857143,84,3.55,12.6025,27,16.866812675916318,16.866812675916318,16.866812675916318
TB,6.3,2014,4,3,600,360000,174,30276,2,5,30,Tampa Bay Rays,TB,Florida,9,81,155,162,24025,James Loney,0.716,0.512656,1,235,4,0.29,0.0841,0.957,0.9158489999999999,1B,0.4753086419753086,69,4761,UFA,2666666,1000000,2666666,33.67,1133.6689000000001,21000000,28150000,7000000,77,1.52,2.3104,0,14.79633956097597,13.815510557964274,14.79633956097597
