Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2,WAR_2,TVS_2
Pedro Alvarez,2017,UFA,BAL,1,2000000,2000000,Baltimore Orioles,5,55600000,BAL,75,162,14,7,3,0.4629629629629629,1B,14,0.086,32,10,1,4,0.313,0.79,0.1,0.0,30,235,6.3,2000000,2000000,2000000,196,0.007395999999999999,1024,100,1,16,0.097969,0.6241000000000001,0.010000000000000002,0.0
Nick Hundley,2017,UFA,COL,1,2000000,2000000,San Francisco Giants,3,65250000,SF,64,162,26,23,8,0.3950617283950617,C,101,0.624,287,70,9,35,0.244,0.691,0.51,14.9,33,203,6.0,2000000,2000000,2000000,10201,0.389376,82369,4900,81,1225,0.059536,0.47748099999999993,0.2601,222.01000000000002
Chase Utley,2017,UFA,LAD,1,2000000,2000000,Los Angeles Dodgers,6,199600000,LAD,104,162,31,25,6,0.6419753086419753,2B,127,0.784,309,73,8,34,0.236,0.728,1.0,27.78,38,195,6.1,2000000,2250000,2250000,16129,0.6146560000000001,95481,5329,64,1156,0.055695999999999996,0.529984,1.0,771.7284000000001
Jhoulys Chacin,2017,UFA,LAA,1,1750000,1750000,San Diego Padres,4,8250000,SD,71,162,5,2,0,0.4382716049382716,SP,34,0.21,54,12,0,4,0.222,0.481,2.54,79.71,29,215,6.3,1750000,1750000,1750000,1156,0.04409999999999999,2916,144,0,16,0.049284,0.23136099999999998,6.4516,6353.684099999999
Clayton Richard,2017,UFA,SD,1,1750000,1750000,San Diego Padres,4,8250000,SD,71,162,5,2,0,0.4382716049382716,SP,32,0.198,57,7,1,4,0.123,0.36,0.54,40.31,33,240,6.5,1750000,2750000,2750000,1024,0.039204,3249,49,1,16,0.015129,0.1296,0.2916,1624.8961000000002
Trevor Cahill,2017,UFA,CHC,1,1750000,1750000,Kansas City Royals,4,43800000,KC,80,162,9,4,2,0.4938271604938271,RP,21,0.13,14,4,0,2,0.286,0.69,-0.48,0.0,29,230,6.4,1750000,1750000,669410,441,0.016900000000000002,196,16,0,4,0.08179599999999998,0.4760999999999999,0.2304,0.0
Dustin McGowan,2017,UFA,MIA,1,1750000,1750000,Miami Marlins,6,57250000,MIA,77,162,2,2,2,0.4753086419753086,RP,63,0.389,6,0,0,0,0.0,0.0,-0.2,26.16,35,240,6.3,1750000,1750000,1750000,3969,0.151321,36,0,0,0,0.0,0.0,0.04000000000000001,684.3456
Adam Lind,2017,UFA,SEA,1,1500000,1500000,Washington Nationals,4,10400000,WSH,97,163,5,1,0,0.5950920245398773,1B,116,0.716,267,81,14,59,0.303,0.875,0.81,49.41,33,195,6.2,1000000,1800000,1800000,13456,0.512656,71289,6561,196,3481,0.091809,0.765625,0.6561000000000001,2441.3480999999997
Chris Iannetta,2017,UFA,SEA,1,1500000,1500000,Arizona Diamondbacks,5,9750000,ARI,93,162,6,1,1,0.5740740740740741,C,89,0.549,272,69,17,43,0.254,0.865,1.76,0.0,34,230,0.0,1500000,1500000,1500000,7921,0.30140100000000003,73984,4761,289,1849,0.064516,0.748225,3.0976,0.0
Tom Milone,2017,UFA,MIN,1,1250000,1250000,New York Mets,2,116500000,NYM,70,162,9,5,2,0.4320987654320987,RP,17,0.105,9,1,0,1,0.111,0.384,-0.16,0.0,30,215,6.0,1250000,1250000,1017746,289,0.011024999999999998,81,1,0,1,0.012321,0.147456,0.0256,0.0
Alexi Amarista,2017,UFA,SD,1,1250000,1250000,Colorado Rockies,4,97250000,COL,87,162,4,1,0,0.5370370370370371,SS,96,0.593,168,40,3,19,0.238,0.62,-1.25,0.0,28,152,5.6,1100000,1100000,1100000,9216,0.351649,28224,1600,9,361,0.05664399999999999,0.3844,1.5625,0.0
Adam Rosales,2017,UFA,SD,1,1250000,1250000,Arizona Diamondbacks,5,9750000,ARI,93,162,6,1,1,0.5740740740740741,2B,105,0.648,289,65,7,36,0.225,0.613,-0.47,6.54,34,200,6.2,1250000,1250000,430353,11025,0.419904,83521,4225,49,1296,0.050625,0.37576899999999996,0.22089999999999999,42.7716
Michael Saunders,2017,UFA,PHI,0,0,0,Toronto Blue Jays,6,70000000,TOR,76,162,7,2,2,0.4691358024691358,LF,73,0.451,218,44,6,21,0.202,0.6,-0.68,0.0,30,225,6.4,535000,535000,93536,5329,0.203401,47524,1936,36,441,0.04080400000000001,0.36,0.4624000000000001,0.0
