Acronimo,Altura,Anio,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2
HOU,6.3,2018,2,56,3136,2,3,25,625,25,625,2.4,5.76,0.036609921288669224,0.001340286336762556,0.08786381109280614,0.007720049299752323,3.71,13.7641,31,Houston Astros,CHC,Texas,60.7,3684.4900000000002,62,161,3844,1,1,Hector Rondon,2,4,3,230,13,RP,0.6583850931677019,0,0,UFA,48,2304,4500000,4500000,4500000,29.5,870.25,8500000,42250000,4250000,106,0.83,0.6889,1.25,1.5625,1,20,400,3,9
WSH,6.3,2019,1,22,484,1,7,15,225,15,225,2.25,5.0625,0.036579789666209415,0.0013380810120241211,0.0823045267489712,0.006774035123372115,5.55,30.8025,30,Washington Nationals,SF,Washington DC,24.3,590.49,28,162,784,0,0,Hunter Strickland,1,1,1,225,6,RP,0.5740740740740741,2,4,UFA,18,324,1375000,1300000,419355,0.0,0.0,1300000,184550000,1300000,93,-0.17,0.028900000000000006,1.23,1.5129,1,8,64,2,4
COL,6.3,2017,5,1,1,1,1,0,0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,33,Colorado Rockies,TEX,Colorado,1.0,1.0,140,161,19600,107,11449,Ian Desmond,0,0,1,220,5,CF,0.4347826086956521,0,0,UFA,0,0,15000000,15000000,15000000,10.41,108.3681,70000000,24000000,14000000,70,-1.46,2.1315999999999997,1.0,1.0,0,0,0,0,0
KC,6.0,2016,5,64,4096,2,5,24,576,24,576,4.294117647058823,18.439446366782004,0.029840266807091457,0.0008904415231184041,0.12813761628927509,0.016419248708297494,3.41,11.628100000000002,34,Kansas City Royals,SD,Missouri,63.3,4006.8899999999994,63,162,3969,0,0,Ian Kennedy,2,4,4,205,9,RP,0.3580246913580246,30,900,UFA,73,5329,16500000,16500000,16500000,48.4,2342.56,70000000,15700000,14000000,58,1.41,1.9880999999999998,1.28,1.6384,2,17,289,3,9
SD,6.0,2019,2,1,1,5,4,0,0,0,0,0.0,0.0,0.2222222222222222,0.04938271604938271,0.0,0.0,0.0,0.0,37,San Diego Padres,BOS,California,1.0,1.0,87,162,7569,63,3969,Ian Kinsler,0,0,2,200,5,2B,0.4320987654320987,0,0,UFA,0,0,3750000,3750000,3750000,0.0,0.0,8000000,326000000,4000000,70,-0.29,0.0841,3.0,9.0,0,2,4,0,0
CHW,6.5,2017,3,225,50625,2,3,107,11449,98,9604,2.425531914893617,5.883205070167498,0.027926322043969103,0.0007798794629034746,0.0677361853832442,0.004588190810273226,4.72,22.278399999999998,32,Chicago White Sox,PIT,Illinois,187.0,34969.0,34,161,1156,34,1156,Ivan Nova,12,144,6,250,9,SP,0.4472049689440994,0,0,UFA,114,12996,9166668,8500000,9166668,39.86,1588.8196,26000000,24500000,8666667,72,2.12,4.494400000000001,1.46,2.1315999999999997,3,47,2209,11,121
NYY,6.5,2019,2,160,25600,2,5,88,7744,88,7744,2.857142857142857,8.16326530612245,0.03375353034373493,0.001139300810665435,0.09643865812495694,0.009300414780942325,4.91,24.1081,36,New York Yankees,NYY,New York,161.3,26017.690000000002,32,162,1024,29,841,J.A. Happ,8,64,40,205,55,SP,0.6358024691358025,0,0,UFA,140,19600,17000000,17000000,17000000,23.16,536.3856,34000000,124555000,17000000,103,1.21,1.4641,1.29,1.6641000000000001,27,49,2401,12,144
PHI,6.4,2018,3,149,22201,2,4,76,5776,70,4900,2.156862745098039,4.652056901191849,0.04175878162613609,0.0017437958428993211,0.09006796037009744,0.008112237485229443,4.64,21.5296,33,Philadelphia Phillies,CHC,Pennsylvania,135.7,18414.489999999998,24,162,576,24,576,Jake Arrieta,8,64,7,230,14,SP,0.5,0,0,UFA,110,12100,25000000,25000000,25000000,16.71,279.2241,75000000,403000000,25000000,81,0.9,0.81,1.47,2.1609,2,51,2601,8,64
OAK,6.4,2019,1,48,2304,5,6,34,1156,32,1024,2.1025641025641026,4.42077580539119,0.07103825136612021,0.00504643315715608,0.1493624772313297,0.022309149604679484,4.72,22.278399999999998,32,Oakland Athletics,ARI,California,61.0,3721.0,75,162,5625,0,0,Jake Diekman,7,49,15,195,28,RP,0.5987654320987654,0,0,UFA,82,6724,2250000,2250000,786305,20.76,430.97760000000005,2750000,37600000,2750000,97,0.16,0.0256,1.43,2.0448999999999997,9,39,1521,1,1
COL,6.4,2018,3,47,2209,1,1,25,625,20,400,3.1818181818181817,10.12396694214876,0.02959375840731773,0.0008757905366706888,0.09416195856873823,0.008866474441500774,4.36,19.009600000000002,32,Colorado Rockies,COL,Colorado,41.3,1705.6899999999998,45,161,2025,0,0,Jake McGee,2,4,1,229,5,RP,0.4347826086956521,0,0,UFA,35,1225,8500000,8500000,8500000,0.0,0.0,27000000,24000000,9000000,70,0.39,0.1521,1.4,1.9599999999999997,0,11,121,0,0
PHI,0.0,2018,2,57,3249,2,4,37,1369,32,1024,2.0,4.0,0.0420757363253857,0.0017703675873233817,0.0841514726507714,0.007081470349293527,4.04,16.3216,33,Philadelphia Phillies,MIL,Pennsylvania,71.3,5083.69,72,162,5184,0,0,Jared Hughes,5,25,7,240,14,RP,0.5,1,1,UFA,54,2916,2125000,2125000,525550,34.0,1156.0,4500000,403000000,2250000,81,0.05,0.0025000000000000005,1.18,1.3923999999999999,2,27,729,5,25
PHI,6.0,2018,2,141,19881,2,4,84,7056,75,5625,1.9682539682539681,3.8740236835474926,0.04676018704074816,0.0021865150920857526,0.09203592369925036,0.008470611251174234,4.51,20.3401,36,Philadelphia Phillies,KC,Pennsylvania,149.7,22410.089999999997,30,162,900,29,841,Jason Vargas,9,81,7,215,14,SP,0.5,0,0,UFA,124,15376,8000000,8000000,8000000,40.36,1628.9296,16000000,403000000,8000000,81,1.62,2.6244000000000005,1.36,1.8496000000000004,2,63,3969,7,49
SF,0.0,2016,5,152,23104,5,2,78,6084,71,5041,2.857142857142857,8.16326530612245,0.03003003003003003,0.0009018027036045054,0.0858000858000858,0.007361654723302085,3.52,12.3904,34,San Francisco Giants,CHW,California,181.3,32869.69,32,161,1024,32,1024,Jeff Samardzija,12,144,23,240,26,SP,0.4782608695652174,0,0,UFA,140,19600,19800000,18000000,19800000,58.61,3435.1321,90000000,8500000,18000000,77,2.91,8.468100000000002,1.11,1.2321000000000002,8,49,2401,11,121
WSH,6.1,2019,1,47,2209,1,7,31,961,27,729,1.5,2.25,0.05698005698005698,0.0032467268934505402,0.08547008547008547,0.007305135510263716,6.23,38.812900000000006,32,Washington Nationals,WSH,Washington DC,39.0,1521.0,9,162,81,8,64,Jeremy Hellickson,3,9,1,190,6,RP,0.5740740740740741,0,0,UFA,30,900,1900000,1300000,1900000,0.0,0.0,1300000,184550000,1300000,93,-0.36,0.1296,1.72,2.9583999999999997,1,20,400,2,4
TEX,6.2,2019,2,82,6724,2,6,48,2304,42,1764,3.272727272727273,10.710743801652894,0.03133903133903134,0.0009821348852687886,0.10256410256410256,0.010519395134779749,4.85,23.522499999999997,35,Texas Rangers,CHC,Texas,78.0,6084.0,48,162,2304,9,81,Jesse Chavez,5,25,2,175,8,RP,0.4814814814814814,1,1,UFA,72,5184,4000000,4000000,4000000,0.0,0.0,8000000,47250000,4000000,78,0.71,0.5041,1.33,1.7689000000000001,0,22,484,3,9
NYM,6.3,2019,3,62,3844,2,6,39,1521,38,1444,1.5,2.25,0.07777777777777778,0.006049382716049383,0.11666666666666667,0.013611111111111112,5.7,32.49,29,New York Mets,OAK,New York,60.0,3600.0,66,161,4356,0,0,Jeurys Familia,2,4,5,240,9,RP,0.5279503105590062,0,0,UFA,63,3969,6666666,6000000,6666666,1.42,2.0164,30000000,79000000,10000000,85,-0.44,0.1936,1.73,2.9929,2,42,1764,4,16
BOS,6.3,2018,2,115,13225,1,1,73,5329,69,4761,2.1956521739130435,4.820888468809073,0.0494783263418307,0.0024481047775886974,0.10863719479401958,0.011802040092713755,6.01,36.1201,31,Boston Red Sox,SD,Massachusetts,103.3,10670.89,25,161,625,24,576,Jhoulys Chacin,12,144,14,215,24,SP,0.515527950310559,0,0,UFA,101,10201,555000,555000,86536,10.85,117.7225,15500000,68000000,7750000,83,-0.67,0.4489000000000001,1.56,2.4336,9,46,2116,3,9
OAK,6.3,2019,2,51,2601,5,6,33,1089,33,1089,3.95,15.602500000000001,0.0322061191626409,0.0010372341115182254,0.12721417069243157,0.016183445224963115,4.3,18.49,35,Oakland Athletics,MIL,California,69.0,4761.0,71,162,5041,0,0,Joakim Soria,4,16,15,205,28,RP/CL,0.5987654320987654,1,1,UFA,79,6241,6500000,6500000,6500000,27.84,775.0656,15000000,37600000,7500000,97,0.37,0.1369,1.03,1.0609,9,20,400,2,4
LAD,6.1,2019,3,49,2401,5,3,31,961,26,676,2.8181818181818183,7.942148760330579,0.047649989170457006,0.00227052146794467,0.13428633311674248,0.018032819261940728,4.56,20.793599999999998,31,Los Angeles Dodgers,BOS,California,51.3,2631.6899999999996,55,161,3025,0,0,Joe Kelly,4,16,25,174,33,RP,0.6521739130434783,1,1,UFA,62,3844,3000000,3000000,3000000,8.68,75.3424,25000000,85000000,8333333,105,-0.53,0.28090000000000004,1.38,1.9043999999999996,6,22,484,5,25
