"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Tom Gorzelanny","RP","MIL","1.00","0.27","0.23","0.06","0.40","0.02","0.00","0.00","0.00","0.00","0.059","0.059","0.059","0.118","0.00","$0",""
"","Paul Maholm","RP","ATL","1.00","0.16","1.00","0.16","2.00","0.27","0.08","0.00","0.00","0.08","0.135","0.151","0.173","0.324","0.00","$0",""
"","Matt Cain","RP","SF","1.00","0.19","1.00","0.19","1.73","0.17","0.00","0.00","0.00","0.07","0.096","0.130","0.096","0.226","0.00","$0",""
"","Jason Hammel","SP","BAL","1.00","0.16","0.88","0.14","0.12","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","John Lannan","RP","PHI","1.00","0.09","1.00","0.09","1.50","0.29","0.07","0.00","0.00","0.07","0.191","0.261","0.238","0.499","0.00","$0",""
"","Koyie Hill","C","MIA","1.00","0.11","0.89","0.10","3.22","0.50","0.11","0.00","0.00","0.00","0.155","0.183","0.190","0.373","0.00","$0",""
"","Clayton Richard","SP","SD","1.00","0.09","0.79","0.07","1.00","0.21","0.00","0.00","0.00","0.07","0.214","0.214","0.214","0.429","0.00","$0",""
"","Johnny Cueto","SP","CIN","1.00","0.07","1.00","0.07","1.82","0.27","0.00","0.00","0.00","0.09","0.150","0.150","0.150","0.300","0.00","$6,000,000",""
"","Paul Janish","SS","ATL","1.00","0.32","0.19","0.06","0.79","0.13","0.04","0.00","0.00","0.04","0.171","0.222","0.220","0.442","0.00","$0",""
"","Jesse Chavez","RP","OAK","1.00","0.22","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
"","Jaime Garcia","SP","STL","1.00","0.06","1.00","0.06","2.33","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","0.00","$0",""
