Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Peter Bourjos,0.624,19,0.22,0.606,LAA,500000,No
Jose Lobaton,0.426,20,0.222,0.64,TB,481500,No
George Kottaras,0.525,31,0.211,0.766,OAK,700000,No
Ian Stewart,0.34,17,0.201,0.627,CHC,2237500,No
Bobby Wilson,0.463,13,0.211,0.569,LAA,487500,No
Ryan Raburn,0.407,12,0.171,0.48,DET,2100000,No
Nick Punto,0.537,10,0.219,0.602,BOS,1500000,No
Mike Carp,0.364,20,0.213,0.654,SEA,488800,No
Erik Kratz,0.309,26,0.248,0.809,PHI,480000,No
Devin Mesoraco,0.333,14,0.212,0.64,CIN,480000,No
Chris Stewart,0.34,13,0.241,0.611,NYY,482500,No
Carl Crawford,0.191,19,0.282,0.785,BOS,20357142,No
Ryan Flaherty,0.475,19,0.216,0.617,BAL,480000,No
Humberto Quintero,0.265,19,0.232,0.598,KC,1000000,No
Endy Chavez,0.395,12,0.203,0.515,BAL,1500000,Si
Nick Hundley,0.358,22,0.157,0.464,SD,2000000,No
Adeiny Hechavarria,0.253,15,0.254,0.645,TOR,2750000,No
Tony Cruz,0.315,11,0.254,0.632,STL,481000,No
Charlie Blackmon,0.259,9,0.283,0.732,COL,480000,No
Paul Janish,0.34,9,0.186,0.502,CIN,850000,No
Juan Uribe,0.407,17,0.191,0.542,LAD,8000000,No
Matt Dominguez,0.191,16,0.284,0.787,HOU,480000,No
Chone Figgins,0.407,11,0.181,0.533,SEA,9500000,No
Marlon Byrd,0.29,9,0.21,0.488,BOS,6500000,No
Lyle Overbay,0.401,10,0.259,0.727,ARI,1000000,No
Pedro Florimon,0.265,10,0.219,0.579,MIN,480000,No
Gorkys Hernandez,0.432,13,0.192,0.569,MIA,480000,No
Emmanuel Burriss,0.37,7,0.213,0.491,SF,625000,No
Tyler Flowers,0.321,13,0.213,0.708,CHW,483000,No
Danny Valencia,0.272,21,0.188,0.497,MIN,515000,No
Irving Falu,0.148,7,0.341,0.806,KC,480000,No
Rob Brantly,0.191,8,0.29,0.832,MIA,480000,No
Xavier Nady,0.364,13,0.184,0.569,SF,700000,Si
Eduardo Escobar,0.309,9,0.214,0.537,CHW,480000,No
Collin Cowgill,0.235,9,0.269,0.654,OAK,482500,No
Xavier Paul,0.34,7,0.314,0.844,CIN,414066,No
Eduardo Nunez,0.235,11,0.292,0.723,NYY,523800,No
Chris Gimenez,0.259,9,0.26,0.645,TB,480000,No
Ryan Wheeler,0.309,10,0.239,0.634,ARI,480000,No
Andrew Brown,0.284,11,0.232,0.73,COL,480000,No
