Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Dakota Hudson,RP,26,0.161,1,0,0,0,0.0,0.0,STL,545000,No
Lucas Giolito,SP,32,0.198,6,0,0,0,0.0,0.0,CHW,555000,No
Jordan Hicks,RP,73,0.451,1,0,0,0,0.0,0.0,STL,545000,No
Brock Stewart,RP,9,0.055,2,0,0,0,0.0,0.0,LAD,545000,No
Dylan Floro,RP/CL,54,0.331,4,0,0,0,0.0,0.0,LAD,545000,No
Reynaldo Lopez,SP,32,0.198,1,0,0,0,0.0,0.0,CHW,555000,No
Mike Mayers,RP,50,0.309,1,0,0,0,0.0,0.5,STL,545000,No
Alexander Reyes,RP,1,0.006,1,0,0,0,0.0,0.0,STL,545600,No
Felix Pena,SP,19,0.117,6,0,0,0,0.0,0.0,LAA,545000,No
Wandy Peralta,RP,59,0.364,1,0,0,0,0.0,0.0,CIN,557500,No
Austin Voth,SP,4,0.025,2,0,0,0,0.0,0.0,WSH,545000,No
Lucas Sims,SP,9,0.056,2,0,0,0,0.0,0.0,CIN,545000,No
Keury Mella,P,4,0.025,2,0,0,0,0.0,0.0,CIN,545000,No
Jackson Stephens,RP,29,0.179,2,0,0,0,0.0,0.333,CIN,545000,No
Jacob Rhame,RP,30,0.185,1,0,0,0,0.0,0.0,NYM,545650,No
Reyes Moronta,RP,69,0.426,1,0,0,0,0.0,0.0,SF,545000,No
Yefry Ramirez,RP,17,0.105,2,0,0,0,0.0,0.0,BAL,545000,No
Giovanny Gallegos,RP/CL,6,0.037,1,0,0,0,0.0,0.0,STL,549975,No
Edmundo Sosa,SS,3,0.019,2,0,0,0,0.0,0.333,STL,545000,No
Jake Junis,SP,30,0.185,2,0,0,0,0.0,0.0,KC,554250,No
Clay Holmes,SP,11,0.068,6,0,0,0,0.0,0.0,PIT,545000,No
Drew Anderson,SP,5,0.031,3,0,0,0,0.0,0.0,PHI,545000,No
Paul Blackburn,SP,6,0.037,2,0,0,0,0.0,0.0,OAK,547500,No
Yency Almonte,RP,14,0.086,1,0,0,0,0.0,0.0,COL,545000,No
Dylan Covey,SP,27,0.167,1,0,0,0,0.0,0.0,CHW,545000,No
Tyler Webb,RP,22,0.136,1,0,0,0,0.0,0.0,STL,545000,No
Kyle McGowin,SP,6,0.037,2,0,0,0,0.0,0.0,WSH,545000,No
Paul Sewald,RP/CL,47,0.29,5,0,0,0,0.0,0.0,NYM,553250,No
Mark Leiter Jr.,RP,20,0.124,3,0,0,0,0.0,0.0,TOR,549500,No
Hector Velazquez,RP,48,0.296,1,0,0,0,0.0,0.0,BOS,547000,No
John Brebbia,RP,45,0.278,2,0,0,0,0.0,0.0,STL,552000,No
Eric Skoglund,SP,14,0.086,3,0,0,0,0.0,0.0,KC,545000,No
Andrew Kittredge,RP/CL,33,0.204,1,0,0,0,0.0,0.0,TB,548100,No
Yacksel Rios,RP,36,0.222,1,0,0,0,0.0,0.0,PHI,545000,No
Sandy Alcantara,SP,6,0.037,12,0,0,0,0.0,0.077,MIA,545000,No
Richard Rodriguez,RP/CL,63,0.391,2,0,0,0,0.0,0.0,PIT,545000,No
Luiz Gohara,SP,9,0.056,2,0,0,0,0.0,0.0,ATL,555000,No
Jalen Beeks,SP,14,0.086,2,0,0,0,0.0,0.0,TB,545000,No
Seranthony Dominguez,RP,53,0.327,1,0,0,0,0.0,0.5,PHI,545000,No
David Hess,RP,21,0.13,2,0,0,0,0.0,0.333,BAL,545000,No
Jose Castillo,RP,37,0.228,1,0,0,1,0.0,0.0,SD,545000,No
Corey Oswalt,SP,17,0.105,18,0,0,0,0.0,0.0,NYM,545000,No
Tyler Bashlor,RP,24,0.148,1,0,0,0,0.0,0.0,NYM,545000,No
Wander Suero,RP,40,0.247,3,0,0,0,0.0,0.0,WSH,545000,No
Tim Hill,RP,70,0.432,1,0,0,0,0.0,0.0,KC,545000,No
