Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Agente libre
Yordan Alvarez,0.033,4,0.25,0.958,HOU,607000,No
Franklin Barreto,0.35,2,0.074,0.181,LAA,568500,No
Luis Alexander Basabe,0.15,1,0.143,0.476,SF,563500,No
Sherten Apostel,0.117,0,0.1,0.293,TEX,563500,No
Nick Heath,0.25,3,0.154,0.543,KC,563500,No
Eduardo Nunez,0.033,0,0.5,1.0,NYM,1250000,No
Andrew Romine,0.033,0,0.25,0.75,TEX,575000,No
Rene Rivera,0.033,0,0.25,0.5,NYM,1000000,No
Derek Hill,0.259,0,0.091,0.258,DET,563500,No
Ryan Cordell,0.083,0,0.125,0.25,NYM,575000,No
Luis Campusano,0.017,1,0.333,1.833,SD,563500,No
Brandon Dixon,0.086,2,0.077,0.297,DET,575000,No
Austin Dean,0.052,0,0.25,1.071,STL,563500,No
Austin Adams,0.05,0,0.0,0.0,SD,570900,No
Andrew Susac,0.017,0,0.0,0.5,PIT,575000,No
Alec Mills,0.2,0,0.0,0.0,CHC,569500,No
Joey Rickard,0.067,0,0.0,0.167,SF,563500,No
Tim Hill,0.383,0,0.0,0.0,SD,585750,No
Nate Orf,0.1,0,0.0,0.0,OAK,563500,No
Jason Martin,0.117,0,0.0,0.182,PIT,563500,No
