Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
PIT,6.2,2016,6,1,437,190969,118,13924,2,10,33,Pittsburgh Pirates,LAA,Pennsylvania,13,169,141,160,19881,David Freese,0.764,0.583696,9,213,17,0.27,0.0729,0.87,0.7569,3B,0.4875,55,3025,UFA,3000000,3000000,3000000,45.58,2077.5364,3000000,25150000,3000000,78,1.72,2.9583999999999997,5,14.914122846632385,14.914122846632385,14.914122846632385
BOS,6.5,2016,6,7,10,100,0,0,1,6,30,Boston Red Sox,TOR,Massachusetts,0,0,35,161,1225,David Price,0.091,0.008281,13,215,22,0.0,0.0,0.216,0.046655999999999996,SP,0.577639751552795,0,0,UFA,30000000,30000000,30000000,29.72,883.2783999999999,217000000,230000000,31000000,93,2.99,8.940100000000001,8,17.216707939626428,17.216707939626428,17.216707939626428
CHC,6.2,2015,6,2,166,27556,38,1444,2,15,39,Chicago Cubs,BOS,Illinois,10,100,67,160,4489,David Ross,0.784,0.6146560000000001,17,230,18,0.229,0.052441,0.414,0.171396,C,0.6375,32,1024,UFA,2500000,2250000,2500000,0.0,0.0,5000000,291277500,2500000,102,1.69,2.8560999999999996,3,14.73180128983843,14.626440774180603,14.73180128983843
SF,6.0,2016,6,3,572,327184,152,23104,5,8,32,San Francisco Giants,WSH,California,11,121,143,161,20449,Denard Span,0.712,0.506944,23,210,26,0.266,0.07075600000000001,0.883,0.779689,CF,0.5341614906832298,53,2809,UFA,5000000,3000000,5000000,28.81,830.0160999999999,31000000,251000000,10333333,86,1.25,1.5625,8,15.424948470398375,14.914122846632385,15.424948470398375
CHC,6.5,2016,6,1,456,207936,126,15876,2,15,30,Chicago Cubs,CHC,Illinois,13,169,125,160,15625,Dexter Fowler,0.84,0.7055999999999999,17,205,18,0.276,0.07617600000000001,0.772,0.5959840000000001,CF,0.6375,48,2304,UFA,8000000,8000000,8000000,82.36,6783.1696,13000000,291277500,13000000,102,3.99,15.920100000000001,3,15.89495209964411,15.89495209964411,15.89495209964411
TOR,5.9,2016,6,1,304,92416,63,3969,1,13,32,Toronto Blue Jays,TOR,Toronto,6,36,101,161,10201,Dioner Navarro,0.587,0.34456899999999996,2,215,7,0.207,0.042849,0.624,0.389376,C,0.546583850931677,35,1225,UFA,4000000,4000000,852459,4.93,24.304899999999996,4000000,65800000,4000000,88,-0.69,0.4760999999999999,2,15.201804919084164,15.201804919084164,13.65588039314162
HOU,6.8,2016,6,1,5,25,1,1,2,3,32,Houston Astros,WSH,Texas,0,0,32,161,1024,Doug Fister,0.4,0.16000000000000003,1,210,10,0.2,0.04000000000000001,0.198,0.039204,SP,0.5217391304347826,2,4,UFA,11000000,7000000,11000000,21.82,476.11240000000004,7000000,26000000,7000000,84,-0.09,0.0081,0,16.213405830762646,15.761420707019587,16.213405830762646
MIA,6.3,2016,6,1,4,16,0,0,2,10,34,Miami Marlins,PHI,Florida,0,0,55,160,3025,Dustin McGowan,0.0,0.0,2,240,2,0.0,0.0,0.342,0.11696400000000001,RP,0.49375,0,0,UFA,1000000,1000000,1000000,54.44,2963.7135999999996,0,84707500,0,79,0.68,0.4624000000000001,2,13.815510557964274,13.815510557964274,13.815510557964274
KC,0.0,2015,6,2,5,25,0,0,2,10,32,Kansas City Royals,PIT,Missouri,0,0,34,161,1156,Edinson Volquez,0.0,0.0,4,220,9,0.0,0.0,0.21,0.04409999999999999,SP,0.5031055900621118,0,0,UFA,9500000,9500000,9500000,8.21,67.40410000000001,20000000,186750000,10000000,81,-0.88,0.7744,2,16.06680235657077,16.06680235657077,16.06680235657077
SD,0.0,2013,6,4,23,529,5,25,5,13,32,San Diego Padres,WSH,California,0,0,24,161,576,Edwin Jackson,0.569,0.32376099999999997,2,210,5,0.217,0.047089,0.149,0.022201,SP,0.422360248447205,2,4,UFA,507500,507500,216294,9.48,89.8704,52000000,12120000,13000000,68,-0.19,0.0361,0,13.137251989898079,13.137251989898079,12.284393872305369
