Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike_outs,Strike_outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
PIT,No,6.0,2019,2024,1,1,117,13689,0,2,2,69,4761,65,4225,1.8867924528301887,3.5599857600569598,0.4677846425419241,0.2188224717980757,0.88261253309797,0.7790048835816152,5.16,26.625600000000002,27,26,Pittsburgh Pirates,Pennsylvania,1312056,113.3,12836.89,34,162,20,Steven Brault,6,36,571465,9,195.0,17,0.20987654320987653,SP,0.4259259259259259,0,0,100,10000,571465,574500,0.008,574500,31.14,969.6996,574500,4800000,574500,69,0.67,0.4489000000000001,1.5,2.25,5,53,2809,4,16,13.255958517996907,13.261255376270947,13.261255376270947
ATL,Si,6.2,2019,0,1,1,115,13225,0,1,6,50,2500,47,2209,2.3333333333333335,5.4444444444444455,0.3460514640638864,0.11975161578075928,0.8074534161490683,0.6519810192508004,3.75,14.0625,31,30,Atlanta Braves,Georgia,52917680,112.7,12701.29,19,161,19,Dallas Keuchel,8,64,21210000,18,205.0,25,0.11801242236024845,SP,0.6024844720496895,0,0,91,8281,13000000,21210000,0.09,21210000,40.73,1658.9328999999998,21210000,52210000,21210000,97,2.27,5.1529,1.37,1.8769000000000002,3,39,1521,8,64,16.38045991542581,16.869983326540865,16.869983326540865
DET,No,6.2,2019,2021,5,4,145,21025,0,1,4,89,7921,86,7396,3.28,10.758399999999998,0.22321428571428573,0.04982461734693878,0.7321428571428571,0.536033163265306,6.91,47.7481,33,29,Detroit Tigers,Michigan,118361000,112.0,12544.0,23,161,23,Jordan Zimmermann,13,169,25000000,11,225.0,16,0.14285714285714285,SP,0.2919254658385093,0,0,82,6724,25000000,25000000,0.218,25000000,1.2,1.44,22000000,15500000,110000000,47,1.1762227602905562,1.3834999818255351,1.52,2.3104,4,25,625,1,1,17.034386382832476,17.034386382832476,17.034386382832476
MIL,No,6.3,2019,0,1,1,101,10201,0,1,5,49,2401,46,2116,3.1621621621621623,9.999269539810081,0.33243486073674755,0.11051293663306073,1.051212938005391,1.1050486410299258,3.72,13.838400000000002,26,25,Milwaukee Brewers,Wisconsin,1060882,111.3,12387.689999999999,35,161,18,Adrian Houser,7,49,450584,1,222.0,6,0.21739130434782608,SP,0.5527950310559007,0,0,117,13689,450584,555000,0.003,555000,52.41,2746.8080999999997,555000,31900000,555000,89,2.03,4.120899999999999,1.24,1.5376,0,37,1369,6,36,13.018299798138576,13.226723392728571,13.226723392728571
MIA,No,6.4,2019,2025,1,1,111,12321,0,2,2,64,4096,63,3969,3.5185185185185186,12.37997256515775,0.24258760107816713,0.05884874419685995,0.8535489667565139,0.7285458386511126,5.09,25.908099999999997,23,22,Miami Marlins,Florida,827490,111.3,12387.689999999999,22,162,21,Pablo Lopez,8,64,555000,2,225.0,2,0.13580246913580246,SP,0.3518518518518518,0,0,95,9025,555000,555000,0.007,555000,49.08,2408.8464,555000,4500000,555000,57,0.67,0.4489000000000001,1.24,1.5376,2,27,729,5,25,13.226723392728571,13.226723392728571,13.226723392728571
BAL,No,6.2,2019,0,1,1,126,15876,0,1,1,77,5929,69,4761,2.576923076923077,6.640532544378699,0.23486901535682023,0.05516345437468226,0.6052393857271906,0.36631471403542704,5.61,31.472100000000005,26,25,Baltimore Orioles,Maryland,1333923,110.7,12254.49,36,161,13,Gabriel Ynoa,10,100,483408,7,205.0,14,0.2236024844720497,SP,0.3354037267080745,0,0,67,4489,483408,555000,0.007,555000,11.73,137.59290000000001,555000,800000,555000,54,1.1762227602905562,1.3834999818255351,1.37,1.8769000000000002,3,26,676,1,1,13.088616296556035,13.226723392728571,13.226723392728571
BAL,No,6.4,2019,0,1,1,118,13924,0,1,1,72,5184,69,4761,2.411764705882353,5.816608996539792,0.3090909090909091,0.09553719008264462,0.7454545454545455,0.555702479338843,5.65,31.922500000000003,29,28,Baltimore Orioles,Maryland,1074857,110.0,12100.0,29,161,18,Aaron Brooks,8,64,249913,7,230.0,14,0.18012422360248448,SP,0.3354037267080745,1,1,82,6724,249913,560000,0.003,560000,19.99,399.60009999999994,560000,800000,560000,54,0.22,0.0484,1.38,1.9043999999999996,3,34,1156,6,36,12.428868136278332,13.235692062711331,13.235692062711331
NYY,No,6.6,2019,2020,1,0,112,12544,0,2,5,64,4096,59,3481,2.7435897435897436,7.527284681130835,0.3634669151910531,0.1321081984385002,0.9972041006523765,0.994416018357915,4.95,24.5025,38,38,New York Yankees,New York,264785714,107.3,11513.289999999999,24,162,22,C.C. Sabathia,8,64,8000000,40,300.0,55,0.14814814814814814,SP,0.6358024691358025,0,0,107,11449,8000000,8000000,0.036,8000000,14.98,224.40040000000002,8000000,124555000,8000000,103,0.44,0.1936,1.41,1.9880999999999998,27,39,1521,5,25,15.89495209964411,15.89495209964411,15.89495209964411
BOS,No,6.5,2019,2023,7,3,109,11881,0,1,1,57,3249,51,2601,4.0,16.0,0.29822926374650516,0.08894069375478253,1.1929170549860206,1.4230511000765205,4.28,18.3184,33,30,Boston Red Sox,Massachusetts,184042498,107.3,11513.289999999999,22,161,22,David Price,5,25,31000000,14,215.0,24,0.13664596273291926,SP,0.515527950310559,0,0,128,16384,31000000,31000000,0.135,31000000,13.02,169.5204,31000000,68000000,217000000,83,1.55,2.4025000000000003,1.31,1.7161000000000002,9,32,1024,7,49,17.24949776244942,17.24949776244942,17.24949776244942
TB,No,6.4,2019,2024,5,0,96,9216,600000,2,2,53,2809,51,2601,3.675,13.505624999999998,0.37383177570093457,0.13975019652371384,1.3738317757009346,1.887413747925583,4.29,18.4041,26,26,Tampa Bay Rays,Florida,5943304,107.0,11449.0,23,161,23,Blake Snell,8,64,4000000,1,225.0,5,0.14285714285714285,SP,0.5962732919254659,0,0,147,21609,1600000,1000000,0.025,1600000,46.81,2191.1761,10000000,33500000,50000000,96,1.37,1.8769000000000002,1.27,1.6129,0,40,1600,6,36,14.28551418721001,13.815510557964274,14.28551418721001
COL,No,6.4,2019,0,1,1,126,15876,0,1,1,85,7225,78,6084,2.0256410256410255,4.103221564760026,0.37392138063279,0.13981719889433183,0.7574304889741131,0.5737009456275641,6.73,45.2929,26,25,Colorado Rockies,Colorado,3819434,104.3,10878.49,22,161,22,Kyle Freeland,11,121,434434,1,201.0,5,0.13664596273291926,SP,0.4347826086956521,0,0,79,6241,434434,565000,0.003,565000,8.03,64.48089999999999,565000,24000000,565000,70,1.1762227602905562,1.3834999818255351,1.58,2.4964000000000004,0,39,1521,3,9,12.981799313415625,13.244581010128577,13.244581010128577
MIL,Si,6.5,2019,2020,1,0,105,11025,0,1,5,58,3364,56,3136,3.1136363636363638,9.694731404958679,0.4230769230769231,0.17899408284023668,1.3173076923076923,1.7352995562130178,4.85,23.522499999999997,30,30,Milwaukee Brewers,Wisconsin,20671259,104.0,10816.0,46,161,18,Drew Pomeranz,10,100,491965,1,246.0,6,0.2857142857142857,RP,0.5527950310559007,2,4,137,18769,491965,1500000,0.004,1500000,0.0,0.0,1500000,31900000,1500000,89,1.1762227602905562,1.3834999818255351,1.43,2.0448999999999997,0,44,1936,2,4,13.10616285473262,14.22097566607244,14.22097566607244
BOS,No,6.3,2019,2020,1,1,115,13225,0,1,1,73,5329,69,4761,2.1956521739130435,4.820888468809073,0.4453049370764763,0.1982964869846845,0.9777347531461762,0.9559652475098142,6.01,36.1201,31,30,Boston Red Sox,Massachusetts,27901145,103.3,10670.89,25,161,24,Jhoulys Chacin,12,144,86536,14,215.0,24,0.15527950310559005,SP,0.515527950310559,0,0,101,10201,86536,555000,0.0,555000,10.85,117.7225,555000,68000000,555000,83,1.1762227602905562,1.3834999818255351,1.56,2.4336,9,46,2116,3,9,11.368315791310126,13.226723392728571,13.226723392728571
SD,No,6.3,2019,0,1,1,106,11236,0,5,4,61,3721,59,3481,3.1785714285714284,10.103316326530612,0.27184466019417475,0.07389951927608633,0.8640776699029126,0.7466302196248468,5.16,26.625600000000002,24,23,San Diego Padres,California,4353949,103.0,10609.0,23,162,18,Cal Quantrill,8,64,390904,2,195.0,5,0.1419753086419753,SP,0.4320987654320987,0,0,89,7921,390904,555000,0.004,555000,40.84,1667.9056000000003,555000,326000000,555000,70,0.37,0.1369,1.3,1.6900000000000002,0,28,784,6,36,12.876217284524802,13.226723392728571,13.226723392728571
LAA,Si,6.4,2019,2020,1,1,111,12321,0,5,4,71,5041,68,4624,2.076923076923077,4.313609467455622,0.3812316715542522,0.1453375873960492,0.7917888563049854,0.6269295929687568,5.98,35.760400000000004,31,30,Los Angeles Angels,California,48461516,102.3,10465.289999999999,39,161,11,Trevor Cahill,9,81,9000000,1,230.0,10,0.2422360248447205,RP,0.4472049689440994,0,0,81,6561,9000000,9000000,0.056,9000000,0.0,0.0,9000000,31000000,9000000,72,1.1762227602905562,1.3834999818255351,1.47,2.1609,1,39,1521,4,16,16.012735135300492,16.012735135300492,16.012735135300492
CIN,No,6.3,2019,0,1,1,113,12769,0,2,1,71,5041,65,4225,3.5625,12.69140625,0.3128054740957967,0.09784726462429613,1.1143695014662758,1.241819385798196,5.72,32.718399999999995,28,27,Cincinnati Reds,Ohio,19861013,102.3,10465.289999999999,31,162,17,Kevin Gausman,9,81,2815064,10,190.0,15,0.19135802469135801,RP,0.4629629629629629,0,0,114,12996,2815064,9350000,0.022,9350000,0.0,0.0,9350000,2000000,9350000,75,1.1762227602905562,1.3834999818255351,1.42,2.0164,5,32,1024,3,9,14.850495554643842,16.05088690126487,16.05088690126487
SF,No,6.1,2019,2025,1,1,108,11664,0,5,2,74,5476,62,3844,1.9722222222222223,3.889660493827161,0.36363636363636365,0.1322314049586777,0.7171717171717171,0.5143352719110295,5.64,31.809599999999996,27,26,San Francisco Giants,California,891390,99.0,9801.0,29,161,16,Dereck Rodriguez,11,121,392210,23,215.0,26,0.18012422360248448,SP,0.4782608695652174,0,0,71,5041,392210,561250,0.002,561250,16.13,260.1769,561250,8500000,561250,77,1.1762227602905562,1.3834999818255351,1.46,2.1315999999999997,8,36,1296,6,36,12.879552689614643,13.237921718038601,13.237921718038601
LAA,No,6.2,2019,0,1,1,80,6400,0,5,4,56,3136,49,2401,2.9705882352941178,8.82439446366782,0.3530633437175493,0.12465372467701638,1.0488058151609554,1.099993637915436,4.58,20.9764,29,28,Los Angeles Angels,California,1287980,96.3,9273.689999999999,23,161,8,Felix Pena,3,9,569000,1,220.0,10,0.14285714285714285,SP,0.4472049689440994,0,0,101,10201,569000,569000,0.004,569000,52.68,2775.1824,569000,31000000,569000,72,0.99,0.9801,1.18,1.3923999999999999,1,34,1156,8,64,13.251635713108469,13.251635713108469,13.251635713108469
OAK,No,6.2,2019,0,1,1,84,7056,0,5,6,35,1225,28,784,4.478260869565218,20.05482041587902,0.23958333333333334,0.05740017361111112,1.0729166666666667,1.1511501736111112,2.63,6.916899999999999,26,25,Oakland Athletics,California,1262881,96.0,9216.0,16,162,16,Frankie Montas,2,4,319120,15,255.0,28,0.09876543209876543,SP,0.5987654320987654,0,0,103,10609,319120,560000,0.003,560000,0.0,0.0,560000,37600000,560000,97,2.59,6.708099999999999,1.12,1.2544000000000002,9,23,529,9,81,12.673322486579288,13.235692062711331,13.235692062711331
SF,No,6.4,2019,0,1,0,111,12321,0,5,2,61,3721,58,3364,1.8421052631578947,3.3933518005540164,0.3958333333333333,0.15668402777777776,0.7291666666666666,0.5316840277777777,5.44,29.593600000000006,24,24,San Francisco Giants,California,1114776,96.0,9216.0,28,161,16,Shaun Anderson,5,25,414776,23,228.0,26,0.17391304347826086,RP,0.4782608695652174,2,4,70,4900,414776,555000,0.002,555000,0.0,0.0,555000,8500000,555000,77,1.1762227602905562,1.3834999818255351,1.55,2.4025000000000003,8,38,1444,3,9,12.935493894454343,13.226723392728571,13.226723392728571
TOR,No,6.2,2019,2024,1,1,85,7225,0,1,5,51,2601,49,2401,4.0,16.0,0.22988505747126436,0.05284713964856652,0.9195402298850575,0.8455542343770643,4.61,21.252100000000002,29,28,Toronto Blue Jays,Toronto,1448252,95.7,9158.49,52,161,0,Sam Gaviglio,2,4,579500,2,205.0,7,0.32298136645962733,RP,0.4099378881987577,0,0,88,7744,579500,579500,0.005,579500,62.26,3876.3075999999996,579500,15500000,579500,66,0.48,0.2304,1.12,1.2544000000000002,2,22,484,4,16,13.269920941761944,13.269920941761944,13.269920941761944
LAA,No,6.2,2019,0,1,1,93,8649,0,5,4,53,2809,52,2704,3.933333333333333,15.47111111111111,0.3147953830010493,0.09909613315877733,1.2381951731374607,1.5331272867809065,4.91,24.1081,28,27,Los Angeles Angels,California,8267905,95.3,9082.09,18,161,18,Andrew Heaney,6,36,3400000,1,200.0,10,0.11180124223602485,SP,0.4472049689440994,0,0,118,13924,3400000,3400000,0.021,3400000,37.5,1406.25,3400000,31000000,3400000,72,1.25,1.5625,1.29,1.6641000000000001,1,30,900,4,16,15.03928598958639,15.03928598958639,15.03928598958639
PHI,No,6.5,2019,0,1,1,103,10609,0,2,4,64,4096,56,3136,2.282051282051282,5.2077580539119,0.41622198505869795,0.17324074084620297,0.9498399146211313,0.9021958634074779,5.38,28.944399999999998,26,25,Philadelphia Phillies,Pennsylvania,1729899,93.7,8779.69,30,162,13,Nick Pivetta,6,36,440455,7,214.0,14,0.18518518518518517,RP,0.5,1,1,89,7921,440455,598000,0.003,598000,0.0,0.0,598000,403000000,598000,81,1.1762227602905562,1.3834999818255351,1.52,2.3104,2,39,1521,4,16,12.995563562499845,13.301346032932768,13.301346032932768
HOU,No,6.1,2019,0,1,1,78,6084,0,2,3,43,1849,42,1764,3.096774193548387,9.590010405827263,0.33805888767720826,0.11428381153755131,1.0468920392584515,1.0959829418627192,4.12,16.9744,31,30,Houston Astros,Texas,8472172,91.7,8408.890000000001,23,161,15,Brad Peacock,6,36,3110000,3,210.0,13,0.14285714285714285,SP,0.6583850931677019,0,0,96,9216,3110000,3110000,0.018,3110000,52.3,2735.2899999999995,3110000,42250000,3110000,106,1.1,1.2100000000000002,1.19,1.4161,1,31,961,7,49,14.950133284155417,14.950133284155417,14.950133284155417
KC,No,6.5,2019,0,1,0,113,12769,0,2,5,55,3025,50,2500,2.0294117647058822,4.118512110726643,0.37362637362637363,0.13959666706919455,0.7582417582417582,0.574930563941553,4.95,24.5025,29,29,Kansas City Royals,Missouri,5371566,91.0,8281.0,34,162,13,Mike Montgomery,9,81,996989,4,215.0,9,0.20987654320987653,SP,0.3580246913580246,0,0,69,4761,996989,2440000,0.01,2440000,8.56,73.2736,2440000,15700000,2440000,58,1.1762227602905562,1.3834999818255351,1.62,2.6244000000000005,2,34,1156,3,9,13.812495015783812,14.707508597269385,14.707508597269385
LAD,No,6.3,2019,0,1,0,84,7056,0,5,3,40,1600,35,1225,4.65,21.622500000000002,0.2205071664829107,0.04862341047032209,1.0253583241455346,1.0513596928945392,3.47,12.0409,29,29,Los Angeles Dodgers,California,2136122,90.7,8226.49,32,161,15,Ross Stripling,4,16,595000,25,220.0,33,0.19875776397515527,SP,0.6521739130434783,0,0,93,8649,595000,595000,0.003,595000,48.98,2399.0404,595000,85000000,595000,105,0.81,0.6561000000000001,1.15,1.3224999999999998,6,20,400,4,16,13.296316684527767,13.296316684527767,13.296316684527767
LAA,No,6.2,2019,0,1,1,80,6400,0,5,4,46,2116,46,2116,3.2,10.240000000000002,0.33222591362126247,0.11037405768148255,1.06312292358804,1.1302303506583815,4.58,20.9764,23,22,Los Angeles Angels,California,2014200,90.3,8154.089999999999,19,161,17,Griffin Canning,6,36,555000,1,180.0,10,0.11801242236024845,SP,0.4472049689440994,0,0,96,9216,456552,555000,0.003,555000,49.2,2420.6400000000003,555000,31000000,555000,72,1.32,1.7424000000000002,1.22,1.4884,1,30,900,5,25,13.031457882716087,13.226723392728571,13.226723392728571
COL,No,6.2,2019,0,1,1,119,14161,0,1,1,74,5476,72,5184,1.5833333333333333,2.506944444444444,0.4031354983202688,0.16251823000593144,0.6382978723404256,0.40742417383431423,7.25,52.5625,22,21,Colorado Rockies,Colorado,1841144,89.3,7974.49,22,161,19,Peter Lambert,7,49,346144,1,185.0,5,0.13664596273291926,SP,0.4347826086956521,0,0,57,3249,346144,555000,0.002,555000,6.47,41.860899999999994,555000,24000000,555000,70,1.1762227602905562,1.3834999818255351,1.74,3.0276,0,36,1296,3,9,12.754610152430017,13.226723392728571,13.226723392728571
MIL,Si,6.0,2019,2020,1,0,76,5776,0,1,5,36,1296,34,1156,2.108108108108108,4.4441197954711456,0.4238258877434135,0.17962838312149254,0.8934707903780069,0.7982900532587004,3.5,12.25,33,33,Milwaukee Brewers,Wisconsin,63039677,87.3,7621.289999999999,19,161,17,Gio Gonzalez,2,4,1709677,1,205.0,6,0.11801242236024845,SP,0.5527950310559007,0,0,78,6084,1709677,2000000,0.013,2000000,60.97,3717.3408999999997,2000000,31900000,2000000,89,2.1,4.41,1.29,1.6641000000000001,0,37,1369,3,9,14.3518150217482,14.508657738524219,14.508657738524219
MIA,No,6.2,2019,0,1,0,99,9801,0,2,2,53,2809,49,2401,2.3846153846153846,5.686390532544379,0.3069657615112161,0.09422797874016078,0.7319952774498228,0.5358170862088432,5.21,27.144099999999998,27,27,Miami Marlins,Florida,4923035,84.7,7174.09,25,162,13,Jose Urena,10,100,3200000,2,208.0,2,0.15432098765432098,RP,0.3518518518518518,3,9,62,3844,3200000,3200000,0.042,3200000,0.0,0.0,3200000,4500000,3200000,57,1.1762227602905562,1.3834999818255351,1.48,2.1904,2,26,676,4,16,14.978661367769956,14.978661367769956,14.978661367769956
ARI,No,6.4,2019,2025,1,1,86,7396,0,1,4,55,3025,50,2500,2.2666666666666666,5.137777777777777,0.3541912632821724,0.12545145098542115,0.8028335301062574,0.6445416770628748,5.32,28.302400000000002,26,25,Arizona Diamondbacks,Arizona,1156996,84.7,7174.09,23,162,15,Taylor Clarke,5,25,355096,1,217.0,6,0.1419753086419753,RP,0.5246913580246914,1,1,68,4624,355096,555000,0.003,555000,0.0,0.0,555000,11600000,555000,85,1.1762227602905562,1.3834999818255351,1.37,1.8769000000000002,1,30,900,5,25,12.780143454435182,13.226723392728571,13.226723392728571
CHC,Si,6.2,2019,2021,1,0,82,6724,0,2,5,61,3721,57,3249,1.8222222222222222,3.320493827160494,0.5338078291814947,0.28495079849545984,0.9727164887307237,0.9461773674486281,6.08,36.9664,32,32,Chicago Cubs,Illinois,44696240,84.3,7106.49,53,162,8,Derek Holland,5,25,475000,17,213.0,20,0.3271604938271605,RP,0.5185185185185185,0,0,82,6724,475000,6500000,0.002,6500000,2.31,5.3361,7000000,49325000,7000000,84,1.1762227602905562,1.3834999818255351,1.51,2.2801,3,45,2025,2,4,13.071070083016778,15.687312734865866,15.687312734865866
TOR,No,5.919150943396228,2019,2024,1,1,78,6084,0,1,5,42,1764,42,1764,3.2758620689655173,10.73127229488704,0.34400948991696323,0.11834252915292923,1.1269276393831555,1.2699659044056915,4.48,20.070400000000003,29,28,Toronto Blue Jays,Toronto,1140855,84.3,7106.49,48,161,17,Wilmer Font,5,25,219949,2,250.0,7,0.2981366459627329,RP,0.4099378881987577,0,0,95,9025,219949,560400,0.002,560400,0.0,0.0,560400,15500000,560400,66,1.1762227602905562,1.3834999818255351,1.27,1.6129,2,29,841,4,16,12.301150980278692,13.23640609344499,13.23640609344499
MIL,No,6.0,2019,2023,1,1,58,3364,0,1,5,35,1225,33,1089,2.138888888888889,4.574845679012346,0.43010752688172044,0.18499248468030988,0.9199522102747909,0.8463120691894731,3.55,12.6025,34,33,Milwaukee Brewers,Wisconsin,3722265,83.7,7005.6900000000005,72,161,0,Junior Guerra,5,25,2225000,1,235.0,6,0.4472049689440994,RP,0.5527950310559007,3,9,77,5929,2225000,2225000,0.016,2225000,74.85,5602.522499999999,2225000,31900000,2225000,89,1.49,2.2201,1.12,1.2544000000000002,0,36,1296,9,81,14.615267473582477,14.615267473582477,14.615267473582477
CIN,No,6.3,2019,0,1,1,68,4624,0,2,1,29,841,27,729,3.0357142857142856,9.215561224489795,0.33613445378151263,0.11298637101899585,1.0204081632653061,1.0412328196584757,2.92,8.526399999999999,27,26,Cincinnati Reds,Ohio,4726401,83.3,6938.889999999999,106,162,6,Michael Lorenzen,4,16,1950000,10,220.0,15,0.654320987654321,RP,0.4629629629629629,7,49,85,7225,1950000,1950000,0.015,1950000,81.07,6572.344899999999,1950000,2000000,1950000,75,2.25,5.0625,1.15,1.3224999999999998,5,28,784,1,1,14.48333993053993,14.48333993053993,14.48333993053993
ARI,No,6.2,2019,0,1,0,72,5184,0,1,4,40,1600,33,1089,2.6296296296296298,6.914951989026064,0.32412965186074433,0.10506003121536732,0.8523409363745499,0.7264850718198445,3.56,12.6736,25,25,Arizona Diamondbacks,Arizona,1714880,83.3,6938.889999999999,17,162,15,Alex Young,5,25,283480,1,205.0,6,0.10493827160493827,SP,0.5246913580246914,0,0,71,5041,283480,555000,0.002,555000,64.56,4167.993600000001,555000,11600000,555000,85,0.76,0.5776,1.19,1.4161,1,27,729,7,49,12.554896852924193,13.226723392728571,13.226723392728571
OAK,No,6.1,2019,2021,2,1,57,3249,0,5,6,25,625,25,625,7.1,50.41,0.12048192771084337,0.014515894904920888,0.8554216867469879,0.731746262157062,2.71,7.3441,34,33,Oakland Athletics,California,20153491,83.0,6889.0,80,162,0,Yusmeiro Petit,3,9,5500000,15,252.0,28,0.49382716049382713,RP,0.5987654320987654,0,0,71,5041,5500000,5500000,0.059,5500000,81.31,6611.3161,5000000,37600000,10000000,97,2.46,6.0516,0.81,0.6561000000000001,9,10,100,5,25,15.520258650202699,15.520258650202699,15.520258650202699
LAA,No,6.1,2019,2025,1,0,92,8464,0,5,4,61,3721,59,3481,2.7777777777777777,7.716049382716049,0.3264812575574365,0.1065900115362852,0.9068923821039903,0.8224537927182499,6.42,41.2164,22,22,Los Angeles Angels,California,649970,82.7,6839.290000000001,19,161,13,Jaime Barria,10,100,251490,1,210.0,10,0.11801242236024845,SP,0.4472049689440994,0,0,75,5625,251490,563500,0.002,563500,8.66,74.9956,563500,31000000,563500,72,1.1762227602905562,1.3834999818255351,1.44,2.0736,1,27,729,4,16,12.435158506300013,13.241922612461968,13.241922612461968
BAL,No,6.4,2019,0,1,0,80,6400,0,1,1,46,2116,45,2025,2.857142857142857,8.16326530612245,0.3402187120291616,0.11574877201478158,0.9720534629404618,0.9448879348145437,4.92,24.2064,30,30,Baltimore Orioles,Maryland,1937047,82.3,6773.29,17,161,16,Asher Wojciechowski,8,64,268560,7,235.0,14,0.10559006211180125,SP,0.3354037267080745,0,0,80,6400,268560,555000,0.004,555000,26.27,690.1129,555000,800000,555000,54,1.31,1.7161000000000002,1.31,1.7161000000000002,3,28,784,4,16,12.500829631653916,13.226723392728571,13.226723392728571
MIA,No,6.0,2019,2024,1,1,76,5776,0,2,2,49,2401,46,2116,3.269230769230769,10.687869822485206,0.3159173754556501,0.09980378811478617,1.0328068043742407,1.066689895161731,5.03,25.300900000000002,24,23,Miami Marlins,Florida,1445096,82.3,6773.29,21,162,15,Elieser Hernandez,5,25,355096,2,210.0,2,0.12962962962962962,SP,0.3518518518518518,0,0,85,7225,355096,555000,0.005,555000,22.35,499.52250000000004,555000,4500000,555000,57,0.38,0.1444,1.24,1.5376,2,26,676,3,9,12.780143454435182,13.226723392728571,13.226723392728571
SD,No,6.2,2019,0,2,2,80,6400,0,5,4,36,1296,30,900,4.866666666666666,23.68444444444444,0.18292682926829268,0.0334622248661511,0.8902439024390244,0.7925342058298632,3.29,10.8241,35,33,San Diego Padres,California,13408482,82.0,6724.0,76,162,0,Craig Stammen,7,49,2250000,2,228.0,5,0.4691358024691358,RP,0.4320987654320987,4,16,73,5329,2250000,2250000,0.022,2250000,59.22,3507.0083999999997,2250000,326000000,4500000,70,1.08,1.1664,1.16,1.3456,0,15,225,8,64,14.626440774180603,14.626440774180603,14.626440774180603
NYY,No,6.0,2019,0,1,1,75,5625,0,2,5,42,1764,37,1369,2.4193548387096775,5.85327783558793,0.38271604938271603,0.14647157445511352,0.9259259259259259,0.8573388203017833,4.11,16.892100000000003,27,26,New York Yankees,New York,1405792,81.0,6561.0,43,162,0,Luis Cessa,1,1,578975,40,208.0,55,0.2654320987654321,RP,0.6358024691358025,1,1,75,5625,578975,578975,0.003,578975,0.0,0.0,578975,124555000,578975,103,0.48,0.2304,1.31,1.7161000000000002,27,31,961,2,4,13.26901457773002,13.26901457773002,13.26901457773002
NYM,No,6.4,2019,2023,1,0,56,3136,0,2,6,28,784,24,576,6.5,42.25,0.2,0.04000000000000001,1.3,1.6900000000000002,2.7,7.290000000000001,29,29,New York Mets,New York,1946761,80.0,6400.0,61,161,0,Seth Lugo,4,16,591875,5,225.0,9,0.37888198757763975,RP,0.5279503105590062,6,36,104,10816,591875,591875,0.004,591875,96.5,9312.25,591875,79000000,591875,85,2.11,4.4521,0.9,0.81,2,16,256,7,49,13.29105074292248,13.29105074292248,13.29105074292248
ARI,No,6.2,2019,0,1,0,62,3844,0,1,4,26,676,25,625,2.6666666666666665,7.111111111111111,0.45,0.2025,1.2,1.44,2.81,7.896100000000001,23,23,Arizona Diamondbacks,Arizona,858516,80.0,6400.0,15,162,15,Zac Gallen,6,36,173072,1,191.0,6,0.09259259259259259,SP,0.5246913580246914,0,0,96,9216,173072,555000,0.002,555000,0.0,0.0,555000,11600000,555000,85,1.33,1.7689000000000001,1.23,1.5129,1,36,1296,3,9,12.061462971870071,13.226723392728571,13.226723392728571
BAL,No,6.1,2019,2025,1,0,94,8836,0,1,1,73,5329,63,3969,2.2666666666666666,5.137777777777777,0.375,0.140625,0.85,0.7224999999999999,7.09,50.2681,25,25,Baltimore Orioles,Maryland,989440,80.0,6400.0,23,161,14,David Hess,10,100,366630,7,215.0,14,0.14285714285714285,RP,0.3354037267080745,0,0,68,4624,366630,563500,0.005,563500,0.0,0.0,563500,800000,563500,54,1.1762227602905562,1.3834999818255351,1.55,2.4025000000000003,3,30,900,1,1,12.812108444100156,13.241922612461968,13.241922612461968
LAD,No,6.0,2019,0,1,0,59,3481,0,5,3,28,784,22,484,3.1481481481481484,9.910836762688616,0.33877038895859474,0.11476537643515757,1.066499372647428,1.1374209118573573,2.49,6.200100000000001,22,22,Los Angeles Dodgers,California,3210268,79.7,6352.09,37,161,8,Julio Urias,3,9,565000,25,225.0,33,0.22981366459627328,RP,0.6521739130434783,4,16,85,7225,565000,565000,0.003,565000,0.0,0.0,565000,85000000,565000,105,1.36,1.8496000000000004,1.08,1.1664,6,27,729,4,16,13.244581010128577,13.244581010128577,13.244581010128577
