Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Luke Voit,1B,62,0.383,114,28,4,18,0.246,0.736,STL,535000
Ryan Hanigan,C,33,0.204,101,27,2,13,0.267,0.671,COL,1250000
Carlos Ruiz,C,54,0.333,125,27,3,11,0.216,0.665,SEA,4500000
Adam Eaton,RF,23,0.142,91,27,2,13,0.297,0.854,WSH,4000000
Brock Holt,2B,64,0.395,140,27,0,7,0.193,0.534,BOS,1950000
Craig Gentry,LF,77,0.475,101,26,2,11,0.257,0.719,BAL,535000
Kevin Plawecki,C,37,0.228,100,26,3,13,0.26,0.764,NYM,535000
Matt Reynolds,SS,68,0.42,113,26,1,5,0.23,0.609,NYM,535000
Andrew Toles,LF,31,0.191,96,26,5,15,0.271,0.772,LAD,540000
Ryder Jones,3B,53,0.327,150,26,2,5,0.173,0.517,SF,535000
Tomas Telis,1B,48,0.296,104,25,0,9,0.24,0.625,MIA,535000
Willy Garcia,LF,44,0.272,105,25,2,12,0.238,0.705,CHW,535000
Jose Lobaton,C,51,0.315,141,24,4,11,0.17,0.525,WSH,1575000
Chris Stewart,C,51,0.315,131,24,0,4,0.183,0.463,PIT,1400000
Josh Rutledge,SS,37,0.228,107,24,0,9,0.224,0.558,BOS,600000
Max Moroff,2B,56,0.346,120,24,3,21,0.2,0.627,PIT,535000
Jacoby Jones,CF,56,0.346,141,24,3,13,0.17,0.51,DET,536100
Drew Robinson,LF,48,0.296,107,24,6,13,0.224,0.775,TEX,535000
Brett Phillips,OF,37,0.228,87,24,4,12,0.276,0.799,MIL,535000
Kaleb Cowart,3B,50,0.309,102,23,3,11,0.226,0.695,LAA,535000
Teoscar Hernandez,CF,27,0.167,88,23,8,20,0.261,0.908,TOR,535000
Leonys Martin,CF,49,0.303,128,22,3,9,0.172,0.513,CHC,4850000
Jefry Marte,3B,45,0.278,127,22,4,14,0.173,0.576,LAA,547000
Zach Granite,OF,40,0.247,93,22,1,13,0.237,0.611,MIN,535000
Brian Anderson,3B,25,0.154,84,22,0,8,0.262,0.706,MIA,535000
Mike Aviles,3B,37,0.228,86,21,1,8,0.244,0.611,MIA,535000
Dustin Garneau,C,41,0.253,112,21,2,9,0.188,0.585,OAK,537000
Sam Travis,1B,33,0.204,76,20,0,1,0.263,0.667,BOS,535000
Harrison Bader,OF,32,0.198,85,20,3,10,0.235,0.659,STL,535000
Luis Torrens,C,56,0.346,123,20,0,7,0.163,0.446,SD,535000
Magneuris Sierra,OF,22,0.136,60,20,0,5,0.333,0.708,STL,535000
Luke Maile,C,46,0.284,130,19,2,7,0.146,0.407,TOR,535000
Adrian Sanchez,2B,34,0.21,71,19,0,11,0.268,0.654,WSH,535000
Ramon Torres,SS,33,0.204,74,18,0,4,0.243,0.575,KC,535000
Jeremy Hazelbaker,OF,41,0.253,52,18,2,10,0.346,1.02,ARI,542500
Ryan Raburn,LF,25,0.154,65,17,2,6,0.262,0.735,WSH,535000
Juan Graterol,C,48,0.296,84,17,0,10,0.202,0.457,LAA,535000
Paulo Orlando,RF,39,0.241,86,17,2,6,0.198,0.527,KC,558250
Ty Kelly,3B,70,0.432,89,17,2,14,0.191,0.595,PHI,537208
Tyler White,1B,22,0.136,61,17,3,10,0.279,0.853,HOU,535000
Pedro Florimon,SS,15,0.093,46,16,0,6,0.348,0.866,PHI,535000
Mac Williamson,RF,28,0.173,68,16,3,6,0.235,0.685,SF,539000
Marco Hernandez,SS,21,0.13,58,16,0,2,0.276,0.628,BOS,548500
Jared Hoying,RF,36,0.222,72,16,1,7,0.222,0.565,TEX,535000
Gavin Cecchini,SS,32,0.198,77,16,1,7,0.208,0.529,NYM,535000
Cameron Perkins,OF,42,0.259,88,16,1,8,0.182,0.51,PHI,535000
Jordan Luplow,OF,27,0.167,78,16,3,11,0.205,0.66,PIT,535000
Phillip Ervin,CF,28,0.173,58,15,3,10,0.259,0.766,CIN,535000
Jacob deGrom,SP,37,0.228,71,15,1,4,0.211,0.5,NYM,4050000
Rob Refsnyder,2B,52,0.321,88,15,0,0,0.171,0.463,TOR,535000
Brett Nicholas,C,22,0.136,63,15,2,11,0.238,0.658,TEX,537000
Victor Caratini,C,31,0.191,59,15,1,2,0.254,0.689,CHC,535000
Tzu-Wei Lin,SS,25,0.154,56,15,0,2,0.268,0.709,BOS,535000
J.P. Crawford,SS,23,0.142,70,15,0,6,0.214,0.656,PHI,535000
Jorge Soler,LF,35,0.216,97,14,2,6,0.144,0.503,KC,3666667
Efren Navarro,1B,23,0.142,61,14,2,2,0.23,0.696,DET,535000
Travis Jankowski,CF,27,0.167,75,14,0,1,0.187,0.496,SD,544300
Richard Urena,SS,21,0.13,68,14,1,4,0.206,0.579,TOR,535000
Franklin Barreto,SS,25,0.154,71,14,2,6,0.197,0.602,OAK,535000
Garrett Cooper,1B,13,0.08,43,14,0,6,0.326,0.822,NYY,535000
J.D. Davis,3B,25,0.154,62,14,4,7,0.226,0.763,HOU,535000
Zack Greinke,SP,33,0.204,62,13,0,4,0.21,0.52,ARI,34000000
Robbie Ray,SP,28,0.173,53,13,0,2,0.245,0.569,ARI,570400
Austin Hays,RF,20,0.124,60,13,1,8,0.217,0.555,BAL,535000
Alejandro De Aza,LF,28,0.173,62,12,0,9,0.194,0.546,WSH,535000
Taijuan Walker,SP,28,0.173,52,12,1,5,0.231,0.553,ARI,2250000
Juan Centeno,C,22,0.136,52,12,2,4,0.231,0.632,HOU,535000
Raffy Lopez,C,24,0.148,54,12,4,12,0.222,0.769,TOR,535000
Carson Kelly,C,34,0.21,69,12,0,6,0.174,0.457,STL,535000
Adam Wainwright,SP,26,0.161,42,11,2,11,0.262,0.731,STL,19500000
Carlos Martinez,SP,34,0.21,62,11,0,11,0.177,0.429,STL,3700000
Christian Villanueva,3B,12,0.074,32,11,4,7,0.344,1.094,SD,535000
Stuart Turner,C,37,0.228,82,11,2,7,0.134,0.426,CIN,535000
Max Scherzer,SP,31,0.191,62,10,1,5,0.161,0.422,WSH,22242857
Ty Blach,SP,38,0.235,44,10,1,7,0.227,0.627,SF,536500
Phillip Evans,3B,19,0.117,33,10,0,1,0.303,0.758,NYM,535000
Clayton Kershaw,SP,27,0.167,49,9,0,2,0.184,0.449,LAD,35571428
Rob Brantly,C,14,0.086,31,9,2,5,0.29,0.905,CHW,535000
Rymer Liriano,RF,21,0.13,41,9,1,6,0.22,0.646,CHW,535000
Gerrit Cole,SP,34,0.21,55,9,1,3,0.164,0.415,PIT,3750000
Tyler Austin,1B,20,0.124,40,9,2,8,0.225,0.708,NYY,544000
Andrew Stevenson,OF,37,0.228,57,9,0,1,0.158,0.443,WSH,535000
Willie Calhoun,LF,13,0.08,34,9,1,4,0.265,0.677,TEX,535000
Mitch Garver,C,23,0.142,46,9,0,3,0.196,0.636,MIN,535000
Tyler Wade,1B,30,0.185,58,9,0,2,0.155,0.446,NYY,535000
Travis Taijeron,RF,26,0.161,52,9,1,3,0.173,0.54,NYM,535000
Jon Lester,SP,32,0.198,54,8,1,6,0.148,0.463,CHC,25000000
Geovany Soto,C,13,0.08,42,8,3,9,0.191,0.676,CHW,2000000
Andre Ethier,CF,22,0.136,34,8,2,3,0.235,0.757,LAD,17500000
Jake Arrieta,SP,32,0.198,61,8,1,5,0.131,0.358,CHC,15637500
Mike Leake,SP,32,0.198,47,8,0,4,0.17,0.411,SEA,15000000
Julio Teheran,SP,37,0.228,57,8,0,6,0.14,0.307,ATL,6466666
Ryan Flaherty,3B,23,0.142,38,8,0,4,0.211,0.539,BAL,1800000
Will Middlebrooks,3B,22,0.136,38,8,0,3,0.211,0.599,TEX,535000
Carlos Moncrief,RF,28,0.173,38,8,0,5,0.211,0.493,SF,535000
Kyle Freeland,RP,35,0.216,52,8,1,2,0.154,0.401,COL,535000
Chris Bostick,LF,20,0.124,27,8,0,1,0.296,0.777,PIT,535000
German Marquez,SP,29,0.179,45,8,0,5,0.178,0.4,COL,537000
Tony Kemp,LF,17,0.105,37,8,0,4,0.216,0.5,HOU,535000
Miguel Gomez,3B,22,0.136,33,8,0,2,0.242,0.538,SF,535000
Anthony Santander,OF,13,0.08,30,8,0,2,0.267,0.625,BAL,535000
Homer Bailey,SP,18,0.111,28,7,0,0,0.25,0.571,CIN,19000000
John Lackey,SP,32,0.198,53,7,0,1,0.132,0.33,CHC,16000000
Stephen Strasburg,SP,28,0.173,54,7,2,3,0.13,0.401,WSH,18333333
Madison Bumgarner,SP,17,0.105,34,7,3,5,0.206,0.721,SF,12200000
Mike Morse,LF,24,0.148,36,7,1,3,0.194,0.556,SF,535000
Patrick Corbin,SP,35,0.216,56,7,0,0,0.125,0.37,ARI,3950000
Bryan Holaday,C,13,0.08,29,7,0,2,0.241,0.552,DET,535000
Chase Anderson,SP,25,0.154,52,7,0,3,0.135,0.288,MIL,2450000
Philip Gosselin,2B,40,0.247,48,7,0,2,0.146,0.368,TEX,559500
Jake Smolinski,LF,16,0.099,27,7,0,0,0.259,0.607,OAK,545000
Orlando Calixte,SS,29,0.179,49,7,0,6,0.143,0.348,SF,535000
Cesar Puello,LF,17,0.105,34,7,0,3,0.206,0.514,TB,535000
Shane Robinson,CF,20,0.124,31,6,0,1,0.194,0.451,LAA,535000
Jeff Samardzija,SP,35,0.216,64,6,1,2,0.094,0.266,SF,19800000
Gio Gonzalez,SP,32,0.198,66,6,0,5,0.091,0.234,WSH,12000000
Matt Moore,SP,32,0.198,47,6,0,4,0.128,0.291,SF,7000000
Tyler Chatwood,SP,35,0.216,39,6,0,2,0.154,0.354,COL,4400000
Mike Freeman,2B,35,0.216,60,6,1,1,0.1,0.365,CHC,535000
Trayce Thompson,CF,27,0.167,49,6,1,2,0.122,0.483,LAD,535000
Jimmy Nelson,SP,29,0.179,57,6,0,2,0.105,0.226,MIL,547000
Vincent Velasquez,SP,16,0.099,24,6,0,1,0.25,0.53,PHI,547000
Jameson Taillon,SP,25,0.154,38,6,0,0,0.158,0.316,PIT,555500
Joe Ross,SP,20,0.124,33,6,0,1,0.182,0.448,WSH,551000
Zach Davies,SP,33,0.204,48,6,0,3,0.125,0.403,MIL,546200
Dan Vogelbach,1B,16,0.099,28,6,0,2,0.214,0.54,SEA,535000
Chance Sisco,C,10,0.062,18,6,2,4,0.333,1.232,BAL,535000
Kyle Farmer,C,20,0.124,20,6,0,2,0.3,0.65,LAD,535000
Cameron Gallagher,C,13,0.08,24,6,1,5,0.25,0.75,KC,535000
Ben Lively,SP,15,0.093,26,6,2,8,0.231,0.692,PHI,535000
Victor Robles,OF,13,0.08,24,6,0,4,0.25,0.766,WSH,535000
Mike Tauchman,CF,31,0.191,27,6,0,2,0.222,0.64,COL,535000
Matt Cain,RP,27,0.167,32,5,0,2,0.156,0.375,SF,20833334
Luis Perdomo,SP,29,0.179,46,5,0,3,0.109,0.432,SD,544300
Jaime Garcia,SP,27,0.167,33,5,1,7,0.152,0.449,NYY,12000000
Mike Montgomery,RP,44,0.272,27,5,1,3,0.185,0.519,CHC,570500
Kyle Hendricks,SP,25,0.154,50,5,0,5,0.1,0.22,CHC,760500
Tanner Roark,SP,32,0.198,55,5,0,0,0.091,0.216,WSH,4315000
Jose Urena,SP,36,0.222,48,5,0,2,0.104,0.229,MIA,535000
Jerad Eickhoff,SP,24,0.148,31,5,0,0,0.161,0.355,PHI,552000
Pedro Severino,C,17,0.105,29,5,0,3,0.172,0.433,WSH,535000
Tyler Glasnow,RP,18,0.111,17,5,0,3,0.294,0.749,PIT,541000
Robert Gsellman,RP,27,0.167,34,5,0,4,0.147,0.415,NYM,541750
Kenta Maeda,SP,30,0.185,39,5,0,4,0.128,0.282,LAD,7375000
Jacob Stallings,C,5,0.031,14,5,0,3,0.357,0.938,PIT,535000
Chad Kuhl,SP,33,0.204,48,5,0,3,0.104,0.268,PIT,550000
Alex Mejia,SS,29,0.179,46,5,1,3,0.109,0.32,STL,535000
Bronson Arroyo,SP,15,0.093,26,4,0,0,0.154,0.308,CIN,535000
Johnny Cueto,SP,25,0.154,46,4,0,3,0.087,0.191,SF,23500000
Vance Worley,RP,26,0.161,22,4,0,3,0.182,0.364,MIA,535000
Lance Lynn,SP,33,0.204,54,4,0,0,0.074,0.218,STL,8500000
Kris Negron,RF,14,0.086,25,4,0,1,0.16,0.5,ARI,535000
Dan Straily,SP,33,0.204,55,4,0,1,0.073,0.18,MIA,552100
Hyun-Jin Ryu,SP,25,0.154,30,4,0,0,0.133,0.402,LAD,7833333
Joe Wendle,2B,8,0.049,13,4,1,5,0.308,0.973,OAK,535000
Max Stassi,C,14,0.086,24,4,2,4,0.167,0.781,HOU,535000
Aaron Nola,SP,27,0.167,48,4,0,1,0.083,0.237,PHI,544000
Alex Verdugo,OF,15,0.093,23,4,1,1,0.174,0.544,LAD,535000
Antonio Senzatela,SP,36,0.222,32,4,0,5,0.125,0.281,COL,535000
Seth Lugo,SP,20,0.124,29,4,1,2,0.138,0.448,NYM,543500
Miguel Andujar,3B,5,0.031,7,4,0,4,0.571,1.482,NYY,535000
Colin Moran,3B,7,0.043,11,4,1,3,0.364,1.235,HOU,535000
Rob Segedin,3B,13,0.08,20,4,0,1,0.2,0.5,LAD,535000
David Freitas,C,6,0.037,17,4,0,2,0.235,0.588,ATL,535000
Rafael Bautista,OF,17,0.105,25,4,0,0,0.16,0.382,WSH,535000
Ildemaro Vargas,SS,12,0.074,13,4,0,4,0.308,0.692,ARI,535000
Matt Garza,SP,24,0.148,35,3,0,1,0.086,0.197,MIL,12500000
Gordon Beckham,2B,11,0.068,17,3,0,0,0.177,0.399,SEA,535000
Jeremy Hellickson,SP,30,0.185,33,3,0,2,0.091,0.348,BAL,17200000
Craig Stammen,RP,60,0.37,6,3,0,0,0.5,1.292,SD,900000
Jordan Lyles,SP,38,0.235,13,3,0,3,0.231,0.516,SD,535000
Tim Federowicz,C,13,0.08,13,3,2,3,0.231,0.978,SF,535000
Chris Rusin,RP,60,0.37,9,3,0,0,0.333,0.667,COL,545000
Alex Wood,SP,27,0.167,52,3,0,4,0.058,0.15,LAD,2800000
Jon Gray,SP,20,0.124,38,3,1,3,0.079,0.26,COL,540000
Curt Casali,C,9,0.056,9,3,1,3,0.333,1.128,TB,535000
Steven Matz,SP,17,0.105,21,3,0,1,0.143,0.286,NYM,562250
Christian Walker,1B,11,0.068,12,3,2,2,0.25,1.233,ARI,535000
Adam Conley,SP,22,0.136,24,3,0,0,0.125,0.317,MIA,537500
Renato Nunez,LF,8,0.049,15,3,1,3,0.2,0.65,OAK,535000
Jeff Hoffman,SP,23,0.142,33,3,0,1,0.091,0.212,COL,535000
Luke Weaver,SP,15,0.093,19,3,0,1,0.158,0.358,STL,535000
Tim Adleman,SP,30,0.185,29,3,0,2,0.103,0.241,CIN,535000
Zach Eflin,SP,11,0.068,21,3,0,2,0.143,0.286,PHI,537000
Steven Brault,RP,12,0.074,13,3,0,2,0.231,0.538,PIT,535000
Brent Suter,SP,23,0.142,18,3,0,0,0.167,0.377,MIL,535000
Raudy Read,C,8,0.049,11,3,0,0,0.273,0.545,WSH,535000
Jacob Hannemann,OF,11,0.068,20,3,1,1,0.15,0.45,SEA,535000
Nick Pivetta,SP,26,0.161,44,3,0,0,0.068,0.136,PHI,535000
Tomas Nido,C,5,0.031,10,3,0,3,0.3,0.7,NYM,535000
Luis Castillo,SP,15,0.093,30,3,0,1,0.1,0.229,CIN,535000
Dinelson Lamet,SP,21,0.13,35,3,0,0,0.086,0.171,SD,535000
Ryan McMahon,3B,17,0.105,19,3,0,1,0.158,0.544,COL,535000
Mike Marjama,C,5,0.031,9,3,1,1,0.333,1.111,SEA,535000
Taylor Davis,C,8,0.049,13,3,0,1,0.231,0.538,CHC,535000
Ervin Santana,SP,33,0.204,10,2,0,5,0.2,0.5,MIN,13500000
Chris Archer,SP,34,0.21,8,2,0,1,0.25,0.5,TB,4916666
Brad Peacock,SP,34,0.21,7,2,0,2,0.286,0.804,HOU,541500
Erik Kratz,C,4,0.025,2,2,0,2,1.0,2.5,NYY,535000
Erasmo Ramirez,SP,37,0.228,3,2,0,1,0.667,1.333,SEA,3125000
Jose Quintana,SP,32,0.198,25,2,0,4,0.08,0.191,CHC,7000000
Matt Harvey,SP,19,0.117,34,2,0,1,0.059,0.145,NYM,5125000
Charlie Culberson,3B,15,0.093,13,2,0,1,0.154,0.497,LAD,550000
Zack Wheeler,SP,18,0.111,27,2,0,0,0.074,0.218,NYM,800000
Michael Wacha,SP,30,0.185,46,2,0,3,0.044,0.106,STL,2775000
Micah Johnson,CF,18,0.111,10,2,0,0,0.2,0.4,ATL,535000
Michael Lorenzen,RP,73,0.451,12,2,1,1,0.167,0.583,CIN,555000
Mike Foltynewicz,SP,29,0.179,42,2,0,0,0.048,0.095,ATL,544000
Carlos Perez,C,11,0.068,20,2,1,3,0.1,0.393,LAA,547500
Odrisamer Despaigne,SP,18,0.111,19,2,0,1,0.105,0.211,MIA,535000
Marcus Stroman,SP,34,0.21,7,2,1,1,0.286,1.143,TOR,3400000
Rafael Montero,RP,34,0.21,25,2,0,1,0.08,0.16,NYM,541400
A.J. Cole,SP,11,0.068,14,2,0,0,0.143,0.393,WSH,535000
Noah Syndergaard,SP,7,0.043,9,2,0,0,0.222,0.639,NYM,605500
Carlos Rodon,SP,12,0.074,6,2,0,2,0.333,0.833,CHW,600000
Darrell Ceciliani,CF,3,0.019,5,2,1,3,0.4,1.6,TOR,535000
Zack Godley,SP,27,0.167,42,2,0,2,0.048,0.139,ARI,535000
Chris Stratton,SP,13,0.08,14,2,0,0,0.143,0.286,SF,535000
Jake Thompson,RP,12,0.074,12,2,0,0,0.167,0.481,PHI,535000
Trevor Williams,SP,31,0.191,41,2,0,0,0.049,0.142,PIT,544000
Jackson Stephens,RP,7,0.043,6,2,0,2,0.333,0.667,CIN,535000
Chris Flexen,SP,14,0.086,13,2,0,0,0.154,0.385,NYM,535000
Mark Leiter Jr.,SP,27,0.167,25,2,0,0,0.08,0.16,PHI,535000
Brandon Woodruff,SP,8,0.049,10,2,0,0,0.2,0.473,MIL,535000
Ubaldo Jimenez,SP,31,0.191,5,1,0,0,0.2,0.4,BAL,13500000
Justin Verlander,SP,33,0.204,6,1,0,1,0.167,0.333,HOU,28000000
Yovani Gallardo,RP,28,0.173,2,1,0,0,0.5,1.0,SEA,11000000
Ian Kennedy,SP,30,0.185,3,1,0,0,0.333,0.833,KC,13500000
Brandon McCarthy,SP,19,0.117,23,1,0,0,0.044,0.197,LAD,11500000
Brett Anderson,SP,13,0.08,7,1,0,1,0.143,0.393,TOR,535000
Jason Vargas,SP,32,0.198,4,1,0,0,0.25,0.5,KC,8000000
Jordan Zimmermann,SP,29,0.179,6,1,0,0,0.167,0.333,DET,18000000
Chris Sale,SP,32,0.198,3,1,0,0,0.333,1.0,BOS,12000000
Fernando Salas,RP,61,0.377,2,1,0,0,0.5,1.0,LAA,535000
Wade LeBlanc,RP,50,0.309,5,1,0,1,0.2,0.4,PIT,750000
David Price,SP,16,0.099,1,1,0,0,1.0,2.0,BOS,30000000
Michael Pineda,SP,17,0.105,3,1,0,0,0.333,0.667,NYY,7400000
Danny Duffy,SP,24,0.148,2,1,0,0,0.5,1.0,KC,5000000
Wei-Yin Chen,SP,9,0.056,8,1,0,0,0.125,0.25,MIA,15500000
Yu Darvish,SP,31,0.191,17,1,0,0,0.059,0.17,LAD,11000000
Wade Miley,SP,32,0.198,4,1,0,0,0.25,0.5,BAL,8916668
Jeurys Familia,RP,26,0.161,1,1,0,0,1.0,4.0,NYM,7425000
Tom Koehler,RP,27,0.167,21,1,0,0,0.048,0.095,TOR,5750000
Jake Odorizzi,SP,28,0.173,3,1,0,1,0.333,0.667,TB,4100000
Hector Rondon,RP,61,0.377,2,1,0,0,0.5,1.0,CHC,5800000
T.J. McFarland,RP,43,0.265,5,1,0,0,0.2,0.4,ARI,535000
Andrew Albers,RP,9,0.056,1,1,0,1,1.0,2.0,SEA,535000
Archie Bradley,RP,63,0.389,4,1,0,1,0.25,0.5,ARI,544100
Blake Swihart,C,6,0.037,5,1,0,0,0.2,0.629,BOS,535000
Robert Stephenson,SP,26,0.161,23,1,0,0,0.044,0.087,CIN,535000
Chad Bettis,SP,9,0.056,11,1,0,1,0.091,0.258,COL,545000
Tom Murphy,C,12,0.074,24,1,0,1,0.042,0.199,COL,537000
Asher Wojciechowski,RP,25,0.154,14,1,0,0,0.071,0.143,CIN,535000
John Ryan Murphy,C,5,0.031,7,1,0,1,0.143,0.429,ARI,535000
Raisel Iglesias,RP/CL,63,0.389,1,1,0,0,1.0,3.0,CIN,4214285
Andrew Susac,C,8,0.049,12,1,0,0,0.083,0.167,MIL,537400
A.J. Jimenez,C,7,0.043,12,1,0,0,0.083,0.167,TEX,535000
Amir Garrett,SP,16,0.099,19,1,0,1,0.053,0.158,CIN,535000
Tyler Anderson,SP,17,0.105,26,1,0,0,0.039,0.113,COL,540000
Alex Meyer,SP,13,0.08,2,1,0,0,0.5,1.0,LAA,535000
Adam Morgan,RP,37,0.228,2,1,0,0,0.5,1.167,PHI,539000
Sean Newcomb,SP,19,0.117,27,1,0,0,0.037,0.14,ATL,535000
Daniel Gossett,SP,18,0.111,5,1,0,0,0.2,0.4,OAK,535000
Matt Boyd,SP,26,0.161,3,1,0,0,0.333,0.667,DET,544200
Luis Severino,SP,31,0.191,5,1,0,0,0.2,0.4,NYY,550975
Marco Gonzales,SP,11,0.068,2,1,0,0,0.5,1.0,SEA,535000
Rocky Gale,C,3,0.019,10,1,1,2,0.1,0.5,SD,535000
Sal Romano,SP,16,0.099,24,1,0,0,0.042,0.163,CIN,535000
Jose Torres,RP,62,0.383,1,1,0,0,1.0,2.0,SD,535400
Nolan Fontana,SS,12,0.074,20,1,1,1,0.05,0.374,LAA,535000
Rookie Davis,SP,7,0.043,6,1,0,0,0.167,0.619,CIN,535000
Jose Berrios,SP,26,0.161,5,1,0,0,0.2,0.4,MIN,535000
Daniel Mengden,SP,7,0.043,2,1,0,0,0.5,1.167,OAK,537500
Brock Stewart,RP,17,0.105,4,1,0,1,0.25,0.5,LAD,537500
Rob Zastryzny,P,4,0.025,3,1,0,0,0.333,0.667,CHC,535000
Niko Goodrum,RF,11,0.068,17,1,0,0,0.059,0.17,MIN,535000
Paolo Espino,RP,12,0.074,4,1,0,0,0.25,0.5,TEX,535000
Lucas Sims,SP,14,0.086,15,1,0,0,0.067,0.133,ATL,535000
Breyvic Valera,2B,5,0.031,10,1,0,0,0.1,0.282,STL,535000
Sam Gaviglio,SP,16,0.099,5,1,0,0,0.2,0.4,KC,535000
Kevin Shackelford,RP,26,0.161,3,1,0,0,0.333,0.667,CIN,535000
Chad Wallach,C,6,0.037,11,1,0,0,0.091,0.182,CIN,535000
Tyler Mahle,SP,4,0.025,7,1,0,0,0.143,0.393,CIN,535000
O'Koyea Dickson,LF,7,0.043,7,1,0,0,0.143,0.476,LAD,535000
Zach Vincej,SS,9,0.056,9,1,0,0,0.111,0.444,CIN,535000
Clay Buchholz,SP,2,0.012,2,0,0,0,0.0,0.0,PHI,13500000
Ricky Nolasco,SP,33,0.204,5,0,0,0,0.0,0.286,LAA,12000000
Anibal Sanchez,RP,28,0.173,2,0,0,0,0.0,0.0,DET,16800000
C.C. Sabathia,SP,27,0.167,3,0,0,0,0.0,0.25,NYY,25000000
Cole Hamels,SP,24,0.148,3,0,0,1,0.0,0.0,TEX,22500000
Miguel Gonzalez,SP,27,0.167,6,0,0,0,0.0,0.143,TEX,5900000
Tony Sipp,RP,46,0.284,1,0,0,0,0.0,0.0,HOU,6000000
Rick Porcello,SP,33,0.204,4,0,0,0,0.0,0.0,BOS,20125000
J.A. Happ,SP,25,0.154,2,0,0,0,0.0,0.0,TOR,13000000
Juan Nicasio,RP,76,0.469,1,0,0,0,0.0,0.0,STL,3650000
Jeremy Jeffress,RP,61,0.377,2,0,0,0,0.0,0.0,MIL,2100000
Blake Wood,RP,72,0.444,1,0,0,0,0.0,0.0,LAA,1275000
Doug Fister,SP,18,0.111,2,0,0,0,0.0,0.0,BOS,2200000
Pedro Strop,RP,69,0.426,1,0,0,0,0.0,0.0,CHC,5500000
George Kontos,RP,65,0.401,2,0,0,0,0.0,0.0,PIT,1750000
Alex Cobb,SP,29,0.179,6,0,0,0,0.0,0.0,TB,4200000
Henderson Alvarez,SP,3,0.019,6,0,0,0,0.0,0.0,PHI,750000
Martin Perez,SP,32,0.198,6,0,0,0,0.0,0.0,TEX,4650000
Randall Delgado,RP,26,0.161,8,0,0,0,0.0,0.0,ARI,1775000
Cory Gearrin,RP,68,0.42,2,0,0,0,0.0,0.0,SF,1050000
Brad Hand,RP,72,0.444,1,0,0,0,0.0,0.0,SD,1375000
Marco Estrada,SP,33,0.204,4,0,0,0,0.0,0.0,TOR,14500000
Michael Fiers,SP,30,0.185,1,0,0,0,0.0,0.0,HOU,3450000
Tony Watson,RP,71,0.438,1,0,0,0,0.0,0.0,LAD,5600000
Drew Pomeranz,SP,32,0.198,1,0,0,0,0.0,0.0,BOS,4450000
Javy Guerra,RP,16,0.099,1,0,0,0,0.0,0.0,MIA,535000
David Phelps,RP,54,0.333,1,0,0,0,0.0,0.0,SEA,4600000
Quintin Berry,LF,7,0.043,3,0,0,0,0.0,0.0,MIL,535000
Tyler Skaggs,SP,16,0.099,1,0,0,0,0.0,0.0,LAA,555000
Luis Avilan,RP,61,0.377,2,0,0,0,0.0,0.0,LAD,1500000
Justin Grimm,RP,50,0.309,3,0,0,0,0.0,0.0,CHC,1825000
Sam Freeman,RP,58,0.358,2,0,0,0,0.0,0.0,ATL,535000
Shelby Miller,RP,4,0.025,6,0,0,0,0.0,0.333,ARI,4700000
Collin McHugh,SP,12,0.074,2,0,0,0,0.0,0.0,HOU,3850000
Dallas Keuchel,SP,23,0.142,3,0,0,0,0.0,0.0,HOU,9150000
Tony Sanchez,C,1,0.006,1,0,0,0,0.0,0.0,ATL,535000
Masahiro Tanaka,SP,30,0.185,2,0,0,0,0.0,0.0,NYY,22000000
Kevin Gausman,SP,34,0.21,2,0,0,0,0.0,0.0,BAL,3550000
Eduardo Rodriguez,SP,25,0.154,7,0,0,0,0.0,0.0,BOS,584500
A.J. Schugel,RP,32,0.198,1,0,0,0,0.0,0.5,PIT,535000
J.C. Ramirez,SP,27,0.167,3,0,0,0,0.0,0.0,LAA,550000
Ian Krol,RP,51,0.315,1,0,0,0,0.0,0.0,ATL,900000
Jarred Cosart,RP,7,0.043,4,0,0,0,0.0,0.0,SD,566300
Scott Alexander,RP,58,0.358,3,0,0,0,0.0,0.0,KC,535000
Matt Shoemaker,SP,14,0.086,2,0,0,0,0.0,0.0,LAA,3325000
Ross Stripling,RP,51,0.315,9,0,0,0,0.0,0.0,LAD,540000
A.J. Griffin,RP,18,0.111,5,0,0,0,0.0,0.167,TEX,2000000
Pedro Baez,RP,66,0.407,1,0,0,1,0.0,0.5,LAD,550000
Nick Martinez,SP,23,0.142,1,0,0,0,0.0,0.5,TEX,540590
Tyler Lyons,RP,50,0.309,1,0,0,0,0.0,0.5,STL,549800
Terrance Gore,LF,12,0.074,4,0,0,0,0.0,0.2,KC,536500
Matt Grace,RP,40,0.247,5,0,0,0,0.0,0.0,WSH,535000
Kendall Graveman,SP,19,0.117,1,0,0,0,0.0,0.0,OAK,545000
Enny Romero,RP,53,0.327,1,0,0,0,0.0,0.0,WSH,551000
Nik Turley,RP,10,0.062,2,0,0,0,0.0,0.0,MIN,535000
Chasen Shreve,RP,44,0.272,2,0,0,0,0.0,0.0,NYY,552425
Brandon Finnegan,SP,5,0.031,5,0,0,0,0.0,0.0,CIN,567000
C.J. Edwards,RP,74,0.457,1,0,0,0,0.0,0.0,CHC,556000
