Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Jake Rogers,C,38,0.235,113,27,6,17,0.239,0.802,DET,570500
Cole Tucker,SS,43,0.265,117,26,2,12,0.222,0.64,PIT,570500
Lars Nootbaar,OF,58,0.358,109,26,5,15,0.239,0.739,STL,570500
Tim Locastro,OF,64,0.395,139,25,2,7,0.18,0.515,NYY,589100
Cal Raleigh,C,47,0.29,139,25,2,13,0.18,0.543,SEA,570500
Lewin Diaz,1B,40,0.247,122,25,8,13,0.205,0.693,MIA,570500
Hoy Jun Park,2B,45,0.278,128,25,3,14,0.195,0.633,PIT,570500
Austin Wynns,C,45,0.278,130,24,4,14,0.185,0.54,BAL,570500
Keibert Ruiz,C,29,0.179,88,24,3,15,0.273,0.742,WSH,570500
Gerardo Parra,RF,53,0.327,97,23,2,10,0.237,0.643,WSH,1000000
Richie Martin,SS,37,0.228,98,23,1,8,0.235,0.555,BAL,570500
Matt Vierling,OF,34,0.21,71,23,2,6,0.324,0.843,PHI,570500
Kyle Garlick,RF,36,0.222,99,23,5,10,0.232,0.745,MIN,570500
Robinson Chirinos,C,45,0.278,97,22,5,15,0.227,0.778,CHC,1000000
Andrew Knapp,C,62,0.383,145,22,2,11,0.152,0.429,PHI,1100000
Breyvic Valera,2B,39,0.241,87,22,1,15,0.253,0.669,TOR,570500
Riley Adams,C,47,0.29,99,22,2,10,0.222,0.737,WSH,570500
Shed Long,2B,34,0.21,111,22,4,17,0.198,0.619,SEA,580500
Zack Short,2B,61,0.377,156,22,6,20,0.141,0.521,DET,570500
Khris Davis,DH,42,0.259,102,21,3,10,0.206,0.635,OAK,570500
Aaron Hicks,CF,32,0.198,108,21,4,14,0.194,0.627,NYY,10785714
Jose Rondon,2B,63,0.389,80,21,3,9,0.263,0.735,STL,570500
Kyle Isbel,OF,28,0.173,76,21,1,7,0.276,0.772,KC,570500
Daz Cameron,OF,35,0.216,103,20,4,13,0.194,0.637,DET,570500
Alex Jackson,C,52,0.321,131,18,3,12,0.137,0.488,MIA,580500
Orlando Arcia,SS,36,0.224,81,16,2,14,0.198,0.567,ATL,2000000
Sam Haggerty,2B,35,0.216,86,16,2,5,0.186,0.538,SEA,574300
Max Fried,SP,32,0.199,55,15,0,5,0.273,0.649,ATL,3500000
Webster Rivas,C,24,0.148,68,15,2,4,0.221,0.641,SD,570500
Andrew Velazquez,3B,28,0.173,67,15,1,6,0.224,0.594,NYY,570500
Isaac Paredes,3B,23,0.142,72,15,1,5,0.208,0.625,DET,570500
Patrick Mazeika,C,37,0.228,79,15,1,6,0.19,0.519,NYM,570500
Chris Owings,2B,21,0.13,43,14,1,5,0.326,1.048,COL,1000000
German Marquez,SP,32,0.199,53,14,1,9,0.264,0.679,COL,7800000
Evan White,1B,30,0.185,97,14,2,9,0.144,0.439,SEA,1300000
Jose Siri,CF,21,0.13,46,14,4,9,0.304,0.956,HOU,570500
Alfonso Rivas,1B,18,0.111,44,14,1,3,0.318,0.797,CHC,570500
Dustin Garneau,C,20,0.124,62,13,6,11,0.21,0.831,DET,570500
Donnie Walton,SS,24,0.148,63,13,2,7,0.206,0.619,SEA,570500
Jake McCarthy,OF,24,0.148,59,13,2,4,0.22,0.706,ARI,570500
Johneshwy Fargas,OF,22,0.136,52,13,0,5,0.25,0.649,CHC,570500
Delino DeShields,CF,25,0.154,47,12,1,6,0.255,0.801,CIN,570500
Jacob deGrom,SP,15,0.093,33,12,0,6,0.364,0.758,NYM,36000000
Julio Urias,SP,32,0.198,59,12,0,9,0.203,0.454,LAD,3600000
Ildemaro Vargas,2B,34,0.21,77,12,0,7,0.156,0.438,ARI,570500
Zack Wheeler,SP,33,0.204,68,11,0,3,0.162,0.353,PHI,22500000
Wade Miley,SP,30,0.185,54,10,0,3,0.185,0.469,CIN,8150000
Kevin Gausman,SP,34,0.21,54,10,0,4,0.185,0.396,SF,18900000
Jahmai Jones,2B,26,0.161,67,10,0,3,0.149,0.402,BAL,570500
Jose Devers,SS,21,0.13,41,10,0,5,0.244,0.621,MIA,570500
Henry Ramos,OF,18,0.111,50,10,1,8,0.2,0.555,ARI,570500
Greg Allen,OF,15,0.093,37,10,0,2,0.27,0.849,NYY,570500
Nick Martini,RF,25,0.154,37,10,0,4,0.27,0.653,CHC,570500
Kean Wong,2B,32,0.198,60,10,0,6,0.167,0.427,LAA,570500
Jose Barrero,SS,21,0.13,50,10,0,3,0.2,0.606,CIN,570500
Roman Quinn,CF,28,0.173,52,9,0,2,0.173,0.595,PHI,578000
Nick Fortes,C,14,0.086,31,9,4,7,0.29,1.03,MIA,570500
T.J. Friedl,OF,14,0.086,31,9,1,2,0.29,0.78,CIN,570500
Clayton Kershaw,SP,24,0.148,36,8,0,3,0.222,0.465,LAD,31000000
Joe Ross,SP,22,0.136,32,8,0,3,0.25,0.544,WSH,1500000
Corbin Burnes,SP,28,0.173,52,8,0,4,0.154,0.354,MIL,608000
Luis Castillo,SP,33,0.204,49,8,0,2,0.163,0.384,CIN,4200000
Geraldo Perdomo,SS,11,0.068,31,8,0,1,0.258,0.798,ARI,570500
Patrick Corbin,SP,31,0.191,53,7,0,0,0.132,0.311,WSH,24416666
Trayce Thompson,CF,15,0.093,28,7,4,9,0.25,1.114,CHC,570500
Walker Buehler,SP,34,0.21,69,7,0,3,0.101,0.293,LAD,3750000
Aaron Nola,SP,33,0.204,49,7,0,4,0.143,0.416,PHI,12250000
Joe Musgrove,SP,40,0.247,51,7,0,1,0.137,0.327,SD,4450000
Colton Welker,3B,19,0.118,37,7,0,2,0.189,0.466,COL,570500
Michael Hermosillo,CF,16,0.099,36,7,3,7,0.194,0.737,CHC,575000
Huascar Ynoa,RP,18,0.112,32,7,2,6,0.219,0.656,ATL,580500
Sebastian Rivero,C,17,0.105,40,7,0,3,0.175,0.475,KC,570500
Kyle Hendricks,SP,32,0.198,52,6,0,1,0.115,0.283,CHC,14000000
Sonny Gray,SP,26,0.161,41,6,0,0,0.146,0.313,CIN,10166666
Kyle Freeland,SP,25,0.155,33,6,0,4,0.182,0.434,COL,5025000
Zach Davies,SP,33,0.204,34,6,0,2,0.177,0.353,CHC,8630000
Zac Gallen,SP,23,0.142,32,6,0,3,0.188,0.462,ARI,607500
Brandon Woodruff,SP,30,0.185,52,6,0,2,0.115,0.279,MIL,3275000
Logan Webb,SP,28,0.173,46,6,1,7,0.13,0.449,SF,583000
Dexter Fowler,RF,7,0.043,20,5,0,1,0.25,0.536,LAA,16500000
Yu Darvish,SP,30,0.185,53,5,0,1,0.094,0.243,SD,22000000
Jon Gray,SP,31,0.193,47,5,0,3,0.106,0.213,COL,6000000
Marcus Stroman,SP,33,0.204,51,5,0,1,0.098,0.301,NYM,18900000
Skye Bolt,CF,34,0.21,57,5,1,4,0.088,0.261,OAK,570500
Paolo Espino,RP,35,0.216,30,5,0,0,0.167,0.333,WSH,570500
Madison Bumgarner,SP,28,0.173,39,4,0,3,0.103,0.408,ARI,19000000
David Price,SP,39,0.241,15,4,0,2,0.267,0.583,LAD,32000000
Kyle Gibson,SP,31,0.191,29,4,1,2,0.138,0.379,PHI,11500000
Tyler Anderson,SP,31,0.191,39,4,1,1,0.103,0.304,SEA,2500000
Blake Snell,SP,27,0.167,34,4,0,0,0.118,0.235,SD,11100000
Eric Lauer,SP,26,0.161,26,4,1,4,0.154,0.527,MIL,570500
Payton Henry,C,5,0.031,15,4,0,0,0.267,0.646,MIA,570500
Tyler Nevin,1B,6,0.037,14,4,1,3,0.286,1.087,BAL,570500
Greg Deichmann,OF,14,0.086,30,4,0,1,0.133,0.295,CHC,570500
Freddy Peralta,SP,29,0.179,43,4,0,0,0.093,0.207,MIL,1334960
Seth Beer,OF,5,0.031,9,4,1,3,0.444,1.389,ARI,570500
Edwin Rios,3B,25,0.154,51,4,1,1,0.078,0.354,LAD,590500
Vimael Machin,2B,15,0.093,32,4,0,1,0.125,0.325,OAK,570500
Rob Brantly,C,6,0.037,20,3,0,0,0.15,0.39,NYY,570500
Deven Marrero,SS,10,0.062,16,3,1,1,0.188,0.691,MIA,570500
Mitch Keller,SP,24,0.148,28,3,0,0,0.107,0.274,PIT,579000
Adrian Houser,SP,28,0.173,42,3,2,2,0.071,0.328,MIL,584100
Anthony Gonsolin,RP,17,0.105,17,3,0,0,0.177,0.458,LAD,580500
Vladimir Gutierrez,SP,22,0.136,33,3,0,1,0.091,0.234,CIN,570500
Trevor Rogers,SP,26,0.161,43,3,0,0,0.07,0.161,MIA,570500
Brian Miller,OF,5,0.031,11,3,0,0,0.273,0.545,MIA,570500
Tyler Mahle,SP,33,0.204,55,3,0,1,0.055,0.173,CIN,2200000
Ranger Suarez,SP,39,0.241,16,3,0,1,0.188,0.59,PHI,570500
Austin Gomber,SP,24,0.149,32,3,0,1,0.094,0.215,COL,575500
JT Brubaker,SP,25,0.154,38,3,0,3,0.079,0.246,PIT,590500
Dylan Cease,SP,32,0.198,8,3,0,0,0.375,0.875,CHW,600000
Merrill Kelly,SP,27,0.167,47,3,0,1,0.064,0.222,ARI,4250000
Oneil Cruz,SS,2,0.012,9,3,1,3,0.333,1.0,PIT,570500
Kwang-hyun Kim,SP,27,0.167,26,3,0,2,0.115,0.302,STL,4000000
Humberto Castellanos,RP,14,0.086,6,3,1,5,0.5,1.429,ARI,570500
Johnny Cueto,SP,22,0.136,29,2,0,0,0.069,0.225,SF,21000000
Carlos Martinez,SP,16,0.099,24,2,0,0,0.083,0.208,STL,11700000
Vincent Velasquez,SP,26,0.161,23,2,0,3,0.087,0.247,SD,570500
Jeff Hoffman,SP,32,0.198,15,2,0,1,0.133,0.267,CIN,585500
Luke Weaver,SP,13,0.08,19,2,0,1,0.105,0.255,ARI,1950000
Jack Flaherty,SP,17,0.105,17,2,1,3,0.118,0.598,STL,3900000
Antonio Senzatela,SP,28,0.174,39,2,0,1,0.051,0.103,COL,3000000
Sean Manaea,SP,32,0.198,4,2,0,0,0.5,1.25,OAK,5950000
Ian Anderson,SP,24,0.149,37,2,0,0,0.054,0.16,ATL,575500
Jake Woodford,RP,26,0.161,18,2,0,0,0.111,0.222,STL,578300
Caleb Smith,SP,45,0.278,22,2,0,0,0.091,0.303,ARI,1386240
Spencer Howard,SP,19,0.117,6,2,0,0,0.333,0.833,TEX,570500
Wil Crowe,SP,29,0.179,35,2,0,0,0.057,0.194,PIT,574000
Luis Gonzalez,CF,6,0.037,8,2,0,0,0.25,0.955,SF,570500
Sandy Alcantara,SP,33,0.204,58,2,0,0,0.035,0.148,MIA,630000
Pablo Lopez,SP,21,0.13,33,2,0,0,0.061,0.182,MIA,595000
Adbert Alzolay,SP,30,0.185,31,2,0,0,0.065,0.191,CHC,573000
Luis Barrera,OF,6,0.037,8,2,0,0,0.25,0.5,OAK,570500
Justin Steele,SP,20,0.124,13,2,0,0,0.154,0.308,CHC,570500
Erick Castillo,C,4,0.025,8,2,0,0,0.25,0.583,CHC,570500
Zach Thompson,SP,27,0.167,15,2,0,0,0.133,0.333,MIA,570500
Trent Giambrone,2B,5,0.031,13,2,0,0,0.154,0.308,CHC,570500
Daniel Bard,RP,67,0.416,1,1,0,0,1.0,2.0,COL,2925000
Stephen Strasburg,SP,5,0.031,5,1,0,0,0.2,0.733,WSH,35000000
Craig Stammen,RP,67,0.414,5,1,0,0,0.2,0.4,SD,4500000
Tommy Hunter,RP,4,0.025,1,1,0,0,1.0,2.0,TB,2250000
Lance Lynn,SP,28,0.173,5,1,0,2,0.2,0.4,CHW,9333334
Pete Kozma,SS,3,0.019,11,1,0,0,0.091,0.258,OAK,570500
Dylan Bundy,SP,24,0.148,4,1,0,0,0.25,0.5,LAA,8325000
James Kaprielian,SP,24,0.148,3,1,0,0,0.333,0.667,OAK,570500
Phil Bickford,RP,57,0.352,3,1,0,0,0.333,0.667,LAD,570500
Garrett Cleavinger,SP,22,0.136,2,1,0,0,0.5,1.5,LAD,570500
Cody Poteet,SP,8,0.049,10,1,0,1,0.1,0.2,MIA,570500
Matt Boyd,SP,15,0.093,3,1,0,0,0.333,0.833,DET,6500000
Max Moroff,2B,6,0.037,16,1,0,1,0.063,0.125,STL,570500
Alec Mills,SP,33,0.204,32,1,0,0,0.031,0.094,CHC,600000
Kenta Maeda,SP,23,0.142,3,1,0,0,0.333,0.667,MIN,5625000
Nick Ciuffo,C,2,0.012,5,1,0,0,0.2,0.733,BAL,570500
Matt Thaiss,1B,3,0.019,7,1,0,0,0.143,0.393,LAA,570500
Bryse Wilson,SP,16,0.099,21,1,0,1,0.048,0.139,PIT,570500
Dakota Hudson,SP,2,0.012,3,1,0,0,0.333,0.833,STL,595700
Justin Dunn,SP,11,0.068,3,1,0,1,0.333,1.0,SEA,584900
Cole Irvin,SP,32,0.198,5,1,0,1,0.2,0.4,OAK,573000
Chad Kuhl,RP,28,0.173,21,1,0,0,0.048,0.139,PIT,2130000
Lucas Giolito,SP,31,0.191,4,1,0,0,0.25,0.5,CHW,4150000
Dane Dunning,SP,27,0.167,3,1,0,0,0.333,0.667,TEX,572500
Steven Brault,SP,7,0.043,6,1,0,0,0.167,0.5,PIT,2050000
Austin Voth,RP,49,0.303,2,1,0,0,0.5,1.167,WSH,587700
Chase De Jong,SP,10,0.062,12,1,0,0,0.083,0.25,PIT,570500
Yairo Munoz,SS,5,0.031,11,1,0,0,0.091,0.182,BOS,570500
Ronald Guzman,1B,7,0.043,16,1,1,1,0.063,0.368,TEX,606000
David Peterson,SP,16,0.099,16,1,0,0,0.063,0.243,NYM,585750
Cory Abbott,SP,8,0.049,3,1,0,0,0.333,0.667,CHC,570500
Keegan Thompson,RP,32,0.198,6,1,0,0,0.167,0.333,CHC,570500
Bailey Ober,SP,20,0.124,2,1,0,0,0.5,1.0,MIN,570500
Garrett Whitlock,RP/CL,46,0.284,2,1,0,0,0.5,1.0,BOS,570500
Zack Littell,RP,63,0.389,4,1,0,0,0.25,0.5,SF,570500
Elieser Hernandez,SP,11,0.068,14,1,0,0,0.071,0.143,MIA,579000
Josiah Gray,SP,14,0.086,22,1,0,0,0.046,0.132,WSH,570500
Drew Rasmussen,RP,35,0.216,4,1,0,0,0.25,0.5,TB,573000
John Means,SP,26,0.161,5,1,0,0,0.2,0.6,BAL,593500
Chris Paddack,SP,24,0.148,35,1,0,0,0.029,0.11,SD,610900
Taylor Widener,SP,23,0.142,16,1,0,0,0.063,0.18,ARI,583400
Jose Urquidy,SP,20,0.124,4,1,0,0,0.25,0.5,HOU,604200
Patrick Sandoval,SP,17,0.105,4,1,0,0,0.25,0.5,LAA,570500
Humberto Mejia,SP,5,0.031,7,1,0,0,0.143,0.429,ARI,570500
Edward Cabrera,P,7,0.043,7,1,0,1,0.143,0.429,MIA,570500
Ashton Goudeau,SP,16,0.099,6,1,0,0,0.167,0.333,COL,570500
P.J. Higgins,C,9,0.056,23,1,0,0,0.044,0.163,CHC,570500
Tony Santillan,SP,27,0.167,7,1,0,0,0.143,0.429,CIN,570500
Connor Overton,RP,9,0.056,1,1,0,2,1.0,2.0,PIT,570500
Zack Greinke,SP,30,0.185,2,0,0,0,0.0,0.0,HOU,35000000
Scott Kazmir,SP,5,0.031,3,0,0,0,0.0,0.0,SF,600000
Max Scherzer,SP,30,0.185,59,0,0,1,0.0,0.0,LAD,34603480
Jesse Chavez,RP,30,0.186,3,0,0,0,0.0,0.0,ATL,570500
Craig Kimbrel,RP,63,0.389,1,0,0,0,0.0,0.0,CHW,16000000
Chris Sale,SP,9,0.056,1,0,0,0,0.0,0.0,BOS,30000000
Carlos Carrasco,SP,12,0.074,15,0,0,0,0.0,0.0,NYM,12000000
Wade LeBlanc,SP,18,0.111,11,0,0,0,0.0,0.0,STL,570500
Kenley Jansen,RP/CL,69,0.426,1,0,0,0,0.0,0.0,LAD,20000000
Michael Pineda,SP,22,0.136,3,0,0,0,0.0,0.0,MIN,10000000
Alex Cobb,SP,18,0.111,1,0,0,0,0.0,0.0,LAA,15000000
Matt Moore,RP,24,0.148,19,0,0,0,0.0,0.0,PHI,3000000
Jose Lobaton,C,6,0.037,11,0,0,0,0.0,0.154,CHC,1000000
Martin Perez,RP,36,0.222,3,0,0,0,0.0,0.0,BOS,4500000
Jordan Lyles,SP,32,0.198,6,0,0,0,0.0,0.0,TEX,8000000
Wily Peralta,SP,19,0.117,1,0,0,0,0.0,0.5,DET,1500000
Nathan Eovaldi,SP,32,0.198,2,0,0,0,0.0,0.333,BOS,17000000
Rex Brothers,RP,57,0.352,2,0,0,0,0.0,0.0,CHC,850000
Jake Diekman,RP,67,0.414,1,0,0,0,0.0,0.0,OAK,4000000
Drew Hutchison,SP,9,0.056,1,0,0,0,0.0,0.0,DET,570500
Joe Kelly,RP,48,0.296,3,0,0,0,0.0,0.0,LAD,8500000
Matt Harvey,SP,28,0.173,5,0,0,0,0.0,0.0,BAL,1000000
Shelby Miller,RP,13,0.08,1,0,0,0,0.0,0.0,PIT,570500
Miles Mikolas,SP,9,0.056,8,0,0,0,0.0,0.111,STL,16750000
Dallas Keuchel,SP,32,0.198,2,0,0,0,0.0,0.0,CHW,18000000
Hyun-Jin Ryu,SP,31,0.191,4,0,0,0,0.0,0.0,TOR,20000000
Hunter Strickland,RP,57,0.352,2,0,0,0,0.0,0.0,MIL,1000000
Eduardo Rodriguez,SP,32,0.198,6,0,0,0,0.0,0.0,BOS,8300000
Chris Bassitt,SP,27,0.167,2,0,0,0,0.0,0.0,OAK,4900000
Michael Lorenzen,SP,27,0.167,1,0,0,0,0.0,0.0,CIN,4437500
Jose Alvarez,RP,67,0.414,2,0,0,0,0.0,0.5,SF,1050000
Ross Stripling,SP,24,0.148,5,0,0,0,0.0,0.0,TOR,3000000
Heath Hembree,RP,60,0.37,1,0,0,0,0.0,0.0,NYM,1250000
Jimmy Nelson,RP,28,0.173,3,0,0,0,0.0,0.0,LAD,1250000
Sean Nolin,RP,10,0.062,5,0,0,0,0.0,0.0,WSH,570500
Corey Knebel,RP/CL,27,0.167,2,0,0,0,0.0,0.0,LAD,5250000
Tyler Ladendorf,2B,1,0.006,1,0,0,0,0.0,0.0,CHC,570500
Daniel Coulombe,RP,29,0.179,1,0,0,0,0.0,0.0,MIN,570500
Steven Matz,SP,29,0.179,2,0,0,0,0.0,0.0,TOR,5200000
Frankie Montas,SP,32,0.198,4,0,0,0,0.0,0.0,OAK,1800000
Domingo German,SP,22,0.136,2,0,0,0,0.0,0.0,NYY,619675
Hector Neris,RP,74,0.457,1,0,0,0,0.0,0.0,PHI,5020000
Jameson Taillon,SP,29,0.179,1,0,0,0,0.0,0.5,NYY,2250000
Jandel Gustave,RP,14,0.086,2,0,0,0,0.0,0.0,MIL,570500
Daniel Norris,RP,56,0.346,2,0,0,0,0.0,0.0,MIL,3475000
Lance McCullers,SP,30,0.185,4,0,0,0,0.0,0.0,HOU,7083333
Kolby Allard,SP,32,0.198,2,0,0,0,0.0,0.0,TEX,584250
Thomas Eshelman,SP,9,0.056,1,0,0,0,0.0,0.0,BAL,570500
Cody Ponce,RP,15,0.093,6,0,0,0,0.0,0.0,PIT,580500
Erick Fedde,SP,29,0.179,36,0,0,1,0.0,0.026,WSH,575000
Michael Kopech,RP,44,0.272,1,0,0,0,0.0,0.0,CHW,570500
Drew Smith,RP,31,0.191,1,0,0,0,0.0,0.0,NYM,574500
Bailey Falter,RP,22,0.136,5,0,0,0,0.0,0.0,PHI,570500
Thomas Szapucki,RP,1,0.006,1,0,0,0,0.0,0.0,NYM,570500
Colin Rea,SP,1,0.006,2,0,0,0,0.0,0.0,MIL,570500
Marco Gonzales,SP,25,0.154,4,0,0,0,0.0,0.0,SEA,5250000
Jay Jackson,RP,23,0.142,1,0,0,0,0.0,0.0,SF,570500
Jorge Lopez,SP,33,0.204,2,0,0,0,0.0,0.0,BAL,586750
John Gant,RP,39,0.241,13,0,0,0,0.0,0.0,MIN,2100000
Chris Stratton,RP/CL,68,0.42,2,0,0,0,0.0,0.0,PIT,1100000
Steven Okert,RP,34,0.21,2,0,0,0,0.0,0.0,MIA,570500
Tyler Glasnow,SP,14,0.086,2,0,0,0,0.0,0.0,TB,4000000
Jarlin Garcia,RP,58,0.358,2,0,0,0,0.0,0.0,SF,950000
Seth Lugo,RP,46,0.284,1,0,0,0,0.0,0.0,NYM,2925000
Robert Gsellman,RP,18,0.111,5,0,0,0,0.0,0.167,NYM,1300000
Jose Berrios,SP,32,0.198,3,0,0,0,0.0,0.0,TOR,5600000
Junior Guerra,RP,41,0.253,2,0,0,0,0.0,0.0,LAA,750000
Jesus Luzardo,SP,25,0.154,15,0,0,0,0.0,0.211,MIA,575500
Dustin May,SP,5,0.031,3,0,0,0,0.0,0.0,LAD,590500
Zach Eflin,SP,18,0.111,29,0,0,1,0.0,0.065,PHI,4450000
Griffin Jax,SP,18,0.111,3,0,0,0,0.0,0.0,MIN,570500
Joey Lucchesi,SP,11,0.068,10,0,0,0,0.0,0.091,NYM,607100
Adrian Sampson,RP,11,0.068,7,0,0,0,0.0,0.0,CHC,570500
Matt Manning,SP,18,0.111,1,0,0,0,0.0,0.0,DET,570500
Keegan Akin,SP,24,0.148,2,0,0,0,0.0,0.0,BAL,570500
Josh Sborz,RP,63,0.389,1,0,0,0,0.0,0.0,TEX,573500
A.J. Minter,RP,61,0.379,1,0,0,0,0.0,0.0,ATL,1300000
Max Kranick,SP,9,0.056,12,0,0,0,0.0,0.0,PIT,570500
Joan Adon,P,1,0.006,2,0,0,0,0.0,0.0,WSH,570500
Adrian Morejon,SP,2,0.012,1,0,0,0,0.0,0.0,SD,572900
Michael Rucker,RP,20,0.124,1,0,0,0,0.0,0.0,CHC,570500
Anthony Bender,RP,61,0.377,2,0,0,0,0.0,0.0,MIA,570500
Alexander Reyes,RP,70,0.432,1,0,0,0,0.0,0.0,STL,900000
Brent Suter,RP,61,0.377,4,0,0,0,0.0,0.0,MIL,1550000
Jose Ruiz,RP,59,0.364,1,0,0,0,0.0,0.0,CHW,575000
Anthony Banda,RP,30,0.185,1,0,0,0,0.0,0.0,PIT,570500
Jimmie Sherfy,RP,14,0.086,1,0,0,0,0.0,0.0,LAD,570500
Lucas Sims,RP/CL,47,0.29,2,0,0,0,0.0,0.0,CIN,598500
Duane Underwood,RP,43,0.265,4,0,0,0,0.0,0.0,PIT,584500
Jake Junis,RP,16,0.099,1,0,0,0,0.0,0.0,KC,1700000
Clay Holmes,RP,69,0.426,1,0,0,0,0.0,0.0,NYY,650000
Nick Pivetta,SP,31,0.191,2,0,0,0,0.0,0.0,BOS,613500
Chris Flexen,SP,31,0.191,3,0,0,0,0.0,0.0,SEA,1700000
Yency Almonte,RP,48,0.298,3,0,0,0,0.0,0.0,COL,575500
Kyle McGowin,RP,27,0.167,1,0,0,0,0.0,0.0,WSH,570500
Jordan Montgomery,SP,30,0.185,4,0,0,0,0.0,0.0,NYY,2130000
Emilio Pagan,RP,67,0.414,2,0,0,0,0.0,0.0,SD,1570000
Dinelson Lamet,SP,22,0.136,6,0,0,0,0.0,0.143,SD,4200000
Ryne Harper,RP,34,0.21,1,0,0,0,0.0,0.0,WSH,570500
Edgar Santana,RP,41,0.255,1,0,0,0,0.0,0.0,ATL,570500
Phil Maton,RP,65,0.401,1,0,0,0,0.0,0.0,HOU,975000
Tanner Houck,SP,18,0.111,1,0,0,0,0.0,0.0,BOS,577000
Hans Crouse,P,2,0.012,1,0,0,0,0.0,0.0,PHI,570500
Charlie Barnes,SP,9,0.056,1,0,0,0,0.0,0.0,MIN,570500
Josh Fleming,SP,26,0.161,1,0,0,0,0.0,0.0,TB,570500
Bruce Zimmermann,SP,14,0.086,4,0,0,0,0.0,0.0,BAL,571500
Zach Pop,RP,50,0.309,1,0,0,0,0.0,0.0,MIA,570500
John King,RP,27,0.167,1,0,0,0,0.0,0.0,TEX,572500
Andre Jackson,RP,3,0.019,4,0,0,0,0.0,0.0,LAD,570500
Paul Campbell,RP,16,0.099,5,0,0,0,0.0,0.0,MIA,570500
John Curtiss,RP,44,0.272,5,0,0,0,0.0,0.0,MIL,615000
Dillon Peters,SP,6,0.037,5,0,0,0,0.0,0.167,PIT,570500
Dennis Santana,RP,55,0.34,2,0,0,0,0.0,0.0,TEX,575000
Jaime Barria,SP,13,0.08,3,0,0,0,0.0,0.0,LAA,590500
Ryan Yarbrough,SP,30,0.185,4,0,0,0,0.0,0.0,TB,2300000
Robert Stock,RP,3,0.019,4,0,0,0,0.0,0.0,NYM,570500
Brad Keller,SP,26,0.161,5,0,0,0,0.0,0.0,KC,3350000
Nestor Cortes,SP,23,0.142,1,0,0,0,0.0,0.0,NYY,570500
Adam Cimber,RP,72,0.444,2,0,0,0,0.0,0.0,TOR,925000
Casey Mize,SP,30,0.185,2,0,0,1,0.0,0.333,DET,574100
Kris Bubic,SP,29,0.179,5,0,0,0,0.0,0.0,KC,570500
Aaron Ashby,P,14,0.086,2,0,0,0,0.0,0.333,MIL,570500
Joe Ryan,P,5,0.031,2,0,0,0,0.0,0.0,MIN,570500
Tarik Skubal,SP,31,0.191,2,0,0,0,0.0,0.0,DET,574300
Justin Topa,RP,4,0.025,1,0,0,0,0.0,0.0,MIL,573000
Alex Vesia,RP,41,0.253,3,0,0,0,0.0,0.25,LAD,570500
Reiss Knehr,P,12,0.074,8,0,0,0,0.0,0.0,SD,570500
Evan Phillips,RP,8,0.049,3,0,0,0,0.0,0.0,LAD,570500
Tanner Anderson,RP,1,0.006,2,0,0,0,0.0,0.0,PIT,570500
Josh Rogers,SP,6,0.037,12,0,0,0,0.0,0.077,WSH,570500
Framber Valdez,SP,22,0.136,4,0,0,0,0.0,0.0,HOU,637300
Jacob Webb,RP,34,0.211,2,0,0,0,0.0,0.0,ATL,570500
Jose Suarez,SP,23,0.142,1,0,0,0,0.0,0.0,LAA,570500
Sam Coonrod,RP,42,0.259,1,0,0,0,0.0,0.0,PHI,573000
Patrick Murphy,SP,25,0.154,1,0,0,0,0.0,0.0,WSH,575000
Adonis Medina,SP,4,0.025,1,0,0,0,0.0,0.0,PHI,570500
Yusei Kikuchi,SP,29,0.179,2,0,0,0,0.0,0.0,SEA,16500000
Nabil Crismatt,RP,45,0.278,10,0,0,0,0.0,0.0,SD,585000
Tyler Alexander,SP,41,0.253,2,0,0,0,0.0,0.0,DET,578800
Sean Poppen,RP,24,0.148,1,0,0,0,0.0,0.0,ARI,570500
Tyler Gilbert,RP,9,0.056,9,0,0,0,0.0,0.0,ARI,570500
Brusdar Graterol,RP,34,0.21,2,0,0,0,0.0,0.0,LAD,590500
Alek Manoah,SP,20,0.124,1,0,0,0,0.0,0.0,TOR,570500
Sam Selman,RP,25,0.154,1,0,0,0,0.0,0.0,LAA,583000
Junior Fernandez,RP,18,0.111,1,0,0,0,0.0,0.0,STL,570500
David Bednar,RP/CL,61,0.377,1,0,0,0,0.0,0.0,PIT,579000
Tucker Davidson,SP,4,0.025,6,0,0,0,0.0,0.0,ATL,570500
Miguel Yajure,SP,4,0.025,3,0,0,0,0.0,0.0,PIT,570500
Carlos Hernandez,SP,24,0.148,4,0,0,0,0.0,0.0,KC,570500
Manuel Rodriguez,RP,20,0.124,1,0,0,0,0.0,0.0,CHC,570500
Tejay Antone,RP,23,0.142,3,0,0,0,0.0,0.25,CIN,580500
Rony Garcia,RP,2,0.012,1,0,0,0,0.0,0.0,DET,575000
Reid Detmers,SP,5,0.031,1,0,0,0,0.0,0.5,LAA,570500
Spencer Strider,P,2,0.012,1,0,0,0,0.0,0.0,ATL,570500
Nick Mears,RP,30,0.185,1,0,0,0,0.0,0.0,PIT,570500
Tommy Nance,RP,27,0.167,2,0,0,0,0.0,0.0,CHC,570500
Reiver Sanmartin,SP,2,0.012,6,0,0,0,0.0,0.0,CIN,570500
