Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Vincent Velasquez,0.216,3,0.233,0.615,PHI,2249000
Kevin Kramer,0.136,5,0.167,0.45,PIT,555000
Aaron Nola,0.21,2,0.119,0.353,PHI,4500000
Domingo Leyba,0.13,5,0.28,0.807,ARI,555000
Franklin Barreto,0.142,5,0.123,0.401,OAK,557500
Adrian Sanchez,0.179,1,0.226,0.476,WSH,560000
Garrett Stubbs,0.117,2,0.2,0.568,HOU,555000
Anthony Bemboom,0.154,4,0.13,0.349,LAA,555000
Seth Mejias-Brean,0.086,5,0.233,0.803,SD,555000
Dom Nunez,0.099,4,0.18,0.643,COL,555000
Jaylin Davis,0.105,3,0.167,0.493,SF,555000
Cole Hamels,0.167,4,0.143,0.344,CHC,20000000
Jeff Samardzija,0.198,1,0.12,0.28,SF,19800000
Julio Teheran,0.216,4,0.109,0.234,ATL,11166668
Michael Wacha,0.179,3,0.167,0.361,STL,6350000
Anthony DeSclafani,0.191,1,0.109,0.218,CIN,2125000
Noah Syndergaard,0.198,2,0.092,0.332,NYM,6000000
Aramis Garcia,0.111,5,0.143,0.527,SF,555000
Taylor Clarke,0.142,2,0.25,0.625,ARI,555000
Braden Bishop,0.167,4,0.107,0.26,SEA,555000
Greg Bird,0.062,1,0.171,0.55,NYY,1200000
Matthew Strahm,0.296,1,0.286,0.729,SD,581700
Miguel Andujar,0.074,1,0.128,0.271,NYY,617600
Jake Fraley,0.08,1,0.15,0.371,SEA,555000
Trevor Williams,0.161,4,0.167,0.377,PIT,584000
Luis Castillo,0.198,0,0.097,0.21,CIN,557500
Pablo Lopez,0.136,3,0.171,0.4,MIA,555000
Randy Arozarena,0.117,2,0.3,0.891,STL,555000
Rajai Davis,0.185,8,0.2,0.631,NYM,655000
Clayton Kershaw,0.179,1,0.102,0.242,LAD,31000000
Mark Trumbo,0.08,3,0.172,0.502,BAL,13500000
Yu Darvish,0.191,3,0.089,0.208,CHC,20000000
Jose Quintana,0.198,3,0.093,0.204,CHC,10500000
Ryan LaMarre,0.086,3,0.217,0.786,MIN,555000
Tanner Roark,0.191,2,0.152,0.424,OAK,10000000
Walker Buehler,0.185,2,0.085,0.278,LAD,570000
Jeff Hoffman,0.111,1,0.238,0.476,COL,555000
Anthony Alford,0.099,1,0.179,0.519,TOR,555000
Franchy Cordero,0.056,1,0.333,0.85,SD,560100
Sandy Alcantara,0.204,4,0.086,0.22,MIA,555000
Michael Hermosillo,0.111,3,0.139,0.527,LAA,556500
Dereck Rodriguez,0.179,0,0.172,0.345,SF,561250
Chris Paddack,0.161,2,0.119,0.238,SD,555000
Erick Mejia,0.056,4,0.227,0.606,KC,555000
Chris Archer,0.148,2,0.114,0.298,PIT,7666668
Chase Anderson,0.21,1,0.1,0.268,MIL,6500000
Robbie Ray,0.21,3,0.073,0.145,ARI,6050000
Kaleb Cowart,0.056,1,0.16,0.472,LAA,555000
Rene Rivera,0.056,3,0.235,0.762,NYM,555000
Jose Pirela,0.086,2,0.182,0.614,PHI,575500
Michael Soroka,0.179,3,0.077,0.22,ATL,555000
Tyler Beede,0.154,1,0.105,0.276,SF,555000
Travis Jankowski,0.154,0,0.182,0.432,SD,1165000
Eric Lauer,0.185,0,0.1,0.272,SD,562500
Dakota Hudson,0.204,2,0.078,0.175,STL,559100
Anthony Gonsolin,0.068,1,0.308,0.615,LAD,555000
Tyrone Taylor,0.093,1,0.4,1.1,MIL,555000
Rich Hill,0.08,1,0.167,0.433,LAD,18666668
Jason Vargas,0.185,0,0.075,0.15,PHI,8000000
Jhoulys Chacin,0.154,1,0.125,0.41,BOS,555000
Trevor Bauer,0.21,0,0.158,0.396,CIN,13000000
Tyler Chatwood,0.253,1,0.167,0.488,CHC,12500000
Jon Gray,0.167,1,0.064,0.184,COL,2925000
Ronald Torreyes,0.043,1,0.188,0.423,MIN,800000
Christian Colon,0.049,1,0.5,1.125,CIN,555000
Ross Stripling,0.198,1,0.15,0.377,LAD,595000
Luis Torrens,0.043,0,0.214,0.598,SD,555000
Julio Urias,0.228,2,0.25,0.558,LAD,565000
Joey Lucchesi,0.185,1,0.063,0.144,SD,565100
Trevor Richards,0.191,0,0.1,0.256,TB,570000
Donnie Walton,0.043,2,0.188,0.503,SEA,555000
Dinelson Lamet,0.086,0,0.143,0.286,SD,566700
Nick Margevicius,0.105,0,0.2,0.4,SD,555000
Tyler Mahle,0.167,0,0.088,0.232,CIN,570000
Ian Miller,0.074,1,0.177,0.412,MIN,555000
Kean Wong,0.043,0,0.167,0.333,LAA,555000
Dustin Pedroia,0.037,1,0.1,0.243,BOS,15125000
Homer Bailey,0.204,1,0.4,0.8,OAK,555000
Alex Wood,0.043,0,0.222,0.444,CIN,9650000
Mike Foltynewicz,0.13,1,0.057,0.114,ATL,5475000
Juan Centeno,0.043,2,0.133,0.411,BOS,555000
Jameson Taillon,0.043,0,0.25,0.5,PIT,587500
Joe Ross,0.173,0,0.105,0.255,WSH,1000000
Kyle Freeland,0.136,0,0.087,0.279,COL,565000
Erick Fedde,0.13,0,0.133,0.267,WSH,555000
Luke Weaver,0.08,4,0.105,0.363,ARI,581300
Trent Thornton,0.198,0,0.667,1.333,TOR,555000
Steve Baron,0.043,1,0.2,0.5,PIT,555000
Tim Melville,0.043,2,0.25,0.5,COL,555000
Cal Quantrill,0.142,1,0.08,0.195,SD,555000
Corbin Burnes,0.198,0,0.286,0.571,MIL,562800
Bryse Wilson,0.037,0,0.222,0.444,ATL,565000
Zac Gallen,0.093,1,0.105,0.211,ARI,555000
Jake Noll,0.049,2,0.167,0.481,WSH,555000
Shaun Anderson,0.173,0,0.08,0.235,SF,555000
Edmundo Sosa,0.049,0,0.25,0.65,STL,555000
Nick Pivetta,0.185,0,0.08,0.195,PHI,598000
Brendan McKay,0.111,1,0.2,0.773,TB,555000
Dario Agrazal,0.093,2,0.091,0.178,PIT,555000
Jacob Nottingham,0.056,4,0.333,1.262,MIL,555000
Freddy Peralta,0.247,1,0.133,0.267,MIL,564600
Gregory Soto,0.211,0,1.0,2.0,DET,555000
Alex McRae,0.068,0,0.333,0.667,PIT,555000
Abiatal Avelino,0.025,1,0.286,0.661,SF,555000
Zach Green,0.049,1,0.143,0.464,SF,555000
Francisco Liriano,0.426,0,1.0,2.0,PIT,1800000
Luis Perdomo,0.29,1,0.143,0.286,SD,555000
Mike Leake,0.198,1,0.048,0.139,ARI,16000000
David Price,0.136,1,0.5,1.0,BOS,31000000
Danny Duffy,0.142,0,0.25,0.5,KC,15250000
Wilmer Font,0.296,0,0.333,0.667,TOR,560400
Oliver Drake,0.309,1,1.0,2.0,TB,566100
Mike Montgomery,0.21,0,0.167,0.333,KC,2440000
Kevin Gausman,0.191,0,0.037,0.074,CIN,9350000
Marcus Stroman,0.198,0,0.044,0.087,NYM,7400000
Tyler Anderson,0.031,0,0.143,0.286,COL,2625000
Daniel Norris,0.205,0,0.167,0.333,DET,1275000
Chi Chi Gonzalez,0.086,2,0.042,0.083,COL,555000
Chris Shaw,0.099,0,0.056,0.206,SF,555000
Alex Young,0.105,0,0.04,0.08,ARI,555000
Skye Bolt,0.031,0,0.1,0.382,OAK,555000
Ryan Helsley,0.148,0,0.333,0.667,STL,555000
Matt Boyd,0.205,0,0.5,1.0,DET,2600000
Marco Gonzales,0.216,0,0.2,0.6,SEA,900000
Adrian Houser,0.216,0,0.046,0.216,MIL,555000
Antonio Senzatela,0.154,3,0.025,0.074,COL,560000
Alec Mills,0.056,0,0.083,0.167,CHC,555000
Seth Lugo,0.377,1,1.0,2.0,NYM,591875
Ruben Alaniz,0.074,1,1.0,2.0,CIN,555000
Johnny Davis,0.049,0,0.25,1.0,TB,555000
Junior Guerra,0.444,0,0.333,0.667,MIL,2225000
Dustin May,0.086,0,0.091,0.182,LAD,555000
Jon Duplantier,0.093,0,0.125,0.25,ARI,555000
Cole Irvin,0.099,0,0.167,0.542,PHI,555000
Lucas Giolito,0.18,2,0.25,0.5,CHW,573000
Brock Stewart,0.08,0,0.333,1.0,TOR,565000
David Freitas,0.105,1,0.067,0.317,MIL,558500
Austin Voth,0.056,1,0.111,0.222,WSH,556000
Raudy Read,0.037,0,0.091,0.182,WSH,556000
Lucas Sims,0.148,0,0.125,0.25,CIN,555000
Chris Flexen,0.056,0,0.5,1.0,NYM,555000
Kyle McGowin,0.043,0,0.333,0.667,WSH,555000
Mike Gerber,0.074,0,0.042,0.199,SF,555000
Walker Lockett,0.056,0,0.167,0.452,NYM,555000
John Brebbia,0.407,0,1.0,2.0,STL,569300
Ranger Suarez,0.228,0,0.25,0.5,PHI,555000
Jesus Tinoco,0.148,0,0.2,0.4,COL,555000
Brad Keller,0.173,1,0.125,0.347,KC,578175
Elieser Hernandez,0.13,0,0.053,0.153,MIA,555000
Drew Gagnon,0.111,0,0.333,0.667,NYM,555000
Caleb Ferguson,0.284,0,0.5,1.5,LAD,560000
John Means,0.191,0,1.0,2.0,BAL,555500
Jordan Yamamoto,0.099,1,0.048,0.139,MIA,555000
Logan Webb,0.056,0,0.111,0.311,SF,555000
Merrill Kelly,0.198,2,0.019,0.075,ARI,2000000
Deivy Grullon,0.025,1,0.111,0.333,PHI,555000
Montana DuRapau,0.086,0,0.25,0.5,PIT,555000
Yusmeiro Petit,0.494,0,0.0,0.0,OAK,5500000
Justin Verlander,0.21,0,0.0,0.0,HOU,28075000
C.C. Sabathia,0.148,0,0.0,0.0,NYY,8000000
Felix Hernandez,0.093,0,0.0,0.0,SEA,27857142
Edwin Jackson,0.112,0,0.0,0.0,DET,555000
Johnny Cueto,0.025,0,0.0,0.0,SF,21000000
Rick Porcello,0.198,0,0.0,0.0,BOS,21125000
Carlos Martinez,0.296,0,0.0,0.0,STL,11700000
Ross Detwiler,0.112,0,0.0,0.0,CHW,555000
Jordan Zimmermann,0.143,0,0.0,0.0,DET,25000000
Mike Minor,0.204,0,0.0,0.0,TEX,9833333
Andrew Cashner,0.259,0,0.0,0.0,BOS,12500000
Josh Tomlin,0.315,0,0.0,0.0,ATL,1000000
Juan Nicasio,0.29,0,0.0,0.0,PHI,9250000
Steve Cishek,0.432,0,0.0,0.0,CHC,6500000
Ivan Nova,0.211,0,0.0,0.0,CHW,9166668
Craig Stammen,0.469,0,0.0,0.0,SD,2250000
Kenley Jansen,0.383,0,0.0,0.0,LAD,19333334
Michael Pineda,0.161,0,0.0,0.0,MIN,8000000
Corey Kluber,0.043,0,0.0,0.0,TEX,17700000
Sean Doolittle,0.389,0,0.0,0.0,WSH,6000000
Tom Milone,0.142,0,0.0,0.0,SEA,555000
Wei-Yin Chen,0.278,0,0.0,0.0,MIA,20000000
Jared Hughes,0.444,0,0.0,0.0,PHI,2125000
Javy Guerra,0.315,0,0.0,0.0,WSH,800000
Drew Smyly,0.154,0,0.0,0.05,PHI,7000000
Dylan Bundy,0.185,0,0.0,0.0,BAL,2800000
Nick Vincent,0.198,0,0.0,0.0,PHI,555000
Jake Odorizzi,0.185,0,0.0,0.0,MIN,9500000
Kyle Gibson,0.21,0,0.0,0.5,MIN,8125000
T.J. McFarland,0.315,0,0.0,0.0,ARI,1400000
Robbie Erlin,0.228,0,0.0,0.0,SD,1450000
Gerrit Cole,0.21,0,0.0,0.0,HOU,13500000
Masahiro Tanaka,0.198,0,0.0,0.0,NYY,22000000
Eduardo Rodriguez,0.21,0,0.0,0.0,BOS,4325000
Archie Bradley,0.407,0,0.0,0.0,ARI,1830000
Matt Barnes,0.432,0,0.0,0.0,BOS,1600000
Chris Bassitt,0.173,0,0.0,0.0,OAK,565000
Robert Stephenson,0.352,0,0.0,0.0,CIN,565000
Austin Adams,0.185,0,0.0,0.0,SEA,555000
Chad Bettis,0.241,0,0.0,0.286,COL,3325000
Scott Oberg,0.303,0,0.0,0.0,COL,1300000
Asher Wojciechowski,0.105,0,0.0,0.0,BAL,555000
Aaron Brooks,0.179,0,0.0,0.0,BAL,560000
James Paxton,0.179,1,0.0,0.0,NYY,8575000
Roenis Elias,0.296,0,0.0,0.0,WSH,910000
Marcus Walden,0.432,0,0.0,0.0,BOS,555000
Raisel Iglesias,0.42,0,0.0,0.0,CIN,6000000
Jimmy Nelson,0.062,0,0.0,0.0,MIL,3700000
Aaron Sanchez,0.185,0,0.0,0.0,HOU,3900000
Casey Sadler,0.204,0,0.0,0.0,LAD,555000
Tyler Lyons,0.086,0,0.0,0.0,NYY,555000
Matt Andriese,0.333,0,0.0,0.0,ARI,920000
Felipe Vazquez,0.346,0,0.0,0.0,PIT,4500000
Burch Smith,0.105,0,0.0,0.0,SF,555000
Kyle Ryan,0.451,0,0.0,0.333,CHC,555000
Yimi Garcia,0.395,0,0.0,0.0,LAD,710000
Jose Urena,0.154,0,0.0,0.05,MIA,3200000
Frankie Montas,0.099,0,0.0,0.5,OAK,560000
Adam Conley,0.37,0,0.0,0.0,MIA,1125000
Domingo German,0.167,0,0.0,0.0,NYY,577500
Hector Neris,0.42,0,0.0,0.0,PHI,1800000
Jandel Gustave,0.142,0,0.0,0.0,SF,555000
Trevor Gott,0.309,0,0.0,0.0,SF,567500
Matt Wisler,0.272,0,0.0,0.0,SEA,570000
Carson Fulmer,0.124,0,0.0,0.0,CHW,555000
Kolby Allard,0.056,0,0.0,0.0,TEX,555000
Andrew Suarez,0.13,0,0.0,0.0,SF,555000
Sean Newcomb,0.34,0,0.0,0.0,ATL,575000
Touki Toussaint,0.148,0,0.0,0.0,ATL,555000
Justus Sheffield,0.049,0,0.0,0.0,SEA,555000
Spencer Turnbull,0.186,0,0.0,0.0,DET,556100
Mitch Keller,0.068,0,0.0,0.0,PIT,555000
Brian Johnson,0.136,0,0.0,0.0,BOS,575000
Jay Jackson,0.173,0,0.0,0.0,MIL,1000000
Jorge Lopez,0.241,0,0.0,0.0,KC,562250
Luis Cessa,0.265,0,0.0,0.0,NYY,578975
John Gant,0.395,0,0.0,0.0,STL,571300
Sal Romano,0.074,0,0.0,0.0,CIN,555000
Chris Stratton,0.216,0,0.0,0.0,PIT,567500
Tyler Glasnow,0.074,0,0.0,0.0,TB,566700
Jarlin Garcia,0.327,0,0.0,0.0,MIA,555000
Randy Rosario,0.117,0,0.0,0.0,KC,564000
Matthew Bowman,0.167,0,0.0,0.0,CIN,555000
Jose Berrios,0.198,0,0.0,0.2,MIN,620000
Chad Green,0.333,0,0.0,0.0,NYY,598650
Daniel Mengden,0.08,0,0.0,0.0,OAK,555000
Jeremy Walker,0.037,0,0.0,0.0,ATL,555000
Tres Barrera,0.012,0,0.0,0.0,WSH,555000
Adrian Sampson,0.216,0,0.0,0.0,TEX,555000
T.J. Zeuch,0.031,0,0.0,0.0,TOR,555000
Justin Dunn,0.025,0,0.0,0.0,SEA,555000
Tanner Rainey,0.321,0,0.0,0.0,WSH,555000
Dylan Floro,0.309,0,0.0,0.0,LAD,565000
Adrian Morejon,0.031,0,0.0,0.0,SD,555000
Donnie Hart,0.031,0,0.0,0.0,NYM,555000
Joel Kuhnel,0.074,0,0.0,0.0,CIN,555000
Reynaldo Lopez,0.205,0,0.0,0.0,CHW,580000
Mike Mayers,0.099,0,0.0,0.0,STL,563700
Ronald Bolanos,0.031,1,0.0,0.0,SD,555000
Felix Pena,0.142,0,0.0,0.0,LAA,569000
Brent Suter,0.056,0,0.0,0.0,MIL,568300
Jimmie Sherfy,0.105,0,0.0,0.0,ARI,555000
Duane Underwood,0.074,0,0.0,0.0,CHC,555000
Keury Mella,0.019,0,0.0,0.0,CIN,555000
Yefry Ramirez,0.086,0,0.0,0.0,PIT,555000
Giovanny Gallegos,0.414,0,0.0,0.0,STL,555000
Austin Pruitt,0.086,0,0.0,0.0,TB,555000
Jake Junis,0.191,0,0.0,0.0,KC,578250
Clay Holmes,0.216,0,0.0,0.0,PIT,555000
Taylor Williams,0.074,0,0.0,0.0,MIL,563800
Josh Hader,0.377,0,0.0,0.0,MIL,687600
Yency Almonte,0.173,0,0.0,0.0,COL,555000
Dylan Covey,0.118,0,0.0,0.0,CHW,571000
Glenn Sparkman,0.191,0,0.0,0.0,KC,555000
Paul Sewald,0.105,0,0.0,0.0,NYM,555000
Emilio Pagan,0.407,0,0.0,0.0,TB,555000
Hector Velazquez,0.21,0,0.0,0.0,BOS,568500
Kyle Wright,0.043,0,0.0,0.0,ATL,565000
Griffin Canning,0.117,0,0.0,0.0,LAA,555000
Jalen Beeks,0.21,0,0.0,0.0,TB,556500
Seranthony Dominguez,0.167,0,0.0,0.0,PHI,564000
David Hess,0.142,0,0.0,0.0,BAL,563500
Luis Escobar,0.025,0,0.0,0.0,PIT,555000
Ariel Jurado,0.198,0,0.0,0.0,TEX,555000
Brad Wieck,0.272,0,0.0,0.0,CHC,555000
Sam Howard,0.124,0,0.0,0.0,COL,555000
Corey Oswalt,0.012,1,0.0,0.0,NYM,555000
Wander Suero,0.482,0,0.0,0.0,WSH,562500
Jaime Barria,0.117,0,0.0,0.0,LAA,563500
Yonny Chirinos,0.161,0,0.0,0.0,TB,561800
Diego Castillo,0.407,0,0.0,0.0,TB,561500
Tyler Kinley,0.321,0,0.0,0.0,MIA,555000
Enyel De Los Santos,0.031,0,0.0,0.0,PHI,555000
Daniel Poncedeleon,0.08,0,0.0,0.1,STL,555000
Wes Parsons,0.198,0,0.0,0.333,COL,565000
James Norwood,0.056,0,0.0,0.0,CHC,555000
Chad Sobotka,0.198,0,0.0,0.0,ATL,565000
Chris Mazza,0.056,0,0.0,0.0,NYM,555000
Jeff Brigham,0.198,0,0.0,0.0,MIA,555000
Joe Hudson,0.006,0,0.0,0.0,STL,555000
Jacob Webb,0.222,0,0.0,0.0,ATL,555000
Jose Suarez,0.117,0,0.0,0.0,LAA,555000
Pedro Avila,0.006,0,0.0,0.0,SD,555000
Gerardo Reyes,0.167,0,0.0,0.0,SD,555000
Genesis Cabrera,0.08,0,0.0,0.0,STL,555000
Jose Quijada,0.21,0,0.0,0.0,MIA,555000
Jacob Waguespack,0.099,0,0.0,0.333,TOR,555000
Erik Swanson,0.167,0,0.0,0.0,SEA,555000
Elvis Luciano,0.154,0,0.0,0.0,TOR,555000
Nick Ramirez,0.286,0,0.0,0.0,DET,555000
Yusei Kikuchi,0.198,0,0.0,0.0,SEA,9500000
Parker Markel,0.124,0,0.0,0.0,PIT,555000
JD Hammer,0.124,0,0.0,0.0,PHI,555000
Jose Urquidy,0.056,0,0.0,0.0,HOU,555000
Conner Menez,0.056,0,0.0,0.0,SF,555000
Robert Dugger,0.049,0,0.0,0.0,MIA,555000
Patrick Sandoval,0.062,0,0.0,0.0,LAA,555000
Devin Williams,0.08,0,0.0,0.0,MIL,555000
Rico Garcia,0.012,0,0.0,0.0,COL,555000
Sam Haggerty,0.068,0,0.0,0.0,NYM,555000
James Marvel,0.025,0,0.0,0.0,PIT,555000
