Jugador,Porcetnaje_juegos,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo
Ruben Tejada,0.352,10,0.202,0.519,NYM,514701
Erik Kratz,0.42,26,0.213,0.666,PHI,496000
Josh Phegley,0.401,22,0.206,0.522,CHW,490000
Roger Bernadina,0.691,11,0.181,0.545,PHI,490000
Ryan Roberts,0.368,17,0.247,0.671,TB,2950000
Matt Tuiasosopo,0.5,30,0.244,0.765,DET,525000
Eduardo Escobar,0.407,10,0.236,0.628,MIN,495000
Alex Rodriguez,0.272,19,0.244,0.771,NYY,29000000
Donnie Murphy,0.284,23,0.255,0.849,CHC,490000
Anthony Gose,0.321,12,0.259,0.691,TOR,490000
Khris Davis,0.346,27,0.279,0.949,MIL,490000
Cody Asche,0.309,22,0.235,0.691,PHI,490000
Tony Abreu,0.327,14,0.268,0.743,SF,498000
Tyler Moore,0.389,21,0.222,0.607,WSH,493000
Jordan Danks,0.488,12,0.231,0.682,CHW,490000
Mike Zunino,0.321,14,0.214,0.62,SEA,490000
Franklin Gutierrez,0.253,24,0.248,0.777,SEA,7312500
Shane Robinson,0.611,16,0.25,0.664,STL,498000
Tim Federowicz,0.346,16,0.225,0.619,LAD,491000
Sam Fuld,0.73,17,0.199,0.537,TB,725000
Cesar Hernandez,0.21,10,0.289,0.674,PHI,490000
Grant Green,0.278,17,0.25,0.644,LAA,490000
Stephen Vogt,0.29,16,0.252,0.695,OAK,490000
Collin Cowgill,0.451,16,0.211,0.594,LAA,493520
Hector Sanchez,0.389,19,0.248,0.649,SF,502500
Caleb Gindl,0.352,14,0.242,0.779,MIL,490000
Chris Herrmann,0.352,18,0.204,0.611,MIN,490000
Humberto Quintero,0.284,13,0.237,0.642,PHI,900000
Steven Pearce,0.272,13,0.261,0.782,BAL,700000
Martin Maldonado,0.414,22,0.169,0.52,MIL,494000
Scott Van Slyke,0.327,19,0.24,0.807,LAD,490000
Moises Sierra,0.216,13,0.29,0.827,TOR,490000
Chris Colabello,0.34,17,0.194,0.631,MIN,490000
Ryan Goins,0.21,8,0.252,0.609,TOR,490000
Anthony Recker,0.309,19,0.215,0.68,NYM,490840
Jake Elmore,0.321,6,0.242,0.638,HOU,490000
Charlie Culberson,0.29,12,0.293,0.721,COL,490000
Daric Barton,0.228,16,0.269,0.725,OAK,1100000
