Jugador,Y,X,Posicion,Estado,Equipos_estado
Tyler Clippard,-367.3617095597624,0.7598853483087152,RP,Minnesota,1.0
Tyler Clippard,-927.4550906836607,-0.6543231786390844,RP,New York,2.0
Wade Miley,204.3275378823514,0.8114093252900795,SP,Texas,2.0
Welington Castillo,220.93834698788442,0.6014065304058601,C,Maryland,1.0
Wil Nieves,170.10230450552763,0.6599120175960898,C,Arizona,1.0
Wil Nieves,5.467284796616013,0.7698003589195009,C,Wisconsin,1.0
Wil Nieves,-7.02358044871346,0.6599120175960898,C,Arizona,1.0
Willie Bloomquist,292.760018019319,0.6599120175960898,2B,Arizona,1.0
Wilmer Flores,-221.3594986412927,0.6925002653786128,2B,Arizona,1.0
Wilson Ramos,763.1917272718156,-0.6285393610547088,C,Florida,2.0
Yasmani Grandal,253.18344784421788,0.7181018099703265,C,Wisconsin,1.0
Yovani Gallardo,-1612.5831446129037,0.7100332503077386,RP,Maryland,1.0
Yusmeiro Petit,262.93189521161,0.7506654835847382,RP,Washington DC,1.0
Yusmeiro Petit,-202.27213829983316,0.7730028489344021,RP,California,5.0
Zach Duke,231.39975180034753,0.7179581586177382,RP,Ohio,2.0
Zach Duke,1281.8641766859232,-0.6575378065770738,RP,Wisconsin,1.0
Zach Duke,-275.658921203353,0.7777777777777778,RP,Washington DC,1.0
Zack Greinke,1494.4948350370605,-0.6730916042023134,SP,California,5.0
