"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","WAR","TVS","Payroll Salary2022","Cash2022","AAV2022","Earnings2022","Age","Weight","Height",""
"","Tyler Anderson","SP","COL","33","0.203","32","0.196","50","5","0","0","0","1","0.100","0.167","0.100","0.267","3.04","61.36","$8,000,000","$8,000,000","$8,000,000","$17,101,907","28","213","6'2""",""
"","Kevin Kramer","SS","PIT","21","0.130","7","0.044","37","5","0","0","0","4","0.135","0.175","0.135","0.310","-0.47","0.00","$0","$0","$0","$0","24","195","6'0""",""
"","Raimel Tapia","LF","COL","25","0.153","2","0.012","25","5","2","1","1","6","0.200","0.259","0.480","0.739","-0.02","0.00","$3,950,000","$3,950,000","$3,950,000","$7,383,890","24","175","6'3""",""
"","Joe Musgrove","SP","PIT","20","0.124","19","0.118","31","5","1","0","0","0","0.161","0.161","0.194","0.355","1.12","68.96","$8,625,000","$8,625,000","$8,625,000","$16,483,636","25","235","6'5""",""
"","Trevor Williams","SP","PIT","31","0.193","31","0.193","43","5","0","0","0","0","0.116","0.156","0.116","0.272","3.84","90.29","$3,900,000","$3,900,000","$3,900,000","$10,830,067","26","230","6'3""",""
"","Jack Reinheimer","SS","NYM","21","0.130","6","0.037","30","5","0","0","0","0","0.167","0.286","0.167","0.452","-0.30","0.00","$0","$0","$0","$0","25","185","6'1""",""
"","Jonathan Davis","CF","TOR","20","0.124","6","0.037","25","5","1","0","0","0","0.200","0.259","0.240","0.499","-0.29","0.00","$700,000","$415,368","$700,000","$1,213,538","26","190","5'8""",""
"","Rich Hill","SP","LAD","25","0.153","24","0.147","43","4","0","0","0","2","0.093","0.093","0.093","0.186","1.47","43.47","$5,000,000","$5,000,000","$5,000,000","$71,557,809","38","221","6'5""",""
"","Clayton Richard","SP","SD","28","0.173","27","0.167","42","4","1","0","1","3","0.095","0.156","0.190","0.346","-1.22","26.79","$0","$0","$0","$0","34","240","6'5""",""
"","Jason Vargas","SP","NYM","21","0.130","20","0.124","27","4","0","0","0","0","0.148","0.179","0.148","0.327","-0.31","12.44","$0","$0","$0","$0","35","215","6'0""",""
"","Gio Gonzalez","SP","WSH","32","0.196","32","0.196","51","4","1","0","0","1","0.078","0.096","0.098","0.194","1.50","42.62","$0","$0","$0","$0","32","205","6'0""",""
"","Adam Moore","C","TB","8","0.049","5","0.031","18","4","1","0","1","2","0.222","0.263","0.444","0.708","0.02","0.00","$0","$0","$0","$0","34","220","6'3""",""
"","Ryan Lavarnway","C","PIT","6","0.037","0","0.000","6","4","1","0","0","1","0.667","0.667","0.833","1.500","0.19","0.00","$0","$0","$0","$0","30","240","6'4""",""
"","Jose Quintana","SP","CHC","32","0.196","32","0.196","52","4","0","0","0","0","0.077","0.077","0.077","0.154","2.15","57.02","$2,000,000","$714,285","$2,000,000","$51,289,259","29","220","6'1""",""
"","Matt Harvey","SP","CIN","32","0.198","28","0.173","53","4","0","0","0","1","0.076","0.109","0.075","0.185","-0.40","21.68","$0","$0","$0","$0","29","220","6'4""",""
"","Chase Anderson","SP","MIL","31","0.190","30","0.184","45","4","0","0","0","2","0.089","0.089","0.089","0.178","1.23","47.62","$700,000","$142,302","$700,000","$23,108,150","30","200","6'1""",""
"","Kyle Hendricks","SP","CHC","33","0.203","33","0.203","60","4","1","0","0","1","0.067","0.097","0.083","0.180","3.45","84.31","$14,000,000","$14,000,000","$13,875,000","$46,149,468","28","190","6'3""",""
"","Jon Gray","SP","COL","31","0.190","31","0.190","52","4","2","0","0","2","0.077","0.127","0.115","0.243","1.74","53.19","$15,000,000","$15,000,000","$14,000,000","$32,530,988","26","225","6'4""",""
"","Jameson Taillon","SP","PIT","32","0.199","32","0.199","57","4","1","0","0","3","0.070","0.086","0.088","0.174","4.70","92.23","$5,800,000","$5,800,000","$5,800,000","$17,399,590","26","230","6'5""",""
"","Jabari Blash","LF","LAA","24","0.148","11","0.068","39","4","1","0","0","1","0.103","0.200","0.128","0.328","-0.82","0.00","$0","$0","$0","$0","28","195","6'4""",""
"","Junior Guerra","SP","MIL","31","0.190","26","0.160","35","4","3","0","0","0","0.114","0.114","0.200","0.314","0.02","35.13","$0","$0","$0","$0","33","235","6'0""",""
"","Zach Eflin","SP","PHI","25","0.154","24","0.148","44","4","0","0","1","1","0.091","0.091","0.159","0.250","2.24","66.18","$5,550,000","$5,550,000","$5,700,000","$13,993,844","24","215","6'6""",""
"","Carson Kelly","C","STL","19","0.117","11","0.068","35","4","0","0","0","3","0.114","0.205","0.114","0.319","-0.53","0.00","$3,325,000","$3,325,000","$3,325,000","$8,191,661","23","220","6'2""",""
"","Ildemaro Vargas","SS","ARI","14","0.086","2","0.012","19","4","0","0","1","4","0.211","0.250","0.368","0.618","0.05","0.00","$700,000","$246,144","$700,000","$1,229,127","26","180","6'0""",""
"","Nick Pivetta","SP","PHI","34","0.210","32","0.198","40","4","1","0","0","1","0.100","0.143","0.125","0.268","2.31","55.69","$2,650,000","$2,650,000","$2,650,000","$5,071,399","25","214","6'5""",""
"","Ryan Cordell","OF","CHW","19","0.117","10","0.062","37","4","1","0","1","4","0.108","0.125","0.216","0.341","-0.72","0.00","$0","$0","$0","$0","26","195","6'4""",""
"","Corban Joseph","1B","BAL","14","0.086","3","0.019","18","4","1","0","0","3","0.222","0.263","0.278","0.541","-0.07","0.00","$0","$0","$0","$0","29","185","6'0""",""
"","Austin Gomber","SP","STL","29","0.179","11","0.068","19","4","1","0","0","4","0.211","0.211","0.263","0.474","-0.04","22.72","$710,000","$710,000","$710,000","$2,748,011","24","220","6'5""",""
"","Jacob Nottingham","C","MIL","9","0.055","6","0.037","20","4","1","0","0","0","0.200","0.333","0.250","0.583","0.14","0.00","$0","$0","$0","$0","23","220","6'2""",""
"","Homer Bailey","SP","CIN","20","0.124","20","0.124","26","3","0","0","0","0","0.115","0.148","0.115","0.264","-1.45","0.65","$0","$0","$0","$0","32","223","6'4""",""
"","Brandon Phillips","2B","BOS","9","0.056","5","0.031","23","3","0","0","1","2","0.130","0.259","0.261","0.520","-0.07","0.00","$0","$0","$0","$0","37","200","6'0""",""
"","Cole Hamels","SP","CHC","33","0.203","32","0.196","25","3","0","0","1","1","0.120","0.154","0.240","0.394","1.23","17.69","$0","$0","$0","$0","34","205","6'4""",""
"","Brandon McCarthy","SP","ATL","15","0.093","15","0.093","29","3","2","0","0","2","0.103","0.103","0.172","0.276","-0.28","0.00","$0","$0","$0","$0","34","225","6'7""",""
"","Rick Porcello","SP","BOS","33","0.204","33","0.204","7","3","2","0","0","3","0.429","0.429","0.714","1.143","3.12","46.65","$0","$0","$0","$0","29","205","0'0""",""
"","Derek Holland","RP","SF","37","0.228","30","0.185","53","3","1","0","0","0","0.057","0.074","0.075","0.150","2.12","0.00","$0","$0","$0","$0","31","213","6'2""",""
"","Chris Stewart","C","ARI","8","0.049","3","0.019","15","3","0","0","0","3","0.200","0.235","0.200","0.435","-0.03","0.00","$0","$0","$0","$0","36","215","6'4""",""
"","Travis d'Arnaud","C","NYM","4","0.025","4","0.025","15","3","0","0","1","3","0.200","0.250","0.400","0.650","-0.07","0.00","$8,000,000","$8,000,000","$8,000,000","$28,558,070","29","210","6'2""",""
"","Mike Montgomery","SP","CHC","39","0.239","19","0.117","33","3","0","0","0","1","0.091","0.118","0.091","0.209","1.31","42.69","$0","$0","$0","$0","28","215","6'5""",""
"","Chad Bettis","SP","COL","27","0.166","20","0.123","34","3","0","0","0","2","0.088","0.139","0.088","0.227","1.08","31.56","$0","$0","$0","$0","29","201","0'0""",""
"","Robbie Ray","SP","ARI","25","0.154","24","0.148","39","3","1","0","0","2","0.077","0.075","0.103","0.178","1.40","47.99","$21,000,000","$21,000,000","$23,000,000","$44,458,723","26","215","6'2""",""
"","Mike Foltynewicz","SP","ATL","31","0.191","31","0.191","58","3","1","0","0","4","0.052","0.052","0.069","0.121","3.86","92.58","$0","$0","$0","$0","26","200","6'4""",""
"","Ross Stripling","SP","LAD","36","0.221","21","0.129","33","3","0","0","0","2","0.091","0.091","0.091","0.182","2.39","59.60","$3,790,000","$3,790,000","$3,790,000","$10,648,361","28","220","6'3""",""
"","Andrew Susac","C","BAL","9","0.056","7","0.043","26","3","1","0","0","0","0.115","0.115","0.154","0.269","-0.33","0.00","$0","$0","$0","$0","28","220","6'1""",""
"","Andrew Suarez","SP","SF","29","0.179","29","0.179","47","3","0","0","0","0","0.064","0.102","0.064","0.166","0.50","46.73","$0","$0","$0","$0","25","187","6'0""",""
"","Aaron Nola","SP","PHI","33","0.204","33","0.204","62","3","1","0","0","4","0.048","0.064","0.065","0.128","10.49","99.91","$15,500,000","$15,000,000","$11,250,000","$40,856,353","25","195","6'2""",""
"","Blake Trahan","SS","CIN","11","0.068","2","0.012","14","3","0","0","0","0","0.214","0.214","0.214","0.429","-0.14","0.00","$0","$0","$0","$0","24","180","5'9""",""
"","Zack Godley","SP","ARI","33","0.204","32","0.198","53","3","0","0","0","1","0.057","0.123","0.057","0.179","-0.80","43.86","$0","$0","$0","$0","28","240","6'3""",""
"","Kenta Maeda","SP","LAD","41","0.252","20","0.123","32","3","0","0","0","0","0.094","0.094","0.094","0.188","0.61","35.23","$3,125,000","$3,000,000","$3,125,000","$49,414,704","30","184","6'1""",""
"","Chad Kuhl","SP","PIT","18","0.112","16","0.099","21","3","0","0","0","1","0.143","0.143","0.143","0.286","0.01","31.69","$3,000,000","$3,000,000","$3,000,000","$7,355,905","25","210","6'3""",""
"","Steven Brault","RP","PIT","46","0.286","5","0.031","20","3","1","0","0","0","0.150","0.191","0.200","0.390","-0.25","0.00","$1,500,000","$667,602","$1,500,000","$4,248,362","26","195","6'0""",""
"","Caleb Smith","SP","MIA","16","0.099","16","0.099","22","3","0","0","0","1","0.136","0.136","0.136","0.273","0.41","0.00","$2,000,000","$2,000,000","$2,000,000","$5,525,334","26","205","6'2""",""
"","Ryder Jones","3B","SF","5","0.031","2","0.012","8","3","0","0","2","3","0.375","0.375","1.125","1.500","0.22","0.00","$0","$0","$0","$0","24","221","6'2""",""
"","Tyler Mahle","SP","CIN","24","0.148","23","0.142","29","3","1","0","0","0","0.103","0.161","0.138","0.299","0.04","20.62","$5,200,000","$1,828,544","$5,200,000","$8,885,917","23","210","6'3""",""
"","Jefry Rodriguez","SP","WSH","14","0.086","8","0.049","16","3","1","0","0","1","0.188","0.188","0.250","0.438","-0.18","0.00","$0","$0","$0","$0","24","232","6'6""",""
"","Pablo Lopez","SP","MIA","12","0.075","10","0.062","16","3","0","0","0","0","0.188","0.235","0.188","0.423","0.36","0.00","$2,450,000","$2,450,000","$2,450,000","$4,085,453","22","225","6'4""",""
"","Dereck Rodriguez","SP","SF","21","0.130","19","0.117","32","3","1","0","0","1","0.094","0.094","0.125","0.219","2.44","80.60","$0","$0","$0","$0","26","215","6'1""",""
"","Andrew Velazquez","SS","TB","13","0.080","2","0.012","10","3","1","0","0","0","0.300","0.417","0.400","0.817","0.26","0.00","$700,000","$680,742","$700,000","$1,379,685","23","170","5'9""",""
"","Clay Buchholz","SP","ARI","17","0.105","17","0.105","31","2","1","0","0","1","0.065","0.094","0.097","0.191","3.15","93.12","$0","$0","$0","$0","33","190","6'3""",""
"","J.A. Happ","SP","NYY","31","0.191","31","0.191","6","2","0","0","0","0","0.333","0.429","0.333","0.762","1.18","56.97","$0","$0","$0","$0","35","205","6'5""",""
"","Luis Perdomo","SP","SD","12","0.074","10","0.062","8","2","0","0","0","1","0.250","0.222","0.250","0.472","-1.11","0.00","$700,000","$473,058","$700,000","$2,535,079","25","185","6'2""",""
"","Jeremy Hellickson","SP","WSH","19","0.117","19","0.117","32","2","1","0","0","1","0.063","0.063","0.094","0.156","1.68","66.39","$0","$0","$0","$0","31","190","6'1""",""
"","Chris Archer","SP","PIT","27","0.168","27","0.168","17","2","1","0","0","0","0.118","0.118","0.176","0.294","0.51","34.95","$2,750,000","$2,750,000","$3,500,000","$37,550,999","29","195","6'2""",""
"","Dan Jennings","RP","MIL","73","0.448","1","0.006","3","2","1","0","0","0","0.667","0.667","1.000","1.667","0.34","40.02","$0","$0","$0","$0","31","210","6'3""",""
"","Chris Rusin","RP","COL","49","0.301","0","0.000","4","2","0","0","0","0","0.500","0.500","0.500","1.000","-0.80","9.70","$0","$0","$0","$0","31","198","6'2""",""
"","Kyle Gibson","SP","MIN","32","0.198","32","0.198","2","2","0","0","0","0","1.000","1.000","1.000","2.000","3.82","77.26","$7,000,000","$7,000,000","$9,333,333","$42,272,129","30","215","6'6""",""
"","Michael Wacha","SP","STL","15","0.093","15","0.093","25","2","0","0","0","1","0.080","0.115","0.080","0.195","0.81","0.00","$7,000,000","$7,000,000","$7,000,000","$29,716,239","27","215","6'6""",""
"","Alex Wood","SP","LAD","33","0.203","27","0.166","44","2","0","0","0","0","0.046","0.046","0.045","0.091","1.28","56.57","$12,500,000","$12,500,000","$12,500,000","$40,014,397","27","215","6'4""",""
"","Juan Graterol","C","MIN","4","0.025","2","0.012","8","2","0","0","0","0","0.250","0.333","0.250","0.583","0.16","0.00","$0","$0","$0","$0","29","205","6'1""",""
"","Bryan Mitchell","SP","SD","16","0.099","11","0.068","18","2","0","0","0","0","0.111","0.111","0.111","0.222","-0.57","0.00","$0","$0","$0","$0","27","210","6'3""",""
"","Jose Urena","SP","MIA","32","0.199","31","0.193","48","2","1","0","0","1","0.042","0.061","0.063","0.124","1.19","66.28","$700,000","$349,986","$700,000","$10,313,510","26","208","6'2""",""
"","Jung Ho Kang","3B","PIT","3","0.019","1","0.006","6","2","0","0","0","0","0.333","0.333","0.333","0.667","-0.01","0.00","$0","$0","$0","$0","31","205","6'0""",""
"","Nick Kingham","SP","PIT","18","0.112","15","0.093","23","2","1","0","0","4","0.087","0.160","0.130","0.290","-0.47","16.55","$0","$0","$0","$0","25","225","6'6""",""
"","Sean Newcomb","SP","ATL","31","0.191","30","0.185","45","2","1","0","0","1","0.044","0.065","0.067","0.132","1.66","69.65","$900,000","$568,675","$900,000","$5,252,859","25","255","6'5""",""
"","Michael Reed","LF","ATL","7","0.043","0","0.000","7","2","0","0","0","0","0.286","0.286","0.286","0.571","-0.01","0.00","$0","$0","$0","$0","25","215","6'0""",""
"","John Gant","RP","STL","28","0.173","19","0.117","31","2","0","0","2","3","0.065","0.065","0.258","0.323","0.65","0.00","$0","$0","$0","$0","25","200","6'4""",""
"","Sal Romano","SP","CIN","39","0.241","25","0.154","36","2","1","0","0","2","0.056","0.056","0.083","0.139","-0.37","19.88","$0","$0","$0","$0","24","255","6'5""",""
"","Antonio Senzatela","SP","COL","23","0.141","13","0.080","24","2","1","0","0","3","0.083","0.083","0.125","0.208","1.40","43.05","$7,250,000","$7,250,000","$10,100,000","$12,068,318","23","236","6'1""",""
"","Eric Lauer","SP","SD","23","0.142","23","0.142","30","2","1","0","0","1","0.067","0.094","0.100","0.194","-0.21","29.80","$2,425,000","$2,425,000","$2,425,000","$5,990,843","23","205","6'3""",""
"","Joey Lucchesi","SP","SD","26","0.161","26","0.161","34","2","0","0","0","1","0.059","0.154","0.059","0.213","0.54","46.48","$1,150,000","$1,150,000","$1,150,000","$2,978,513","25","204","6'5""",""
"","Trevor Richards","SP","MIA","26","0.162","25","0.155","31","2","0","0","0","2","0.065","0.094","0.065","0.158","0.23","35.29","$1,000,000","$1,000,000","$1,000,000","$2,567,491","25","195","6'2""",""
"","Anthony Alford","OF","TOR","13","0.080","6","0.037","19","2","0","0","0","1","0.105","0.191","0.105","0.296","-0.22","0.00","$0","$0","$0","$0","23","210","6'1""",""
"","Javier Guerra","SS","SD","13","0.080","5","0.031","16","2","0","0","0","1","0.125","0.263","0.125","0.388","0.02","0.00","$0","$0","$0","$0","22","185","6'0""",""
"","Brandon Woodruff","RP","MIL","19","0.117","4","0.025","8","2","0","0","1","1","0.250","0.333","0.625","0.958","0.26","0.00","$6,800,000","$6,800,000","$6,800,000","$14,038,123","25","243","6'4""",""
"","Mark Zagunis","OF","CHC","5","0.031","0","0.000","5","2","1","0","0","1","0.400","0.500","0.600","1.100","0.09","0.00","$0","$0","$0","$0","25","215","6'0""",""
"","Tim Locastro","2B","LAD","18","0.110","3","0.018","11","2","1","0","0","0","0.182","0.357","0.273","0.630","0.21","0.00","$900,000","$539,005","$900,000","$1,845,729","25","190","6'1""",""
"","Adolis Garcia","OF","STL","21","0.130","2","0.012","17","2","1","0","0","1","0.118","0.118","0.176","0.294","-0.29","0.00","$714,000","$714,000","$714,000","$1,967,567","25","205","6'1""",""
"","Joe Hudson","C","LAA","8","0.049","4","0.025","12","2","1","0","0","1","0.167","0.167","0.250","0.417","-0.08","0.00","$0","$0","$0","$0","27","210","6'0""",""
"","Dustin Pedroia","2B","BOS","4","0.025","3","0.019","11","1","0","0","0","0","0.091","0.231","0.091","0.322","-0.12","0.00","$0","$0","$0","$0","34","175","5'9""",""
"","Justin Verlander","SP","HOU","34","0.210","34","0.210","5","1","0","0","0","0","0.200","0.200","0.200","0.400","6.24","79.98","$25,000,000","$25,000,000","$25,000,000","$299,588,222","35","225","6'5""",""
"","Anibal Sanchez","SP","ATL","25","0.154","24","0.148","41","1","0","0","0","0","0.024","0.048","0.024","0.072","3.01","84.95","$2,000,000","$2,000,000","$2,000,000","$117,315,374","34","205","6'0""",""
"","Ian Kennedy","SP","KC","22","0.136","22","0.136","2","1","0","0","0","0","0.500","0.500","0.500","1.000","0.49","13.73","$4,500,000","$4,500,000","$4,750,000","$74,374,811","33","205","6'0""",""
"","Adam Wainwright","SP","STL","8","0.049","8","0.049","11","1","0","0","0","1","0.091","0.091","0.091","0.182","0.10","0.00","$17,500,000","$17,500,000","$17,500,000","$175,065,963","36","230","6'7""",""
"","James Shields","SP","CHW","34","0.210","33","0.204","6","1","0","0","0","0","0.167","0.167","0.167","0.333","1.35","17.57","$0","$0","$0","$0","36","215","6'3""",""
"","Brett Anderson","SP","OAK","17","0.105","17","0.105","4","1","0","0","0","0","0.250","0.250","0.250","0.500","0.47","35.91","$0","$0","$0","$0","30","230","6'4""",""
"","Mike Minor","SP","TEX","28","0.173","28","0.173","3","1","1","0","0","0","0.333","0.333","0.667","1.000","3.72","61.58","$10,000,000","$10,000,000","$9,000,000","$61,414,609","30","210","6'4""",""
"","Jeff Samardzija","SP","SF","10","0.062","10","0.062","10","1","0","0","0","0","0.100","0.100","0.100","0.200","-0.66","0.00","$0","$0","$0","$0","33","240","0'0""",""
"","Jerry Blevins","RP","NYM","65","0.401","1","0.006","2","1","0","0","0","1","0.500","0.500","0.500","1.000","0.01","6.89","$0","$0","$0","$0","34","190","6'6""",""
"","Steve Cishek","RP","CHC","81","0.497","0","0.000","6","1","0","0","0","0","0.167","0.167","0.167","0.333","2.28","62.36","$1,750,000","$1,750,000","$1,750,000","$42,432,944","32","215","6'6""",""
"","Ivan Nova","SP","PIT","29","0.180","29","0.180","53","1","0","0","0","0","0.019","0.019","0.019","0.038","1.08","35.16","$0","$0","$0","$0","31","250","6'5""",""
"","Charlie Morton","SP","HOU","30","0.185","30","0.185","6","1","0","0","0","0","0.167","0.167","0.167","0.333","3.47","78.96","$20,000,000","$20,000,000","$20,000,000","$100,434,056","34","215","6'5""",""
"","Wade LeBlanc","SP","SEA","32","0.198","27","0.167","3","1","0","0","0","0","0.333","0.333","0.333","0.667","2.27","66.76","$0","$0","$0","$0","33","195","6'2""",""
"","Alex Cobb","SP","BAL","28","0.173","28","0.173","6","1","0","0","0","0","0.167","0.167","0.167","0.333","1.12","13.46","$9,000,000","$9,000,000","$10,000,000","$66,595,287","30","205","6'3""",""
"","Yu Darvish","SP","CHC","8","0.049","8","0.049","12","1","1","0","0","0","0.083","0.083","0.167","0.250","-0.07","0.00","$19,000,000","$19,000,000","$21,000,000","$153,305,991","31","220","6'5""",""
"","Nathan Eovaldi","SP","BOS","24","0.148","21","0.130","9","1","0","0","0","1","0.111","0.200","0.111","0.311","0.74","58.42","$17,000,000","$17,000,000","$17,000,000","$72,359,296","28","217","6'2""",""
"","Dylan Bundy","SP","BAL","31","0.191","31","0.191","5","1","0","0","0","0","0.200","0.200","0.200","0.400","0.11","17.53","$4,000,000","$4,000,000","$5,000,000","$28,281,852","25","200","6'1""",""
"","Kevin Gausman","SP","ATL","32","0.198","31","0.191","21","1","0","0","0","0","0.048","0.231","0.048","0.278","2.21","54.82","$21,000,000","$21,000,000","$22,000,000","$63,094,346","27","190","6'3""",""
"","Roenis Elias","RP","SEA","23","0.142","4","0.025","2","1","0","0","0","0","0.500","0.500","0.500","1.000","0.96","0.00","$0","$0","$0","$0","29","205","6'1""",""
"","Odrisamer Despaigne","SP","LAA","19","0.117","5","0.031","5","1","0","0","0","0","0.200","0.200","0.200","0.400","-0.71","4.74","$0","$0","$0","$0","31","200","6'0""",""
"","Marcus Stroman","SP","TOR","19","0.117","19","0.117","3","1","0","0","0","0","0.333","0.333","0.333","0.667","0.19","22.68","$25,000,000","$25,000,000","$23,666,667","$65,463,544","27","180","5'7""",""
"","Terrance Gore","LF","CHC","14","0.086","0","0.000","5","1","0","0","0","0","0.200","0.200","0.200","0.400","0.14","0.00","$700,000","$134,610","$700,000","$998,856","27","160","5'7""",""
"","Andrew Heaney","SP","LAA","30","0.185","30","0.185","8","1","0","0","0","0","0.125","0.125","0.125","0.250","1.45","62.45","$8,500,000","$8,500,000","$8,500,000","$24,987,220","27","200","6'2""",""
"","A.J. Cole","RP","NYY","32","0.198","2","0.012","3","1","0","0","1","1","0.333","0.333","1.333","1.667","-0.66","0.00","$0","$0","$0","$0","26","238","6'5""",""
"","Matt Grace","RP","WSH","56","0.346","0","0.000","3","1","0","0","0","0","0.333","0.333","0.333","0.667","1.28","68.71","$0","$0","$0","$0","29","215","6'4""",""
"","Jesse Biddle","RP","ATL","60","0.370","0","0.000","2","1","1","0","0","1","0.500","0.500","1.000","1.500","0.54","63.77","$0","$0","$0","$0","26","220","6'5""",""
"","Kolby Allard","SP","ATL","3","0.019","1","0.006","1","1","0","0","0","0","1.000","1.000","1.000","2.000","-0.58","0.00","$0","$0","$0","$0","20","190","6'1""",""
"","Michael Soroka","SP","ATL","5","0.031","5","0.031","8","1","0","0","0","0","0.125","0.125","0.125","0.250","-0.03","0.00","$0","$0","$0","$0","20","225","6'5""",""
"","Touki Toussaint","SP","ATL","8","0.049","5","0.031","10","1","0","0","0","0","0.100","0.100","0.100","0.200","0.37","0.00","$700,000","$257,682","$700,000","$4,001,983","22","215","6'3""",""
"","Erick Fedde","SP","WSH","11","0.068","11","0.068","16","1","0","0","0","0","0.063","0.118","0.063","0.180","0.26","0.00","$2,150,000","$2,150,000","$2,150,000","$6,230,357","25","200","6'4""",""
"","Brian Johnson","SP","BOS","38","0.235","13","0.080","4","1","0","0","0","0","0.250","0.250","0.250","0.500","1.49","26.42","$0","$0","$0","$0","27","235","0'0""",""
"","Zach Davies","SP","MIL","13","0.080","13","0.080","15","1","0","0","0","0","0.067","0.067","0.067","0.133","-0.16","0.00","$1,500,000","$1,500,000","$1,750,000","$16,967,264","25","180","6'0""",""
"","Jorge Lopez","SP","KC","17","0.105","7","0.043","2","1","1","0","0","2","0.500","0.500","1.000","1.500","0.26","25.48","$1,500,000","$527,488","$1,500,000","$4,367,188","25","200","6'3""",""
"","Ty Blach","RP","SF","50","0.309","13","0.080","29","1","0","0","0","0","0.035","0.097","0.034","0.131","0.09","69.57","$0","$0","$0","$0","27","215","6'1""",""
"","Matt Koch","RP","ARI","19","0.117","13","0.080","17","1","0","0","0","0","0.059","0.200","0.059","0.259","0.60","0.00","$0","$0","$0","$0","27","215","6'3""",""
"","Alec Mills","RP","CHC","7","0.043","2","0.012","5","1","0","0","0","0","0.200","0.200","0.200","0.400","0.26","0.00","$741,250","$741,250","$741,250","$2,275,996","26","205","6'4""",""
"","Seth Lugo","RP","NYM","55","0.340","5","0.031","11","1","0","0","0","0","0.091","0.167","0.091","0.258","2.15","95.64","$3,925,000","$3,925,000","$3,925,000","$9,537,502","28","225","6'4""",""
"","Randy Rosario","RP","CHC","44","0.270","0","0.000","1","1","0","0","0","1","1.000","1.000","1.000","2.000","0.18","0.00","$0","$0","$0","$0","24","200","6'1""",""
"","Deck McGuire","SP","LAA","21","0.130","4","0.025","3","1","0","0","0","0","0.333","0.333","0.333","0.667","-0.03","2.59","$0","$0","$0","$0","29","220","0'0""",""
"","Sean Manaea","SP","OAK","27","0.167","27","0.167","5","1","0","0","0","0","0.200","0.200","0.200","0.400","2.78","84.66","$9,750,000","$9,750,000","$9,750,000","$25,383,889","26","245","6'5""",""
"","Daniel Mengden","SP","OAK","22","0.136","17","0.105","3","1","0","0","0","1","0.333","0.333","0.333","0.667","0.84","59.57","$0","$0","$0","$0","25","225","6'1""",""
"","Rio Ruiz","3B","ATL","14","0.086","1","0.006","12","1","0","0","0","0","0.083","0.267","0.083","0.350","-0.02","0.00","$0","$0","$0","$0","24","220","6'2""",""
"","Max Fried","RP","ATL","14","0.086","5","0.031","8","1","0","0","0","0","0.125","0.125","0.125","0.250","0.71","0.00","$6,850,000","$6,850,000","$6,850,000","$14,567,338","24","190","6'4""",""
"","Josh Hader","RP/CL","MIL","55","0.337","0","0.000","2","1","0","0","0","0","0.500","0.500","0.500","1.000","2.12","98.72","$11,000,000","$3,989,011","$11,000,000","$21,012,619","24","180","6'3""",""
"","Sam Gaviglio","SP","TOR","26","0.161","24","0.148","3","1","1","0","0","0","0.333","0.333","0.667","1.000","0.54","22.92","$0","$0","$0","$0","28","205","6'2""",""
"","Ranger Suarez","RP","PHI","4","0.025","3","0.019","6","1","0","1","0","0","0.167","0.167","0.500","0.667","-0.26","0.00","$730,000","$730,000","$730,000","$1,771,476","22","217","6'1""",""
"","Dennis Santana","P","LAD","3","0.018","0","0.000","2","1","1","0","0","2","0.500","0.500","1.000","1.500","-0.20","0.00","$720,000","$720,000","$720,000","$2,020,714","22","190","6'2""",""
"","Heath Fillmyer","RP","KC","17","0.105","13","0.080","4","1","1","0","0","1","0.250","0.250","0.500","0.750","0.70","0.00","$0","$0","$0","$0","24","195","6'1""",""
"","Brad Keller","SP","KC","41","0.253","20","0.124","3","1","0","0","0","0","0.333","0.333","0.333","0.667","3.54","75.94","$4,825,000","$4,825,000","$4,825,000","$9,650,212","22","255","6'5""",""
"","Mitchell Walding","3B","PHI","13","0.080","2","0.012","17","1","0","0","1","2","0.059","0.158","0.235","0.393","-0.22","0.00","$0","$0","$0","$0","25","190","6'3""",""
"","Caleb Ferguson","RP","LAD","30","0.184","3","0.018","5","1","0","0","0","0","0.200","0.200","0.200","0.400","0.26","0.00","$726,500","$678,640","$726,500","$2,306,490","21","226","6'3""",""
"","Daniel Poncedeleon","RP","STL","12","0.074","4","0.025","9","1","0","1","0","1","0.111","0.111","0.333","0.444","0.67","0.00","$0","$0","$0","$0","26","200","6'3""",""
"","Chad Sobotka","RP","ATL","14","0.086","0","0.000","1","1","0","0","0","0","1.000","1.000","1.000","2.000","0.36","0.00","$0","$0","$0","$0","24","225","6'7""",""
"","Jeff Brigham","SP","MIA","4","0.025","4","0.025","3","1","0","0","0","0","0.333","0.333","0.333","0.667","-0.25","0.00","$700,000","$207,684","$700,000","$1,763,520","26","200","6'0""",""
"","Jorge De La Rosa","RP","CHC","61","0.374","0","0.000","1","0","0","0","0","0","0.000","0.500","0.000","0.500","-0.26","26.06","$0","$0","$0","$0","37","215","6'1""",""
"","Yovani Gallardo","SP","TEX","21","0.130","18","0.111","1","0","0","0","0","0","0.000","0.000","0.000","0.000","-0.39","11.95","$0","$0","$0","$0","32","205","6'2""",""
"","David Wright","3B","NYM","2","0.012","1","0.006","2","0","0","0","0","0","0.000","0.333","0.000","0.333","-0.01","0.00","$0","$0","$0","$0","35","205","6'0""",""
