Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo
Kyle Freeland,SP,22,22,104.3,126,85,78,39,79,3,11,0,1.58,6.73,COL,565000
Jalen Beeks,RP,34,3,104.3,115,56,50,40,89,6,3,1,1.49,4.31,TB,556500
Jhoulys Chacin,SP,25,24,103.3,115,73,69,46,101,3,12,0,1.56,6.01,BOS,555000
Cal Quantrill,SP,23,18,103.0,106,61,59,28,89,6,8,0,1.3,5.16,SD,555000
Kevin Gausman,RP,31,17,102.3,113,71,65,32,114,3,9,0,1.42,5.72,CIN,9350000
Dereck Rodriguez,SP,29,16,99.0,108,74,62,36,71,6,11,0,1.46,5.64,SF,561250
Felix Pena,SP,23,8,96.3,80,56,49,34,101,8,3,0,1.18,4.58,LAA,569000
Frankie Montas,SP,16,16,96.0,84,35,28,23,103,9,2,0,1.12,2.63,OAK,560000
Shaun Anderson,RP,28,16,96.0,111,61,58,38,70,3,5,2,1.55,5.44,SF,555000
Sam Gaviglio,RP,52,0,95.7,85,51,49,22,88,4,2,0,1.12,4.61,TOR,579500
Andrew Heaney,SP,18,18,95.3,93,53,52,30,118,4,6,0,1.29,4.91,LAA,3400000
Nick Pivetta,RP,30,13,93.7,103,64,56,39,89,4,6,1,1.52,5.38,PHI,598000
Brad Peacock,SP,23,15,91.7,78,43,42,31,96,7,6,0,1.19,4.12,HOU,3110000
Mike Montgomery,SP,34,13,91.0,113,55,50,34,69,3,9,0,1.62,4.95,KC,2440000
Ross Stripling,SP,32,15,90.7,84,40,35,20,93,4,4,0,1.15,3.47,LAD,595000
Griffin Canning,SP,19,17,90.3,80,46,46,30,96,5,6,0,1.22,4.58,LAA,555000
Peter Lambert,SP,22,19,89.3,119,74,72,36,57,3,7,0,1.74,7.25,COL,555000
Freddy Peralta,RP,40,8,85.0,87,58,50,37,115,7,3,1,1.46,5.29,MIL,564600
Jose Urena,RP,25,13,84.7,99,53,49,26,62,4,10,3,1.48,5.21,MIA,3200000
Taylor Clarke,RP,23,15,84.7,86,55,50,30,68,5,5,1,1.37,5.32,ARI,555000
Wilmer Font,RP,48,17,84.3,78,42,42,29,95,4,5,0,1.27,4.48,TOR,560400
Liam Hendriks,RP/CL,75,1,84.0,61,18,17,21,122,4,4,25,0.98,1.82,OAK,2150000
Junior Guerra,RP,72,0,83.7,58,35,33,36,77,9,5,3,1.12,3.55,MIL,2225000
Michael Lorenzen,RP,106,6,83.3,68,29,27,28,85,1,4,7,1.15,2.92,CIN,1950000
Alex Young,SP,17,15,83.3,72,40,33,27,71,7,5,0,1.19,3.56,ARI,555000
Yusmeiro Petit,RP,80,0,83.0,57,25,25,10,71,5,3,0,0.81,2.71,OAK,5500000
Jaime Barria,SP,19,13,82.7,92,61,59,27,75,4,10,0,1.44,6.42,LAA,563500
Asher Wojciechowski,SP,17,16,82.3,80,46,45,28,80,4,8,0,1.31,4.92,BAL,555000
Elieser Hernandez,SP,21,15,82.3,76,49,46,26,85,3,5,0,1.24,5.03,MIA,555000
Craig Stammen,RP,76,0,82.0,80,36,30,15,73,8,7,4,1.16,3.29,SD,2250000
Luis Cessa,RP,43,0,81.0,75,42,37,31,75,2,1,1,1.31,4.11,NYY,578975
Jose Suarez,SP,19,15,81.0,100,67,64,33,72,2,6,0,1.64,7.11,LAA,555000
Seth Lugo,RP,61,0,80.0,56,28,24,16,104,7,4,6,0.9,2.7,NYM,591875
