Acronimo,Altura,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Victorias,WAR,WAR_2,WS ganadas
MIN,6.0,113,12769,25,625,1,7,27,Minnesota Twins,Minnesota,4,16,42,60,1764,Jake Cave,0.674,0.45427600000000007,6,200,17,0.221,0.048841,0.7,0.48999999999999994,RF,0.6,15,225,587500,587500,217593,28.62,819.1044,134000000,36,0.25,0.0625,3
MIN,6.1,89,7921,17,289,1,7,30,Minnesota Twins,Minnesota,0,0,44,60,1936,Ehire Adrianza,0.557,0.31024900000000005,6,195,17,0.191,0.036481,0.733,0.537289,SS,0.6,3,9,1600000,1600000,592593,8.77,76.9129,134000000,36,0.14,0.019600000000000003,3
MIN,6.4,55,3025,15,225,1,7,23,Minnesota Twins,Minnesota,3,9,26,60,676,Ryan Jeffers,0.791,0.625681,6,230,17,0.273,0.07452900000000001,0.433,0.187489,C,0.6,7,49,563500,563500,121485,0.0,0.0,134000000,36,0.32,0.1024,3
MIN,6.1,72,5184,12,144,1,7,29,Minnesota Twins,Minnesota,2,4,23,60,529,Mitch Garver,0.511,0.261121,6,220,17,0.167,0.027889000000000004,0.383,0.146689,C,0.6,5,25,620000,620000,229630,0.0,0.0,134000000,36,-0.07,0.004900000000000001,3
MIN,6.3,19,361,6,36,1,7,25,Minnesota Twins,Minnesota,1,1,7,60,49,Brent Rooker,0.96,0.9216,6,215,17,0.316,0.099856,0.117,0.013689000000000002,OF,0.6,5,25,563500,563500,74760,0.0,0.0,134000000,36,-0.02,0.0004,3
TOR,6.4,208,43264,64,4096,1,3,26,Toronto Blue Jays,Toronto,11,121,57,61,3249,Lourdes Gurriel Jr.,0.882,0.7779240000000001,2,215,8,0.308,0.094864,0.95,0.9025,LF,0.5245901639344263,33,1089,2928571,2500000,1354497,79.49,6318.660099999999,108000000,32,0.97,0.9409,2
TOR,6.2,216,46656,59,3481,1,3,28,Toronto Blue Jays,Toronto,12,144,55,61,3025,Randal Grichuk,0.793,0.6288490000000001,2,216,8,0.273,0.07452900000000001,0.917,0.8408890000000001,CF,0.5245901639344263,35,1225,13000000,12000000,5444444,45.09,2033.1081000000004,108000000,32,0.13,0.016900000000000002,2
TOR,6.2,221,48841,58,3364,1,3,21,Toronto Blue Jays,Toronto,9,81,60,61,3600,Vladimir Guerrero Jr.,0.791,0.625681,2,250,8,0.262,0.06864400000000001,1.0,1.0,3B,0.5245901639344263,33,1089,579300,579300,214556,65.42,4279.776400000001,108000000,32,0.31,0.0961,2
TOR,6.2,220,48400,55,3025,1,3,25,Toronto Blue Jays,Toronto,8,64,59,61,3481,Cavan Biggio,0.807,0.6512490000000001,2,200,8,0.25,0.0625,0.983,0.966289,2B,0.5245901639344263,28,784,576600,576600,213556,92.08,8478.7264,108000000,32,1.98,3.9204,2
TOR,6.2,190,36100,55,3025,1,3,27,Toronto Blue Jays,Toronto,16,256,50,61,2500,Teoscar Hernandez,0.919,0.8445610000000001,2,205,8,0.29,0.0841,0.833,0.693889,DH,0.5245901639344263,34,1156,602200,602200,223037,94.57,8943.4849,108000000,32,1.3,1.6900000000000002,2
TOR,6.1,185,34225,43,1849,1,3,29,Toronto Blue Jays,Toronto,2,4,52,61,2704,Jonathan Villar,0.593,0.351649,2,215,8,0.232,0.053824000000000004,0.867,0.7516889999999999,CF,0.5245901639344263,15,225,8200000,8200000,1269212,20.3,412.09000000000003,108000000,32,-0.03,0.0009,2
TOR,6.0,123,15129,37,1369,1,3,22,Toronto Blue Jays,Toronto,5,25,30,61,900,Bo Bichette,0.84,0.7055999999999999,2,185,8,0.301,0.09060099999999999,0.5,0.25,SS,0.5245901639344263,23,529,570000,570000,211111,0.0,0.0,108000000,32,1.05,1.1025,2
TOR,6.4,113,12769,32,1024,1,3,25,Toronto Blue Jays,Toronto,8,64,35,61,1225,Rowdy Tellez,0.886,0.784996,2,255,8,0.283,0.08008899999999998,0.583,0.33988899999999994,1B,0.5245901639344263,23,529,579600,579600,214667,0.0,0.0,108000000,32,0.46,0.2116,2
TOR,6.1,120,14400,27,729,1,3,29,Toronto Blue Jays,Toronto,1,1,41,61,1681,Joe Panik,0.64,0.4096,2,205,8,0.225,0.050625,0.683,0.4664890000000001,2B,0.5245901639344263,7,49,2850000,2850000,1055556,16.42,269.61640000000006,108000000,32,-0.42,0.17639999999999997,2
TOR,6.2,120,14400,22,484,1,3,25,Toronto Blue Jays,Toronto,6,36,43,61,1849,Danny Jansen,0.671,0.45024100000000006,2,225,8,0.183,0.033489,0.717,0.5140889999999999,C,0.5245901639344263,20,400,580900,580900,215148,43.67,1907.0689000000002,108000000,32,0.48,0.2304,2
TOR,5.8,24,576,9,81,1,3,21,Toronto Blue Jays,Toronto,1,1,9,61,81,Alejandro Kirk,0.983,0.966289,2,265,8,0.375,0.140625,0.15,0.0225,C,0.5245901639344263,3,9,563500,563500,49840,0.0,0.0,108000000,32,0.2,0.04000000000000001,2
TOR,6.3,31,961,7,49,1,3,26,Toronto Blue Jays,Toronto,1,1,16,61,256,Derek Fisher,0.811,0.6577210000000001,2,215,8,0.226,0.051076,0.267,0.071289,RF,0.5245901639344263,7,49,579600,579600,214667,0.0,0.0,108000000,32,-0.42,0.17639999999999997,2
TOR,5.8,27,729,7,49,1,3,28,Toronto Blue Jays,Toronto,1,1,13,61,169,Jonathan Davis,0.808,0.6528640000000001,2,190,8,0.259,0.067081,0.217,0.047089,CF,0.5245901639344263,6,36,569000,569000,66045,0.0,0.0,108000000,32,0.36,0.1296,2
ATL,6.5,214,45796,73,5329,1,7,30,Atlanta Braves,Georgia,13,169,60,60,3600,Freddie Freeman,1.102,1.2144040000000003,18,220,26,0.341,0.11628100000000002,1.0,1.0,1B,0.5833333333333334,53,2809,22559375,22000000,8507523,99.56,9912.1936,95750000,35,3.3,10.889999999999999,3
ATL,6.1,237,56169,65,4225,1,7,26,Atlanta Braves,Georgia,10,100,60,60,3600,Dansby Swanson,0.809,0.6544810000000001,18,190,26,0.274,0.07507600000000002,1.0,1.0,SS,0.5833333333333334,35,1225,3150000,3150000,1166667,94.47,8924.580899999999,95750000,35,2.62,6.864400000000001,3
ATL,6.1,190,36100,45,2025,1,7,31,Atlanta Braves,Georgia,16,256,57,60,3249,Adam Duvall,0.833,0.693889,18,215,26,0.237,0.056169,0.95,0.9025,RF,0.5833333333333334,33,1089,3250000,3250000,1203704,68.59,4704.588100000001,95750000,35,0.86,0.7395999999999999,3
ATL,6.3,188,35344,45,2025,1,7,23,Atlanta Braves,Georgia,8,64,51,60,2601,Austin Riley,0.716,0.512656,18,240,26,0.239,0.057121,0.85,0.7224999999999999,3B,0.5833333333333334,27,729,568500,568500,210556,32.82,1077.1524,95750000,35,-0.69,0.4760999999999999,3
