Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
MIL,6.5,2020,2019,2019,1,45,2025,4,16,0,5,28,28,Milwaukee Brewers,MIL,15851543,0,0,28,161,784,Jordan Lyles,0.217,0.047089,1,230,6,0.089,0.007921,0.173,0.029928999999999997,SP,0.5527950310559007,4,16,UFA,694386,2050000,2050000,50.14,2514.0196,2050000,31900000,2050000,2050000,89,0.11,0.0121,0,13.450783280834713,14.53335035111459,14.53335035111459
OAK,6.0,2021,2019,2019,1,420,176400,101,10201,0,6,29,29,Oakland Athletics,MIN,6790407,6,36,138,162,19044,Robbie Grossman,0.684,0.46785600000000005,15,216,28,0.241,0.058080999999999994,0.852,0.725904,DH,0.5987654320987654,38,1444,UFA,2000000,2000000,2000000,27.29,744.7441,2000000,37600000,2000000,2000000,97,1.03,1.0609,9,14.508657738524219,14.508657738524219,14.508657738524219
ATL,6.3,2020,2019,2019,1,277,76729,69,4761,0,6,35,34,Atlanta Braves,HOU,129699500,12,144,85,161,7225,Brian McCann,0.734,0.538756,18,225,25,0.249,0.062001,0.525,0.275625,C,0.6024844720496895,45,2025,UFA,2000000,2000000,2000000,0.0,0.0,2000000,52210000,2000000,2000000,97,0.31,0.0961,3,14.508657738524219,14.508657738524219,14.508657738524219
MIL,6.0,2020,2019,2019,1,25,625,1,1,0,5,33,33,Milwaukee Brewers,NYY,63039677,0,0,19,161,361,Gio Gonzalez,0.117,0.013689000000000002,1,205,6,0.04,0.0016,0.117,0.013689000000000002,SP,0.5527950310559007,0,0,UFA,1709677,2000000,2000000,60.97,3717.3408999999997,2000000,31900000,2000000,2000000,89,1.88,3.5343999999999998,0,14.3518150217482,14.508657738524219,14.508657738524219
MIA,0.0,2020,2019,2019,1,337,113569,88,7744,0,2,33,33,Miami Marlins,NYY,54087000,8,64,115,162,13225,Neil Walker,0.738,0.544644,2,210,2,0.261,0.068121,0.71,0.5041,1B,0.3518518518518518,38,1444,UFA,2000000,2000000,2000000,27.73,768.9529,2000000,4500000,2000000,2000000,57,0.65,0.42250000000000004,2,14.508657738524219,14.508657738524219,14.508657738524219
SEA,6.1,2021,2019,2019,1,304,92416,72,5184,0,3,29,28,Seattle Mariners,BAL,12471316,15,225,89,162,7921,Tim Beckham,0.753,0.567009,0,205,4,0.237,0.056169,0.549,0.30140100000000003,3B,0.419753086419753,47,2209,UFA,1800000,1750000,1800000,0.0,0.0,1750000,4450000,1750000,1750000,68,0.4,0.16000000000000003,0,14.403297222866392,14.375126345899696,14.403297222866392
MIL,6.5,2020,2019,2019,1,19,361,0,0,0,5,30,30,Milwaukee Brewers,BOS,20671259,0,0,46,161,2116,Drew Pomeranz,0.0,0.0,1,246,6,0.0,0.0,0.284,0.08065599999999999,RP,0.5527950310559007,0,0,UFA,491965,1500000,1500000,0.0,0.0,1500000,31900000,1500000,1500000,89,-0.36,0.1296,0,13.10616285473262,14.22097566607244,14.22097566607244
OAK,6.4,2020,2019,2019,1,8,64,4,16,0,6,31,30,Oakland Athletics,OAK,58418199,0,0,32,162,1024,Brett Anderson,1.0,1.0,15,230,28,0.5,0.25,0.198,0.039204,SP,0.5987654320987654,0,0,UFA,1500000,1500000,1500000,78.02,6087.1204,1500000,37600000,1500000,1500000,97,2.52,6.3504000000000005,9,14.22097566607244,14.22097566607244,14.22097566607244
WSH,6.1,2020,2019,2019,1,9,81,1,1,0,7,32,31,Washington Nationals,WSH,37910900,0,0,9,162,81,Jeremy Hellickson,0.384,0.147456,1,190,6,0.111,0.012321,0.056,0.0031360000000000003,RP,0.5740740740740741,0,0,UFA,1900000,1300000,1900000,0.0,0.0,1300000,184550000,1300000,1300000,93,-0.36,0.1296,1,14.457364444136669,14.077874822431765,14.457364444136669
ARI,6.3,0,2019,2019,1,38,1444,8,64,0,4,33,32,Arizona Diamondbacks,BAL,3737695,0,0,20,162,400,Caleb Joseph,0.513,0.263169,1,180,6,0.211,0.044521,0.124,0.015375999999999999,C,0.5246913580246914,3,9,UFA,473120,1100000,1100000,0.0,0.0,1100000,11600000,1100000,1100000,85,-0.01,0.0001,1,13.067104335086304,13.9108207377686,13.9108207377686
NYM,6.1,2020,2019,2019,1,438,191844,107,11449,0,6,28,28,New York Mets,SF,10356724,5,25,142,161,20164,Joe Panik,0.651,0.42380100000000004,5,205,9,0.244,0.059536,0.877,0.769129,2B,0.5279503105590062,39,1521,UFA,152184,555000,555000,0.0,0.0,0,79000000,555000,0,85,-0.54,0.2916,2,11.932845594047977,13.226723392728571,13.226723392728571
ATL,0.0,2020,2019,2019,1,141,19881,30,900,0,6,33,32,Atlanta Braves,PIT,38659158,3,9,48,161,2304,Francisco Cervelli,0.649,0.42120100000000005,18,210,25,0.213,0.045369,0.296,0.08761599999999999,C,0.6024844720496895,12,144,UFA,110408,555000,555000,0.0,0.0,0,52210000,555000,0,97,-0.07,0.004900000000000001,3,11.611937873967875,13.226723392728571,13.226723392728571
PHI,6.3,2021,2019,2019,1,1,1,0,0,0,4,34,33,Philadelphia Phillies,LAA,5147169,0,0,60,162,3600,Blake Parker,0.0,0.0,7,225,14,0.0,0.0,0.37,0.1369,RP,0.5,0,0,UFA,185008,555000,555000,45.82,2099.4724,0,403000000,555000,0,81,0.3,0.09,2,12.128154346368744,13.226723392728571,13.226723392728571
NYM,6.6,2021,2019,2019,1,4,16,1,1,0,6,33,32,New York Mets,CHC,13212992,0,0,59,161,3481,Brad Brach,0.5,0.25,5,215,9,0.25,0.0625,0.364,0.132496,RP,0.5279503105590062,1,1,UFA,158152,555000,555000,23.15,535.9224999999999,0,79000000,555000,0,85,-0.37,0.1369,2,11.971311874875774,13.226723392728571,13.226723392728571
ATL,0.0,2020,2019,2019,1,203,41209,49,2401,0,6,30,29,Atlanta Braves,NYM,29403221,9,81,84,161,7056,Adeiny Hechavarria,0.742,0.5505639999999999,18,195,25,0.241,0.058080999999999994,0.519,0.269361,SS,0.6024844720496895,33,1089,UFA,241935,1000000,1000000,0.0,0.0,0,52210000,1000000,0,97,-0.19,0.0361,3,12.396424374019393,13.815510557964274,13.815510557964274
TB,6.2,2020,2019,2019,1,351,123201,88,7744,0,2,30,29,Tampa Bay Rays,NYM,9115107,16,256,103,161,10609,Travis d'Arnaud,0.745,0.555025,1,210,5,0.251,0.063001,0.636,0.404496,C,0.5962732919254659,69,4761,UFA,438648,555000,555000,35.8,1281.6399999999999,0,33500000,555000,0,96,-0.41,0.16809999999999997,0,12.991452548102387,13.226723392728571,13.226723392728571
CHC,6.0,2020,2019,2019,1,293,85849,68,4624,0,5,33,32,Chicago Cubs,LAA,29222152,8,64,102,162,10404,Jonathan Lucroy,0.66,0.43560000000000004,17,200,20,0.232,0.053824000000000004,0.63,0.39690000000000003,C,0.5185185185185185,36,1296,UFA,158152,555000,555000,11.99,143.7601,0,49325000,555000,0,84,-0.64,0.4096,3,11.971311874875774,13.226723392728571,13.226723392728571
