"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023","Age","Weight","Height",""
"","Mychal Givens","RP","NYM","59","0","61.3","56","27","23","25","71","7","3","2","1.32","3.38","0.96","32.18","$3,000,000","32","230","6'0""",""
"","Jordan Hicks","RP","STL","35","8","61.3","46","33","33","35","63","3","6","0","1.32","4.84","-0.46","0.00","$1,524,178","25","185","6'2""",""
"","Luis Garcia","RP","SD","64","0","61.0","57","28","23","17","68","4","6","3","1.21","3.39","0.39","41.67","$3,500,000","35","240","6'2""",""
"","Yimi Garcia","RP","TOR","61","0","61.0","48","26","21","16","58","4","5","1","1.05","3.10","0.53","30.74","$5,000,000","31","228","6'2""",""
"","Phil Bickford","RP","LAD","60","0","61.0","53","33","32","14","67","2","1","0","1.10","4.72","-0.28","18.08","$0","26","200","6'4""",""
"","Jose Ruiz","RP","CHW","63","0","60.7","53","32","31","33","68","1","0","0","1.42","4.60","0.24","16.73","$1,215,961","27","245","6'1""",""
"","Devin Williams","RP/CL","MIL","65","0","60.7","31","17","13","30","96","6","4","15","1.00","1.93","2.14","94.79","$3,081,256","27","165","6'3""",""
"","Daniel Bard","RP/CL","COL","57","0","60.3","35","15","12","25","69","6","4","34","0.99","1.79","3.72","98.94","$9,500,000","37","215","6'4""",""
"","Gregory Soto","RP/CL","DET","64","0","60.3","49","32","22","34","60","2","11","30","1.38","3.28","0.28","64.74","$0","27","236","6'1""",""
"","Garrett Hill","SP","DET","17","8","60.3","53","29","27","29","40","3","3","0","1.36","4.03","0.57","0.00","$0","26","0","0'0""",""
"","Bryan Abreu","RP","HOU","55","0","60.3","45","16","13","26","88","4","0","2","1.18","1.94","1.26","75.57","$0","25","225","6'1""",""
"","Jason Foley","RP","DET","60","0","60.3","72","27","26","11","43","1","0","0","1.38","3.88","0.25","32.81","$0","26","215","6'4""",""
"","Craig Kimbrel","RP/CL","LAD","63","0","60.0","51","31","25","28","72","6","7","22","1.32","3.75","0.12","8.79","$10,000,000","34","215","6'0""",""
"","Aaron Sanchez","RP","MIN","15","10","60.0","78","46","44","15","41","3","4","0","1.55","6.60","-0.90","0.00","$0","29","210","6'4""",""
"","Joe Mantiply","RP","ARI","69","0","60.0","59","22","19","6","61","2","5","2","1.08","2.85","0.85","64.34","$0","31","219","6'4""",""
"","Tanner Houck","RP/CL","BOS","32","4","60.0","49","22","21","22","56","5","4","8","1.18","3.15","1.62","0.00","$0","26","230","6'5""",""
"","Matt Bush","RP","MIL","65","6","59.7","43","31","23","18","74","2","4","4","1.02","3.47","0.37","38.92","$1,850,000","36","180","5'9""",""
"","Caleb Thielbar","RP","MIN","67","0","59.3","51","26","23","18","80","4","3","1","1.16","3.49","0.46","45.61","$2,460,126","35","205","6'0""",""
"","Andres Machado","RP","WSH","51","0","59.3","55","32","22","26","46","2","0","0","1.37","3.34","0.00","22.94","$0","29","220","6'0""",""
"","Will Smith","RP","HOU","65","0","59.0","58","35","26","25","65","0","3","5","1.41","3.97","-0.67","0.41","$0","32","255","6'5""",""
"","Giovanny Gallegos","RP","STL","57","0","59.0","42","23","20","18","73","3","6","14","1.02","3.05","0.61","69.90","$4,500,000","30","215","6'2""",""
"","Daniel Norris","RP","DET","41","3","58.7","45","39","34","29","66","2","4","0","1.26","5.22","-0.89","0.00","$0","29","185","6'2""",""
"","Dennis Santana","RP","TEX","63","1","58.7","50","39","34","28","54","3","8","1","1.33","5.22","-0.83","17.22","$1,171,645","26","190","6'2""",""
"","Colin Poche","RP","TB","65","0","58.7","46","30","26","22","64","4","2","7","1.16","3.99","0.37","44.73","$1,358,225","28","225","6'3""",""
"","Robert Stephenson","RP","PIT","58","0","58.0","63","39","35","14","55","2","2","0","1.33","5.43","-0.49","5.72","$1,900,000","29","205","6'3""",""
"","Joel Kuhnel","RP","CIN","53","0","58.0","67","41","41","14","56","2","3","1","1.40","6.36","-0.07","16.28","$0","27","260","6'5""",""
"","Liam Hendriks","RP/CL","CHW","58","0","57.7","44","22","18","16","85","4","4","37","1.04","2.81","1.69","37.89","$14,000,000","33","235","6'0""",""
"","Jake Diekman","RP","CHW","70","0","57.7","52","40","32","42","79","5","4","1","1.63","4.99","0.26","4.62","$3,500,000","35","195","6'4""",""
"","Clarke Schmidt","RP","NYY","29","3","57.7","46","23","20","23","56","5","5","2","1.20","3.12","0.72","0.00","$0","26","209","6'1""",""
"","Adrian Martinez","SP","OAK","12","12","57.7","69","42","40","19","53","4","6","0","1.53","6.24","-0.75","0.00","$0","25","215","6'2""",""
"","Lucas Luetge","RP","NYY","50","0","57.3","63","19","17","17","60","4","4","2","1.39","2.67","0.65","50.01","$0","35","205","6'4""",""
"","Andrew Chafin","RP","DET","64","0","57.3","48","26","18","19","67","2","3","3","1.17","2.83","0.29","20.62","$0","32","235","6'2""",""
"","Ryan Tepera","RP","LAA","59","0","57.3","42","27","23","20","47","5","4","6","1.08","3.61","0.52","32.01","$7,000,000","34","195","6'1""",""
"","Duane Underwood","RP","PIT","51","1","57.3","58","35","28","25","57","1","6","1","1.45","4.40","-0.40","21.49","$804,654","27","210","6'2""",""
"","Brayan Bello","SP","BOS","13","11","57.3","75","34","30","27","55","2","8","0","1.78","4.71","0.38","0.00","$0","23","170","6'1""",""
"","Carlos Estevez","RP","COL","62","0","57.0","44","27","22","23","54","4","4","2","1.17","3.47","1.15","40.14","$6,750,000","29","277","6'6""",""
"","Reiver Sanmartin","RP","CIN","45","4","57.0","66","43","40","29","47","4","4","0","1.67","6.32","-0.48","0.00","$0","26","160","6'2""",""
"","Joe Jimenez","RP","DET","62","0","56.7","49","24","22","13","77","3","2","2","1.09","3.49","0.45","45.42","$2,681,412","27","272","6'3""",""
"","Scott Effross","RP","NYY","60","1","56.7","45","23","16","15","62","1","4","4","1.06","2.54","0.73","61.32","$0","28","202","6'2""",""
"","Wandy Peralta","RP","NYY","56","0","56.3","42","19","17","17","47","3","4","4","1.05","2.72","1.06","72.92","$3,068,302","30","220","6'0""",""
"","Mark Melancon","RP","ARI","62","0","56.0","63","37","29","21","35","3","10","18","1.50","4.66","-0.89","8.40","$6,000,000","37","215","6'1""",""
"","Chris Martin","RP","LAD","60","0","56.0","50","20","19","5","74","4","1","2","0.98","3.05","0.02","38.02","$10,000,000","36","225","6'8""",""
"","Johan Oviedo","SP","PIT","21","8","56.0","49","21","20","23","54","4","3","0","1.29","3.21","0.25","33.45","$0","24","245","6'5""",""
"","Bailey Ober","SP","MIN","11","11","56.0","48","22","20","11","51","2","3","0","1.05","3.21","0.86","0.00","$0","26","260","6'9""",""
"","Carlos Hernandez","RP","KC","27","7","56.0","72","48","46","31","35","0","5","0","1.84","7.39","-1.18","0.00","$0","25","245","6'4""",""
"","Joel Payamps","RP","OAK","41","0","55.7","60","24","20","16","41","3","6","0","1.37","3.23","0.77","0.00","$0","28","225","6'2""",""
"","Michael Rucker","RP","CHC","41","0","54.7","50","25","24","20","50","3","1","0","1.28","3.95","0.44","0.00","$0","28","195","6'1""",""
